  
       XFOIL         Version 6.99
  
 Calculated polar for: S6063 7.05%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0499   0.03254   0.00802  -0.0183   1.0000   1.0000
   0.500   0.0887   0.03287   0.00805  -0.0167   1.0000   1.0000
   1.000   0.1268   0.03336   0.00838  -0.0152   1.0000   1.0000
   1.500   0.1642   0.03402   0.00901  -0.0139   1.0000   1.0000
   2.000   0.2006   0.03489   0.00997  -0.0127   1.0000   1.0000
   2.500   0.2358   0.03598   0.01131  -0.0118   1.0000   1.0000
   3.000   0.2693   0.03734   0.01297  -0.0111   1.0000   1.0000
   3.500   0.3006   0.03903   0.01506  -0.0108   1.0000   1.0000
   4.000   0.3294   0.04112   0.01772  -0.0109   1.0000   1.0000
   4.500   0.3556   0.04369   0.02083  -0.0115   1.0000   1.0000
   5.000   0.3788   0.04682   0.02453  -0.0129   1.0000   1.0000
   5.500   0.3991   0.05058   0.02888  -0.0149   1.0000   1.0000
   6.000   0.4165   0.05500   0.03400  -0.0175   1.0000   1.0000
   6.500   0.4318   0.06012   0.03970  -0.0208   1.0000   1.0000
   7.000   0.4456   0.06589   0.04601  -0.0246   1.0000   1.0000
   7.500   0.4583   0.07224   0.05284  -0.0287   1.0000   1.0000
   8.000   0.4705   0.07913   0.06017  -0.0330   1.0000   1.0000
   8.500   0.4829   0.08645   0.06803  -0.0373   1.0000   1.0000
   9.000   0.4955   0.09415   0.07609  -0.0415   1.0000   1.0000
   9.500   0.5085   0.10212   0.08438  -0.0457   1.0000   1.0000
  10.000   0.5221   0.11028   0.09281  -0.0498   1.0000   1.0000
  10.500   0.5364   0.11854   0.10129  -0.0537   1.0000   1.0000
  11.000   0.5516   0.12683   0.10976  -0.0575   1.0000   1.0000
  11.500   0.5676   0.13513   0.11820  -0.0613   1.0000   1.0000
  12.000   0.5844   0.14336   0.12654  -0.0650   1.0000   1.0000
  12.500   0.6019   0.15147   0.13474  -0.0687   1.0000   1.0000
  13.000   0.6201   0.15956   0.14292  -0.0724   1.0000   1.0000
  13.500   0.6387   0.16751   0.15094  -0.0761   1.0000   1.0000
  14.000   0.6578   0.17549   0.15914  -0.0798   1.0000   1.0000
  14.500   0.6901   0.18717   0.17097  -0.0871   0.9850   1.0000
  15.000   0.7366   0.20106   0.18510  -0.0974   0.9284   1.0000
  15.500   0.7723   0.21135   0.19556  -0.1040   0.8710   1.0000
  16.000   0.8033   0.22110   0.20544  -0.1089   0.8213   1.0000
  16.500   0.8289   0.22951   0.21394  -0.1126   0.7828   1.0000
  17.000   0.8569   0.24017   0.22469  -0.1167   0.7469   1.0000
  17.500   0.8788   0.24710   0.23184  -0.1197   0.7109   1.0000
  18.000   0.9033   0.25641   0.24123  -0.1229   0.6761   1.0000
  18.500   0.9250   0.26376   0.24865  -0.1257   0.6409   1.0000
  19.000   0.9501   0.27456   0.25953  -0.1289   0.6083   1.0000
  19.500   0.9699   0.28175   0.26677  -0.1318   0.5799   1.0000
  20.000   0.9910   0.29031   0.27542  -0.1348   0.5534   1.0000
  20.500   1.0067   0.29437   0.27959  -0.1377   0.5304   1.0000
  21.000   1.0266   0.30275   0.28803  -0.1410   0.5084   1.0000
  21.500   1.0465   0.31123   0.29660  -0.1442   0.4848   1.0000
  22.000   1.0624   0.31602   0.30142  -0.1475   0.4649   1.0000
  22.500   1.0834   0.32649   0.31199  -0.1507   0.4423   1.0000
  23.000   1.0981   0.33034   0.31586  -0.1543   0.4243   1.0000
  23.500   1.1143   0.33611   0.32178  -0.1578   0.4053   1.0000
  24.000   1.1332   0.34543   0.33120  -0.1614   0.3875   1.0000
  24.500   1.1509   0.35502   0.34087  -0.1649   0.3720   1.0000
  25.000   1.1664   0.36078   0.34665  -0.1689   0.3579   1.0000
  25.500   1.1821   0.36726   0.35320  -0.1729   0.3440   1.0000
  26.000   1.1977   0.37425   0.36026  -0.1769   0.3303   1.0000
  26.500   1.2110   0.37785   0.36397  -0.1810   0.3175   1.0000
  27.000   1.2240   0.38097   0.36725  -0.1855   0.3055   1.0000
  27.500   1.2374   0.38503   0.37136  -0.1900   0.2942   1.0000
  28.000   1.2508   0.39059   0.37699  -0.1943   0.2838   1.0000
  28.500   1.2658   0.39878   0.38528  -0.1986   0.2732   1.0000
  29.000   1.2806   0.40794   0.39458  -0.2027   0.2618   1.0000
  29.500   1.2902   0.40642   0.39308  -0.2079   0.2539   1.0000
  30.000   1.3039   0.41501   0.40177  -0.2123   0.2458   1.0000
