  
       XFOIL         Version 6.99
  
 Calculated polar for: S8037 (16%)                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1334   0.05560   0.03337  -0.0006   1.0000   1.0000
   0.500  -0.1196   0.05622   0.03341   0.0026   1.0000   1.0000
   1.000  -0.1030   0.05709   0.03376   0.0053   1.0000   1.0000
   1.500  -0.0842   0.05821   0.03439   0.0077   1.0000   1.0000
   2.000  -0.0636   0.05955   0.03531   0.0096   1.0000   1.0000
   2.500  -0.0419   0.06112   0.03650   0.0112   1.0000   1.0000
   3.000  -0.0194   0.06291   0.03797   0.0125   1.0000   1.0000
   3.500   0.0036   0.06492   0.03971   0.0135   1.0000   1.0000
   4.000   0.0268   0.06715   0.04172   0.0142   1.0000   1.0000
   4.500   0.0500   0.06960   0.04401   0.0147   1.0000   1.0000
   5.000   0.0730   0.07227   0.04658   0.0149   1.0000   1.0000
   5.500   0.0958   0.07518   0.04941   0.0149   1.0000   1.0000
   6.000   0.1181   0.07831   0.05252   0.0147   1.0000   1.0000
   6.500   0.1400   0.08169   0.05590   0.0143   1.0000   1.0000
   7.000   0.1614   0.08529   0.05955   0.0137   1.0000   1.0000
   7.500   0.1823   0.08911   0.06347   0.0129   1.0000   1.0000
   8.000   0.2027   0.09315   0.06761   0.0119   1.0000   1.0000
   8.500   0.2227   0.09740   0.07199   0.0108   1.0000   1.0000
   9.000   0.2421   0.10186   0.07662   0.0094   1.0000   1.0000
   9.500   0.2613   0.10648   0.08141   0.0080   1.0000   1.0000
  10.000   0.2802   0.11127   0.08638   0.0063   1.0000   1.0000
  10.500   0.2988   0.11621   0.09155   0.0045   1.0000   1.0000
  11.000   0.3173   0.12128   0.09682   0.0026   1.0000   1.0000
  11.500   0.3356   0.12645   0.10221   0.0005   1.0000   1.0000
  12.000   0.3539   0.13176   0.10777  -0.0017   1.0000   1.0000
  12.500   0.3720   0.13716   0.11340  -0.0040   1.0000   1.0000
  13.000   0.3902   0.14264   0.11915  -0.0064   1.0000   1.0000
  13.500   0.4083   0.14822   0.12497  -0.0090   1.0000   1.0000
  14.000   0.4265   0.15388   0.13087  -0.0117   1.0000   1.0000
  14.500   0.4446   0.15964   0.13690  -0.0145   1.0000   1.0000
  15.000   0.4626   0.16546   0.14297  -0.0174   1.0000   1.0000
  15.500   0.4815   0.17137   0.14914  -0.0206   0.9990   1.0000
  16.000   0.5310   0.18747   0.16572  -0.0317   0.9590   1.0000
  16.500   0.5606   0.19415   0.17274  -0.0376   0.9222   1.0000
  17.000   0.5906   0.20279   0.18173  -0.0431   0.8851   1.0000
  17.500   0.6158   0.21008   0.18930  -0.0475   0.8539   1.0000
  18.000   0.6407   0.21788   0.19739  -0.0516   0.8235   1.0000
  18.500   0.6685   0.22872   0.20851  -0.0563   0.7944   1.0000
  19.000   0.6854   0.23170   0.21172  -0.0588   0.7677   1.0000
  19.500   0.7104   0.24198   0.22227  -0.0629   0.7430   1.0000
  20.000   0.7263   0.24504   0.22553  -0.0654   0.7189   1.0000
  20.500   0.7494   0.25430   0.23505  -0.0691   0.6952   1.0000
  21.000   0.7677   0.26039   0.24135  -0.0722   0.6743   1.0000
  21.500   0.7840   0.26464   0.24579  -0.0750   0.6535   1.0000
  22.000   0.8034   0.27167   0.25303  -0.0783   0.6314   1.0000
  22.500   0.8257   0.28243   0.26403  -0.0819   0.6109   1.0000
  23.000   0.8404   0.28608   0.26783  -0.0848   0.5926   1.0000
  23.500   0.8557   0.29032   0.27224  -0.0878   0.5743   1.0000
  24.000   0.8719   0.29550   0.27757  -0.0909   0.5551   1.0000
  24.500   0.8887   0.30168   0.28393  -0.0942   0.5364   1.0000
  25.000   0.9060   0.30855   0.29099  -0.0975   0.5181   1.0000
  25.500   0.9231   0.31575   0.29835  -0.1008   0.5006   1.0000
  26.000   0.9398   0.32304   0.30579  -0.1042   0.4835   1.0000
  26.500   0.9559   0.33004   0.31295  -0.1076   0.4669   1.0000
  27.000   0.9706   0.33538   0.31841  -0.1109   0.4512   1.0000
  27.500   0.9841   0.33956   0.32268  -0.1144   0.4360   1.0000
  28.000   0.9973   0.34334   0.32655  -0.1179   0.4215   1.0000
  28.500   1.0102   0.34724   0.33054  -0.1215   0.4076   1.0000
  29.000   1.0232   0.35170   0.33512  -0.1251   0.3946   1.0000
  29.500   1.0368   0.35745   0.34096  -0.1288   0.3820   1.0000
  30.000   1.0515   0.36516   0.34879  -0.1325   0.3689   1.0000
