  
       XFOIL         Version 6.99
  
 Calculated polar for: S8052 (11.88%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.500  -0.0361   0.04194   0.01857   0.0007   1.0000   1.0000
   1.000  -0.0118   0.04262   0.01888   0.0029   1.0000   1.0000
   1.500   0.0146   0.04353   0.01946   0.0046   1.0000   1.0000
   2.000   0.0421   0.04466   0.02036   0.0059   1.0000   1.0000
   2.500   0.0700   0.04603   0.02157   0.0068   1.0000   1.0000
   3.000   0.0978   0.04766   0.02311   0.0073   1.0000   1.0000
   3.500   0.1250   0.04958   0.02502   0.0075   1.0000   1.0000
   4.000   0.1511   0.05181   0.02730   0.0073   1.0000   1.0000
   4.500   0.1761   0.05439   0.03000   0.0068   1.0000   1.0000
   5.000   0.1996   0.05735   0.03311   0.0059   1.0000   1.0000
   5.500   0.2215   0.06072   0.03667   0.0047   1.0000   1.0000
   6.000   0.2420   0.06451   0.04071   0.0031   1.0000   1.0000
   6.500   0.2610   0.06872   0.04514   0.0011   1.0000   1.0000
   7.000   0.2792   0.07332   0.04999  -0.0012   1.0000   1.0000
   7.500   0.2969   0.07828   0.05524  -0.0037   1.0000   1.0000
   8.000   0.3141   0.08356   0.06078  -0.0063   1.0000   1.0000
   8.500   0.3312   0.08910   0.06658  -0.0091   1.0000   1.0000
   9.000   0.3483   0.09488   0.07262  -0.0120   1.0000   1.0000
   9.500   0.3654   0.10086   0.07891  -0.0150   1.0000   1.0000
  10.000   0.3827   0.10702   0.08533  -0.0180   1.0000   1.0000
  10.500   0.4001   0.11332   0.09189  -0.0211   1.0000   1.0000
  11.000   0.4177   0.11975   0.09859  -0.0243   1.0000   1.0000
  11.500   0.4354   0.12631   0.10545  -0.0275   1.0000   1.0000
  12.000   0.4534   0.13296   0.11235  -0.0309   1.0000   1.0000
  12.500   0.4716   0.13969   0.11933  -0.0343   1.0000   1.0000
  13.000   0.4900   0.14649   0.12637  -0.0378   1.0000   1.0000
  13.500   0.5086   0.15333   0.13349  -0.0413   1.0000   1.0000
  14.000   0.5274   0.16025   0.14063  -0.0449   1.0000   1.0000
  14.500   0.5464   0.16721   0.14781  -0.0486   1.0000   1.0000
  15.000   0.5656   0.17423   0.15504  -0.0523   1.0000   1.0000
  15.500   0.6145   0.18958   0.17085  -0.0637   0.9576   1.0000
  16.000   0.6508   0.20022   0.18181  -0.0713   0.9134   1.0000
  16.500   0.6793   0.20790   0.18973  -0.0766   0.8732   1.0000
  17.000   0.7083   0.21760   0.19973  -0.0818   0.8387   1.0000
  17.500   0.7352   0.22649   0.20883  -0.0862   0.8038   1.0000
  18.000   0.7596   0.23449   0.21703  -0.0902   0.7732   1.0000
  18.500   0.7835   0.24270   0.22547  -0.0940   0.7431   1.0000
  19.000   0.8065   0.25036   0.23331  -0.0976   0.7125   1.0000
  19.500   0.8293   0.25854   0.24168  -0.1011   0.6847   1.0000
  20.000   0.8478   0.26339   0.24666  -0.1041   0.6582   1.0000
  20.500   0.8682   0.27018   0.25358  -0.1074   0.6314   1.0000
  21.000   0.8907   0.27943   0.26303  -0.1110   0.6071   1.0000
  21.500   0.9117   0.28728   0.27103  -0.1144   0.5808   1.0000
  22.000   0.9279   0.29128   0.27510  -0.1174   0.5577   1.0000
  22.500   0.9517   0.30312   0.28707  -0.1211   0.5345   1.0000
  23.000   0.9656   0.30500   0.28903  -0.1243   0.5137   1.0000
  23.500   0.9878   0.31585   0.30008  -0.1278   0.4907   1.0000
  24.000   1.0033   0.32027   0.30454  -0.1313   0.4729   1.0000
  24.500   1.0188   0.32444   0.30878  -0.1348   0.4540   1.0000
  25.000   1.0363   0.33119   0.31562  -0.1384   0.4348   1.0000
  25.500   1.0542   0.33923   0.32376  -0.1421   0.4173   1.0000
  26.000   1.0714   0.34688   0.33156  -0.1458   0.4013   1.0000
  26.500   1.0878   0.35387   0.33864  -0.1496   0.3858   1.0000
  27.000   1.1026   0.35914   0.34398  -0.1535   0.3711   1.0000
  27.500   1.1159   0.36225   0.34715  -0.1576   0.3578   1.0000
  28.000   1.1292   0.36585   0.35081  -0.1618   0.3454   1.0000
  28.500   1.1432   0.37083   0.35591  -0.1661   0.3335   1.0000
  29.000   1.1577   0.37772   0.36289  -0.1702   0.3222   1.0000
  29.500   1.1739   0.38779   0.37307  -0.1742   0.3098   1.0000
  30.000   1.1846   0.38782   0.37319  -0.1788   0.2992   1.0000
