  
       XFOIL         Version 6.99
  
 Calculated polar for: S8065 (11% version of S8064)                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0537   0.04015   0.01502  -0.0034   1.0000   1.0000
   0.500  -0.0307   0.04037   0.01489   0.0001   1.0000   1.0000
   1.000  -0.0050   0.04076   0.01503   0.0031   1.0000   1.0000
   1.500   0.0225   0.04132   0.01542   0.0056   1.0000   1.0000
   2.000   0.0513   0.04205   0.01606   0.0078   1.0000   1.0000
   2.500   0.0809   0.04296   0.01698   0.0097   1.0000   1.0000
   3.000   0.1107   0.04407   0.01818   0.0112   1.0000   1.0000
   3.500   0.1404   0.04538   0.01967   0.0124   1.0000   1.0000
   4.000   0.1696   0.04693   0.02151   0.0134   1.0000   1.0000
   4.500   0.1980   0.04874   0.02365   0.0141   1.0000   1.0000
   5.000   0.2252   0.05085   0.02617   0.0145   1.0000   1.0000
   5.500   0.2507   0.05331   0.02918   0.0145   1.0000   1.0000
   6.000   0.2742   0.05620   0.03260   0.0140   1.0000   1.0000
   6.500   0.2952   0.05960   0.03658   0.0131   1.0000   1.0000
   7.000   0.3131   0.06360   0.04124   0.0116   1.0000   1.0000
   7.500   0.3277   0.06831   0.04654   0.0095   1.0000   1.0000
   8.000   0.3394   0.07376   0.05254   0.0067   1.0000   1.0000
   8.500   0.3490   0.07991   0.05918   0.0033   1.0000   1.0000
   9.000   0.3580   0.08661   0.06637  -0.0005   1.0000   1.0000
   9.500   0.3677   0.09363   0.07375  -0.0043   1.0000   1.0000
  10.000   0.3785   0.10084   0.08129  -0.0082   1.0000   1.0000
  10.500   0.3907   0.10814   0.08887  -0.0119   1.0000   1.0000
  11.000   0.4042   0.11544   0.09643  -0.0156   1.0000   1.0000
  11.500   0.4189   0.12273   0.10396  -0.0192   1.0000   1.0000
  12.000   0.4345   0.13002   0.11147  -0.0228   1.0000   1.0000
  12.500   0.4510   0.13729   0.11899  -0.0263   1.0000   1.0000
  13.000   0.4681   0.14455   0.12643  -0.0298   1.0000   1.0000
  13.500   0.4858   0.15181   0.13386  -0.0334   1.0000   1.0000
  14.000   0.5039   0.15909   0.14128  -0.0370   1.0000   1.0000
  14.500   0.5223   0.16638   0.14871  -0.0406   1.0000   1.0000
  15.000   0.5656   0.18126   0.16386  -0.0507   0.9702   1.0000
  15.500   0.6015   0.19230   0.17520  -0.0584   0.9314   1.0000
  16.000   0.6309   0.20082   0.18389  -0.0641   0.8931   1.0000
  16.500   0.6591   0.21026   0.19347  -0.0692   0.8618   1.0000
  17.000   0.6881   0.22054   0.20386  -0.0742   0.8285   1.0000
  17.500   0.7109   0.22660   0.21002  -0.0777   0.7943   1.0000
  18.000   0.7360   0.23500   0.21859  -0.0816   0.7630   1.0000
  18.500   0.7622   0.24464   0.22832  -0.0856   0.7318   1.0000
  19.000   0.7857   0.25271   0.23644  -0.0890   0.7009   1.0000
  19.500   0.8069   0.25931   0.24310  -0.0920   0.6710   1.0000
  20.000   0.8294   0.26750   0.25136  -0.0954   0.6430   1.0000
  20.500   0.8519   0.27612   0.26012  -0.0986   0.6152   1.0000
  21.000   0.8724   0.28304   0.26712  -0.1016   0.5877   1.0000
  21.500   0.8893   0.28728   0.27138  -0.1044   0.5624   1.0000
  22.000   0.9084   0.29416   0.27829  -0.1076   0.5395   1.0000
  22.500   0.9303   0.30379   0.28801  -0.1109   0.5158   1.0000
  23.000   0.9454   0.30724   0.29147  -0.1141   0.4953   1.0000
  23.500   0.9666   0.31708   0.30148  -0.1174   0.4725   1.0000
  24.000   0.9816   0.32107   0.30548  -0.1207   0.4541   1.0000
  24.500   0.9977   0.32599   0.31044  -0.1241   0.4346   1.0000
  25.000   1.0160   0.33412   0.31866  -0.1276   0.4162   1.0000
  25.500   1.0346   0.34375   0.32837  -0.1312   0.3996   1.0000
  26.000   1.0495   0.34877   0.33340  -0.1349   0.3844   1.0000
  26.500   1.0642   0.35373   0.33849  -0.1387   0.3696   1.0000
  27.000   1.0788   0.35895   0.34376  -0.1425   0.3549   1.0000
  27.500   1.0939   0.36527   0.35015  -0.1464   0.3408   1.0000
  28.000   1.1096   0.37323   0.35818  -0.1503   0.3272   1.0000
  28.500   1.1210   0.37401   0.35903  -0.1546   0.3152   1.0000
  29.000   1.1329   0.37655   0.36161  -0.1590   0.3049   1.0000
  29.500   1.1466   0.38269   0.36790  -0.1633   0.2949   1.0000
  30.000   1.1619   0.39276   0.37806  -0.1672   0.2836   1.0000
