  
       XFOIL         Version 6.99
  
 Calculated polar for: S9026 (9.5%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.03466   0.01153   0.0000   1.0000   1.0000
   0.500   0.0257   0.03476   0.01166   0.0032   1.0000   1.0000
   1.000   0.0516   0.03507   0.01206   0.0062   1.0000   1.0000
   1.500   0.0767   0.03561   0.01275   0.0091   1.0000   1.0000
   2.000   0.1005   0.03645   0.01377   0.0116   1.0000   1.0000
   2.500   0.1227   0.03762   0.01514   0.0136   1.0000   1.0000
   3.000   0.1428   0.03920   0.01694   0.0150   1.0000   1.0000
   3.500   0.1609   0.04125   0.01926   0.0155   1.0000   1.0000
   4.000   0.1771   0.04384   0.02209   0.0151   1.0000   1.0000
   4.500   0.1917   0.04697   0.02546   0.0138   1.0000   1.0000
   5.000   0.2056   0.05062   0.02936   0.0118   1.0000   1.0000
   5.500   0.2194   0.05476   0.03378   0.0093   1.0000   1.0000
   6.000   0.2333   0.05933   0.03857   0.0064   1.0000   1.0000
   6.500   0.2477   0.06427   0.04374   0.0032   1.0000   1.0000
   7.000   0.2625   0.06953   0.04923   0.0000   1.0000   1.0000
   7.500   0.2777   0.07512   0.05507  -0.0032   1.0000   1.0000
   8.000   0.2934   0.08098   0.06114  -0.0064   1.0000   1.0000
   8.500   0.3096   0.08708   0.06743  -0.0096   1.0000   1.0000
   9.000   0.3260   0.09337   0.07391  -0.0128   1.0000   1.0000
   9.500   0.3428   0.09986   0.08058  -0.0159   1.0000   1.0000
  10.000   0.3598   0.10646   0.08740  -0.0190   1.0000   1.0000
  10.500   0.3771   0.11319   0.09428  -0.0221   1.0000   1.0000
  11.000   0.3948   0.12000   0.10124  -0.0252   1.0000   1.0000
  11.500   0.4127   0.12686   0.10824  -0.0284   1.0000   1.0000
  12.000   0.4310   0.13379   0.11530  -0.0315   1.0000   1.0000
  12.500   0.4496   0.14074   0.12242  -0.0348   1.0000   1.0000
  13.000   0.4685   0.14772   0.12951  -0.0380   1.0000   1.0000
  13.500   0.4876   0.15470   0.13660  -0.0413   1.0000   1.0000
  14.000   0.5069   0.16173   0.14372  -0.0447   1.0000   1.0000
  14.500   0.5264   0.16878   0.15086  -0.0481   1.0000   1.0000
  15.000   0.5531   0.17830   0.16057  -0.0534   0.9937   1.0000
  15.500   0.6067   0.19305   0.17562  -0.0654   0.9298   1.0000
  16.000   0.6502   0.20646   0.18922  -0.0733   0.8667   1.0000
  16.500   0.6776   0.21350   0.19637  -0.0773   0.8176   1.0000
  17.000   0.7058   0.22236   0.20541  -0.0811   0.7729   1.0000
  17.500   0.7328   0.23116   0.21429  -0.0846   0.7296   1.0000
  18.000   0.7610   0.24180   0.22501  -0.0880   0.6892   1.0000
  18.500   0.7806   0.24748   0.23073  -0.0905   0.6567   1.0000
  19.000   0.8017   0.25443   0.23773  -0.0931   0.6243   1.0000
  19.500   0.8233   0.26205   0.24546  -0.0959   0.5926   1.0000
  20.000   0.8435   0.26912   0.25257  -0.0986   0.5644   1.0000
  20.500   0.8643   0.27724   0.26072  -0.1016   0.5396   1.0000
  21.000   0.8860   0.28625   0.26982  -0.1046   0.5144   1.0000
  21.500   0.9012   0.29002   0.27357  -0.1074   0.4930   1.0000
  22.000   0.9241   0.30119   0.28484  -0.1105   0.4695   1.0000
  22.500   0.9380   0.30388   0.28759  -0.1136   0.4511   1.0000
  23.000   0.9545   0.30925   0.29299  -0.1169   0.4325   1.0000
  23.500   0.9721   0.31611   0.29990  -0.1202   0.4150   1.0000
  24.000   0.9903   0.32404   0.30789  -0.1236   0.3980   1.0000
  24.500   1.0081   0.33209   0.31601  -0.1271   0.3820   1.0000
  25.500   1.0389   0.34303   0.32710  -0.1344   0.3533   1.0000
  26.000   1.0523   0.34600   0.33010  -0.1383   0.3409   1.0000
  26.500   1.0661   0.35016   0.33430  -0.1424   0.3297   1.0000
  27.000   1.0813   0.35646   0.34065  -0.1464   0.3189   1.0000
  27.500   1.0976   0.36522   0.34949  -0.1502   0.3071   1.0000
  28.000   1.1114   0.36985   0.35430  -0.1543   0.2953   1.0000
  28.500   1.1227   0.37114   0.35561  -0.1588   0.2865   1.0000
  29.000   1.1377   0.37952   0.36407  -0.1629   0.2773   1.0000
  29.500   1.1506   0.38371   0.36837  -0.1673   0.2672   1.0000
  30.000   1.1620   0.38693   0.37162  -0.1719   0.2606   1.0000
