  
       XFOIL         Version 6.99
  
 Calculated polar for: SA7026                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0693   0.04050   0.01858  -0.0470   1.0000   1.0000
   0.500   0.1099   0.04150   0.01851  -0.0466   1.0000   1.0000
   1.000   0.1491   0.04270   0.01886  -0.0461   1.0000   1.0000
   1.500   0.1871   0.04408   0.01951  -0.0457   1.0000   1.0000
   2.000   0.2237   0.04567   0.02060  -0.0454   1.0000   1.0000
   2.500   0.2590   0.04747   0.02201  -0.0451   1.0000   1.0000
   3.000   0.2928   0.04951   0.02380  -0.0450   1.0000   1.0000
   3.500   0.3251   0.05181   0.02598  -0.0451   1.0000   1.0000
   4.000   0.3559   0.05438   0.02852  -0.0453   1.0000   1.0000
   4.500   0.3852   0.05725   0.03145  -0.0457   1.0000   1.0000
   5.000   0.4128   0.06045   0.03483  -0.0463   1.0000   1.0000
   5.500   0.4389   0.06398   0.03855  -0.0472   1.0000   1.0000
   6.000   0.4633   0.06786   0.04271  -0.0483   1.0000   1.0000
   6.500   0.4863   0.07211   0.04727  -0.0497   1.0000   1.0000
   7.000   0.5079   0.07674   0.05236  -0.0513   1.0000   1.0000
   7.500   0.5282   0.08176   0.05778  -0.0532   1.0000   1.0000
   8.000   0.5474   0.08716   0.06360  -0.0553   1.0000   1.0000
   8.500   0.5654   0.09293   0.06983  -0.0576   1.0000   1.0000
   9.000   0.5826   0.09906   0.07656  -0.0602   1.0000   1.0000
   9.500   0.5989   0.10551   0.08351  -0.0629   1.0000   1.0000
  10.000   0.6146   0.11226   0.09075  -0.0659   1.0000   1.0000
  10.500   0.6299   0.11928   0.09827  -0.0690   1.0000   1.0000
  11.000   0.6450   0.12655   0.10603  -0.0723   1.0000   1.0000
  11.500   0.6600   0.13403   0.11399  -0.0758   1.0000   1.0000
  12.000   0.6750   0.14169   0.12228  -0.0794   1.0000   1.0000
  12.500   0.6902   0.14950   0.13054  -0.0832   1.0000   1.0000
  13.000   0.7058   0.15746   0.13894  -0.0871   1.0000   1.0000
  13.500   0.7217   0.16552   0.14741  -0.0911   1.0000   1.0000
  14.000   0.7379   0.17370   0.15598  -0.0952   1.0000   1.0000
  14.500   0.7545   0.18195   0.16457  -0.0994   1.0000   1.0000
  15.000   0.7715   0.19029   0.17337  -0.1036   1.0000   1.0000
  15.500   0.8174   0.20684   0.19046  -0.1155   0.9565   1.0000
  16.000   0.8498   0.21583   0.19986  -0.1229   0.9051   1.0000
  16.500   0.8775   0.22505   0.20937  -0.1286   0.8653   1.0000
  17.000   0.9099   0.23762   0.22219  -0.1345   0.8195   1.0000
  17.500   0.9307   0.24326   0.22800  -0.1381   0.7845   1.0000
  18.000   0.9583   0.25482   0.23971  -0.1427   0.7507   1.0000
  18.500   0.9798   0.26116   0.24629  -0.1459   0.7133   1.0000
  19.000   1.0042   0.27123   0.25648  -0.1498   0.6833   1.0000
  19.500   1.0236   0.27761   0.26294  -0.1530   0.6577   1.0000
  20.000   1.0456   0.28609   0.27151  -0.1564   0.6293   1.0000
  20.500   1.0664   0.29399   0.27948  -0.1596   0.6013   1.0000
  21.000   1.0840   0.29924   0.28477  -0.1628   0.5780   1.0000
  21.500   1.1055   0.30917   0.29478  -0.1664   0.5569   1.0000
  22.000   1.1222   0.31406   0.29974  -0.1696   0.5348   1.0000
  22.500   1.1411   0.32183   0.30770  -0.1730   0.5139   1.0000
  23.000   1.1592   0.32866   0.31462  -0.1763   0.4918   1.0000
  23.500   1.1775   0.33669   0.32271  -0.1799   0.4734   1.0000
  24.000   1.1923   0.34088   0.32696  -0.1835   0.4566   1.0000
  24.500   1.2084   0.34680   0.33296  -0.1871   0.4401   1.0000
  25.000   1.2257   0.35421   0.34046  -0.1908   0.4231   1.0000
  25.500   1.2437   0.36371   0.35007  -0.1944   0.4065   1.0000
  26.000   1.2593   0.37072   0.35712  -0.1982   0.3913   1.0000
  26.500   1.2736   0.37561   0.36222  -0.2021   0.3770   1.0000
  27.000   1.2881   0.38135   0.36804  -0.2061   0.3631   1.0000
  27.500   1.3030   0.38857   0.37535  -0.2100   0.3498   1.0000
  28.000   1.3164   0.39320   0.38011  -0.2141   0.3373   1.0000
  28.500   1.3275   0.39456   0.38152  -0.2186   0.3265   1.0000
  29.000   1.3400   0.39893   0.38598  -0.2231   0.3162   1.0000
  29.500   1.3537   0.40567   0.39281  -0.2274   0.3057   1.0000
  30.000   1.3677   0.41495   0.40230  -0.2313   0.2943   1.0000
