  
       XFOIL         Version 6.99
  
 Calculated polar for: SD2083 (9.0%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0277   0.03857   0.01507  -0.0275   1.0000   1.0000
   0.500   0.0645   0.03932   0.01509  -0.0262   1.0000   1.0000
   1.000   0.1010   0.04024   0.01538  -0.0249   1.0000   1.0000
   1.500   0.1369   0.04131   0.01601  -0.0238   1.0000   1.0000
   2.000   0.1721   0.04257   0.01693  -0.0229   1.0000   1.0000
   2.500   0.2063   0.04402   0.01819  -0.0221   1.0000   1.0000
   3.000   0.2395   0.04569   0.01978  -0.0215   1.0000   1.0000
   3.500   0.2714   0.04761   0.02170  -0.0211   1.0000   1.0000
   4.000   0.3017   0.04980   0.02399  -0.0209   1.0000   1.0000
   4.500   0.3303   0.05231   0.02673  -0.0209   1.0000   1.0000
   5.000   0.3570   0.05518   0.02985  -0.0213   1.0000   1.0000
   5.500   0.3817   0.05846   0.03346  -0.0220   1.0000   1.0000
   6.000   0.4041   0.06218   0.03761  -0.0231   1.0000   1.0000
   6.500   0.4246   0.06638   0.04220  -0.0246   1.0000   1.0000
   7.000   0.4431   0.07105   0.04730  -0.0265   1.0000   1.0000
   7.500   0.4603   0.07617   0.05285  -0.0287   1.0000   1.0000
   8.000   0.4764   0.08174   0.05896  -0.0312   1.0000   1.0000
   8.500   0.4917   0.08769   0.06535  -0.0339   1.0000   1.0000
   9.000   0.5065   0.09399   0.07210  -0.0368   1.0000   1.0000
   9.500   0.5209   0.10060   0.07913  -0.0399   1.0000   1.0000
  10.000   0.5352   0.10749   0.08646  -0.0431   1.0000   1.0000
  10.500   0.5494   0.11461   0.09413  -0.0465   1.0000   1.0000
  11.000   0.5639   0.12190   0.10182  -0.0499   1.0000   1.0000
  11.500   0.5786   0.12936   0.10967  -0.0534   1.0000   1.0000
  12.000   0.5936   0.13691   0.11759  -0.0570   1.0000   1.0000
  12.500   0.6091   0.14457   0.12561  -0.0607   1.0000   1.0000
  13.000   0.6251   0.15229   0.13364  -0.0644   1.0000   1.0000
  13.500   0.6416   0.16008   0.14173  -0.0682   1.0000   1.0000
  14.000   0.6584   0.16793   0.15001  -0.0720   1.0000   1.0000
  14.500   0.6756   0.17582   0.15816  -0.0759   1.0000   1.0000
  15.000   0.7006   0.18548   0.16812  -0.0820   0.9904   1.0000
  15.500   0.7469   0.20184   0.18489  -0.0932   0.9422   1.0000
  16.000   0.7788   0.21072   0.19407  -0.0999   0.8910   1.0000
  16.500   0.8060   0.21971   0.20324  -0.1050   0.8524   1.0000
  17.000   0.8337   0.22965   0.21334  -0.1098   0.8143   1.0000
  17.500   0.8611   0.23953   0.22348  -0.1142   0.7742   1.0000
  18.000   0.8824   0.24626   0.23031  -0.1175   0.7433   1.0000
  18.500   0.9072   0.25545   0.23960  -0.1212   0.7089   1.0000
  19.000   0.9305   0.26425   0.24848  -0.1246   0.6772   1.0000
  19.500   0.9522   0.27235   0.25665  -0.1278   0.6498   1.0000
  20.000   0.9741   0.28101   0.26539  -0.1311   0.6228   1.0000
  20.500   0.9949   0.28891   0.27336  -0.1342   0.5952   1.0000
  21.000   1.0127   0.29424   0.27888  -0.1370   0.5690   1.0000
  21.500   1.0292   0.29894   0.28362  -0.1400   0.5461   1.0000
  22.000   1.0510   0.30951   0.29427  -0.1435   0.5249   1.0000
  22.500   1.0656   0.31266   0.29747  -0.1467   0.5056   1.0000
  23.000   1.0866   0.32300   0.30792  -0.1500   0.4846   1.0000
  23.500   1.1010   0.32673   0.31167  -0.1533   0.4666   1.0000
  24.000   1.1176   0.33249   0.31752  -0.1567   0.4467   1.0000
  24.500   1.1379   0.34398   0.32920  -0.1602   0.4279   1.0000
  25.000   1.1513   0.34707   0.33235  -0.1638   0.4123   1.0000
  25.500   1.1660   0.35196   0.33730  -0.1675   0.3973   1.0000
  26.000   1.1811   0.35793   0.34336  -0.1713   0.3834   1.0000
  26.500   1.1961   0.36415   0.34967  -0.1752   0.3698   1.0000
  27.000   1.2109   0.37063   0.35623  -0.1790   0.3564   1.0000
  27.500   1.2259   0.37761   0.36331  -0.1830   0.3432   1.0000
  28.000   1.2405   0.38516   0.37106  -0.1868   0.3299   1.0000
  28.500   1.2527   0.38790   0.37392  -0.1911   0.3177   1.0000
  29.000   1.2638   0.38982   0.37589  -0.1955   0.3068   1.0000
  29.500   1.2760   0.39443   0.38058  -0.1999   0.2969   1.0000
  30.000   1.2900   0.40300   0.38927  -0.2040   0.2869   1.0000
