  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7032-099-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0610   0.04076   0.02010  -0.0423   1.0000   1.0000
   0.500   0.0996   0.04198   0.02035  -0.0423   1.0000   1.0000
   1.000   0.1366   0.04345   0.02107  -0.0424   1.0000   1.0000
   1.500   0.1721   0.04517   0.02216  -0.0427   1.0000   1.0000
   2.000   0.2061   0.04715   0.02367  -0.0430   1.0000   1.0000
   2.500   0.2385   0.04942   0.02556  -0.0435   1.0000   1.0000
   3.000   0.2694   0.05197   0.02785  -0.0442   1.0000   1.0000
   3.500   0.2990   0.05483   0.03053  -0.0451   1.0000   1.0000
   4.000   0.3273   0.05800   0.03359  -0.0461   1.0000   1.0000
   4.500   0.3542   0.06148   0.03704  -0.0474   1.0000   1.0000
   5.000   0.3799   0.06528   0.04087  -0.0489   1.0000   1.0000
   5.500   0.4045   0.06938   0.04505  -0.0505   1.0000   1.0000
   6.000   0.4280   0.07380   0.04959  -0.0524   1.0000   1.0000
   6.500   0.4508   0.07854   0.05452  -0.0544   1.0000   1.0000
   7.000   0.4727   0.08358   0.05975  -0.0565   1.0000   1.0000
   7.500   0.4938   0.08891   0.06531  -0.0588   1.0000   1.0000
   8.000   0.5142   0.09452   0.07122  -0.0613   1.0000   1.0000
   8.500   0.5340   0.10039   0.07736  -0.0638   1.0000   1.0000
   9.000   0.5533   0.10650   0.08377  -0.0665   1.0000   1.0000
   9.500   0.5723   0.11283   0.09049  -0.0693   1.0000   1.0000
  10.000   0.5909   0.11937   0.09735  -0.0722   1.0000   1.0000
  10.500   0.6092   0.12607   0.10440  -0.0752   1.0000   1.0000
  11.000   0.6274   0.13294   0.11163  -0.0784   1.0000   1.0000
  11.500   0.6454   0.13994   0.11905  -0.0816   1.0000   1.0000
  12.000   0.6635   0.14708   0.12656  -0.0850   1.0000   1.0000
  12.500   0.6815   0.15436   0.13420  -0.0886   1.0000   1.0000
  13.000   0.6996   0.16176   0.14196  -0.0922   1.0000   1.0000
  13.500   0.7177   0.16927   0.14990  -0.0960   1.0000   1.0000
  14.000   0.7359   0.17691   0.15789  -0.1000   1.0000   1.0000
  14.500   0.7542   0.18464   0.16597  -0.1040   1.0000   1.0000
  15.000   0.7724   0.19246   0.17412  -0.1080   1.0000   1.0000
  15.500   0.7990   0.20193   0.18406  -0.1145   0.9881   1.0000
  16.000   0.8410   0.21540   0.19803  -0.1246   0.9412   1.0000
  16.500   0.8722   0.22368   0.20671  -0.1312   0.8938   1.0000
  17.000   0.9031   0.23477   0.21816  -0.1373   0.8539   1.0000
  17.500   0.9314   0.24417   0.22796  -0.1423   0.8118   1.0000
  18.000   0.9533   0.25067   0.23470  -0.1462   0.7794   1.0000
  18.500   0.9786   0.25933   0.24365  -0.1504   0.7410   1.0000
  19.000   1.0033   0.26921   0.25378  -0.1545   0.7099   1.0000
  19.500   1.0249   0.27692   0.26167  -0.1580   0.6790   1.0000
  20.000   1.0455   0.28407   0.26907  -0.1614   0.6491   1.0000
  20.500   1.0688   0.29427   0.27948  -0.1652   0.6214   1.0000
  21.000   1.0869   0.29943   0.28478  -0.1684   0.5938   1.0000
  21.500   1.1040   0.30441   0.28986  -0.1718   0.5704   1.0000
  22.000   1.1258   0.31508   0.30068  -0.1754   0.5468   1.0000
  22.500   1.1424   0.31951   0.30529  -0.1789   0.5231   1.0000
  23.000   1.1627   0.32938   0.31527  -0.1825   0.5027   1.0000
  23.500   1.1775   0.33284   0.31882  -0.1861   0.4834   1.0000
  24.000   1.1965   0.34143   0.32754  -0.1897   0.4626   1.0000
  24.500   1.2158   0.35147   0.33766  -0.1935   0.4448   1.0000
  25.000   1.2305   0.35583   0.34211  -0.1974   0.4291   1.0000
  25.500   1.2456   0.36049   0.34692  -0.2015   0.4131   1.0000
  26.000   1.2610   0.36607   0.35259  -0.2055   0.3977   1.0000
  26.500   1.2765   0.37237   0.35897  -0.2095   0.3834   1.0000
  27.000   1.2919   0.37931   0.36601  -0.2136   0.3698   1.0000
  27.500   1.3074   0.38675   0.37355  -0.2177   0.3562   1.0000
  28.000   1.3230   0.39552   0.38242  -0.2216   0.3428   1.0000
  29.000   1.3470   0.39959   0.38674  -0.2310   0.3205   1.0000
  29.500   1.3603   0.40610   0.39335  -0.2353   0.3106   1.0000
  30.000   1.3756   0.41687   0.40424  -0.2393   0.2991   1.0000
