  
       XFOIL         Version 6.99
  
 Calculated polar for: SD8040 (10%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0222   0.03855   0.01682  -0.0243   1.0000   1.0000
   0.500   0.0569   0.03944   0.01706  -0.0233   1.0000   1.0000
   1.000   0.0909   0.04056   0.01767  -0.0225   1.0000   1.0000
   1.500   0.1239   0.04193   0.01863  -0.0219   1.0000   1.0000
   2.000   0.1556   0.04356   0.01996  -0.0216   1.0000   1.0000
   2.500   0.1862   0.04549   0.02166  -0.0215   1.0000   1.0000
   3.000   0.2151   0.04771   0.02376  -0.0217   1.0000   1.0000
   3.500   0.2427   0.05027   0.02625  -0.0222   1.0000   1.0000
   4.000   0.2689   0.05318   0.02916  -0.0230   1.0000   1.0000
   4.500   0.2936   0.05643   0.03246  -0.0241   1.0000   1.0000
   5.000   0.3170   0.06005   0.03618  -0.0256   1.0000   1.0000
   5.500   0.3395   0.06403   0.04030  -0.0273   1.0000   1.0000
   6.000   0.3607   0.06836   0.04480  -0.0292   1.0000   1.0000
   6.500   0.3812   0.07304   0.04970  -0.0314   1.0000   1.0000
   7.000   0.4009   0.07807   0.05494  -0.0337   1.0000   1.0000
   7.500   0.4200   0.08342   0.06052  -0.0362   1.0000   1.0000
   8.000   0.4385   0.08907   0.06646  -0.0389   1.0000   1.0000
   8.500   0.4567   0.09502   0.07266  -0.0417   1.0000   1.0000
   9.000   0.4745   0.10120   0.07910  -0.0445   1.0000   1.0000
   9.500   0.4920   0.10760   0.08582  -0.0475   1.0000   1.0000
  10.000   0.5095   0.11419   0.09269  -0.0506   1.0000   1.0000
  10.500   0.5269   0.12094   0.09971  -0.0537   1.0000   1.0000
  11.000   0.5444   0.12782   0.10687  -0.0569   1.0000   1.0000
  11.500   0.5620   0.13482   0.11419  -0.0603   1.0000   1.0000
  12.000   0.5798   0.14191   0.12155  -0.0637   1.0000   1.0000
  12.500   0.5978   0.14909   0.12898  -0.0671   1.0000   1.0000
  13.000   0.6159   0.15633   0.13648  -0.0707   1.0000   1.0000
  13.500   0.6344   0.16366   0.14410  -0.0744   1.0000   1.0000
  14.000   0.6528   0.17103   0.15172  -0.0781   1.0000   1.0000
  14.500   0.6715   0.17846   0.15939  -0.0819   1.0000   1.0000
  15.000   0.6904   0.18598   0.16718  -0.0857   1.0000   1.0000
  15.500   0.7297   0.19867   0.18023  -0.0951   0.9697   1.0000
  16.000   0.7670   0.20898   0.19089  -0.1032   0.9205   1.0000
  16.500   0.7991   0.21900   0.20122  -0.1095   0.8776   1.0000
  17.000   0.8292   0.22866   0.21115  -0.1148   0.8360   1.0000
  17.500   0.8552   0.23715   0.21984  -0.1191   0.7992   1.0000
  18.000   0.8784   0.24405   0.22697  -0.1228   0.7644   1.0000
  18.500   0.9022   0.25181   0.23492  -0.1265   0.7305   1.0000
  19.000   0.9249   0.25966   0.24293  -0.1301   0.6995   1.0000
  19.500   0.9476   0.26803   0.25150  -0.1336   0.6702   1.0000
  20.000   0.9718   0.27824   0.26188  -0.1373   0.6414   1.0000
  20.500   0.9893   0.28264   0.26643  -0.1403   0.6151   1.0000
  21.000   1.0095   0.29050   0.27445  -0.1437   0.5911   1.0000
  21.500   1.0287   0.29731   0.28141  -0.1469   0.5665   1.0000
  22.000   1.0492   0.30623   0.29045  -0.1505   0.5448   1.0000
  22.500   1.0650   0.31014   0.29448  -0.1538   0.5236   1.0000
  23.000   1.0841   0.31815   0.30267  -0.1572   0.5024   1.0000
  23.500   1.1055   0.32990   0.31456  -0.1608   0.4826   1.0000
  24.000   1.1204   0.33385   0.31861  -0.1644   0.4656   1.0000
  24.500   1.1360   0.33888   0.32378  -0.1681   0.4487   1.0000
  25.000   1.1518   0.34445   0.32948  -0.1719   0.4322   1.0000
  25.500   1.1677   0.35065   0.33579  -0.1757   0.4164   1.0000
  26.000   1.1839   0.35765   0.34291  -0.1796   0.4013   1.0000
  26.500   1.2000   0.36523   0.35065  -0.1835   0.3865   1.0000
  27.000   1.2167   0.37406   0.35962  -0.1874   0.3717   1.0000
  27.500   1.2288   0.37547   0.36116  -0.1916   0.3585   1.0000
  28.000   1.2410   0.37802   0.36378  -0.1960   0.3469   1.0000
  28.500   1.2549   0.38394   0.36982  -0.2003   0.3357   1.0000
  29.000   1.2706   0.39382   0.37987  -0.2043   0.3237   1.0000
  29.500   1.2831   0.39762   0.38381  -0.2086   0.3117   1.0000
  30.000   1.2940   0.39924   0.38551  -0.2134   0.3026   1.0000
