  
       XFOIL         Version 6.99
  
 Calculated polar for: SG6040                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1229   0.05564   0.03396  -0.0068   1.0000   1.0000
   0.500  -0.1254   0.05516   0.03324  -0.0022   1.0000   1.0000
   1.000  -0.1226   0.05492   0.03272   0.0015   1.0000   1.0000
   1.500  -0.1101   0.05517   0.03261   0.0037   1.0000   1.0000
   2.000  -0.0896   0.05593   0.03301   0.0045   1.0000   1.0000
   2.500  -0.0641   0.05713   0.03386   0.0045   1.0000   1.0000
   3.000  -0.0358   0.05869   0.03513   0.0039   1.0000   1.0000
   3.500  -0.0061   0.06057   0.03676   0.0031   1.0000   1.0000
   4.000   0.0241   0.06273   0.03872   0.0021   1.0000   1.0000
   4.500   0.0545   0.06514   0.04100   0.0009   1.0000   1.0000
   5.000   0.0847   0.06781   0.04358  -0.0004   1.0000   1.0000
   5.500   0.1144   0.07072   0.04646  -0.0019   1.0000   1.0000
   6.000   0.1435   0.07388   0.04964  -0.0034   1.0000   1.0000
   6.500   0.1720   0.07729   0.05311  -0.0051   1.0000   1.0000
   7.000   0.1997   0.08095   0.05688  -0.0069   1.0000   1.0000
   7.500   0.2266   0.08485   0.06095  -0.0088   1.0000   1.0000
   8.000   0.2526   0.08902   0.06530  -0.0108   1.0000   1.0000
   8.500   0.2776   0.09344   0.06993  -0.0130   1.0000   1.0000
   9.000   0.3017   0.09813   0.07490  -0.0153   1.0000   1.0000
   9.500   0.3248   0.10308   0.08013  -0.0178   1.0000   1.0000
  10.000   0.3469   0.10829   0.08567  -0.0204   1.0000   1.0000
  10.500   0.3683   0.11376   0.09145  -0.0233   1.0000   1.0000
  11.000   0.3888   0.11946   0.09748  -0.0263   1.0000   1.0000
  11.500   0.4088   0.12540   0.10378  -0.0295   1.0000   1.0000
  12.000   0.4282   0.13154   0.11025  -0.0329   1.0000   1.0000
  12.500   0.4474   0.13785   0.11689  -0.0364   1.0000   1.0000
  13.000   0.4663   0.14434   0.12373  -0.0401   1.0000   1.0000
  13.500   0.4852   0.15096   0.13066  -0.0440   1.0000   1.0000
  14.000   0.5041   0.15772   0.13771  -0.0479   1.0000   1.0000
  14.500   0.5230   0.16458   0.14488  -0.0520   1.0000   1.0000
  15.000   0.5420   0.17154   0.15212  -0.0561   1.0000   1.0000
  15.500   0.5728   0.18186   0.16276  -0.0634   0.9861   1.0000
  16.000   0.6175   0.19651   0.17784  -0.0738   0.9429   1.0000
  16.500   0.6460   0.20261   0.18423  -0.0798   0.9035   1.0000
  17.000   0.6769   0.21202   0.19393  -0.0858   0.8660   1.0000
  17.500   0.7034   0.21971   0.20184  -0.0908   0.8331   1.0000
  18.000   0.7282   0.22695   0.20927  -0.0953   0.8027   1.0000
  18.500   0.7550   0.23643   0.21898  -0.1001   0.7744   1.0000
  19.000   0.7780   0.24298   0.22571  -0.1040   0.7466   1.0000
  19.500   0.8005   0.25027   0.23314  -0.1080   0.7228   1.0000
  20.000   0.8218   0.25633   0.23938  -0.1118   0.6980   1.0000
  20.500   0.8475   0.26713   0.25034  -0.1162   0.6752   1.0000
  21.000   0.8645   0.27038   0.25371  -0.1195   0.6549   1.0000
  21.500   0.8841   0.27604   0.25953  -0.1231   0.6336   1.0000
  22.000   0.9057   0.28385   0.26748  -0.1270   0.6128   1.0000
  22.500   0.9280   0.29313   0.27692  -0.1310   0.5934   1.0000
  23.000   0.9483   0.30104   0.28496  -0.1349   0.5752   1.0000
  23.500   0.9659   0.30633   0.29037  -0.1385   0.5580   1.0000
  24.000   0.9836   0.31174   0.29588  -0.1423   0.5409   1.0000
  24.500   1.0013   0.31764   0.30190  -0.1461   0.5242   1.0000
  25.000   1.0191   0.32398   0.30838  -0.1499   0.5078   1.0000
  25.500   1.0368   0.33054   0.31505  -0.1538   0.4916   1.0000
  26.000   1.0548   0.33806   0.32270  -0.1577   0.4757   1.0000
  26.500   1.0708   0.34296   0.32777  -0.1616   0.4602   1.0000
  27.000   1.0844   0.34502   0.32990  -0.1656   0.4459   1.0000
  27.500   1.0984   0.34832   0.33328  -0.1697   0.4327   1.0000
  28.000   1.1132   0.35331   0.33836  -0.1738   0.4197   1.0000
  28.500   1.1292   0.36020   0.34538  -0.1779   0.4068   1.0000
  29.000   1.1465   0.36980   0.35510  -0.1819   0.3932   1.0000
  29.500   1.1596   0.37257   0.35800  -0.1861   0.3799   1.0000
  30.000   1.1708   0.37368   0.35916  -0.1906   0.3691   1.0000
