  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 234 (Bartel 17-IC)                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0686   0.07058   0.05163  -0.0290   1.0000   1.0000
   0.500   0.1021   0.07406   0.05443  -0.0314   1.0000   1.0000
   1.000   0.1310   0.07780   0.05768  -0.0332   1.0000   1.0000
   1.500   0.1572   0.08183   0.06134  -0.0347   1.0000   1.0000
   2.000   0.1815   0.08613   0.06536  -0.0362   1.0000   1.0000
   2.500   0.2044   0.09068   0.06968  -0.0378   1.0000   1.0000
   3.000   0.2265   0.09543   0.07426  -0.0394   1.0000   1.0000
   3.500   0.2481   0.10033   0.07901  -0.0410   1.0000   1.0000
   4.000   0.2697   0.10534   0.08389  -0.0428   1.0000   1.0000
   4.500   0.2912   0.11043   0.08888  -0.0445   1.0000   1.0000
   5.000   0.3128   0.11558   0.09395  -0.0463   1.0000   1.0000
   5.500   0.3344   0.12080   0.09911  -0.0482   1.0000   1.0000
   6.000   0.3560   0.12608   0.10435  -0.0502   1.0000   1.0000
   6.500   0.3775   0.13143   0.10968  -0.0522   1.0000   1.0000
   7.000   0.3988   0.13686   0.11512  -0.0544   1.0000   1.0000
   7.500   0.4199   0.14236   0.12063  -0.0566   1.0000   1.0000
   8.000   0.4408   0.14795   0.12624  -0.0589   1.0000   1.0000
   8.500   0.4616   0.15360   0.13192  -0.0613   1.0000   1.0000
   9.000   0.4823   0.15932   0.13768  -0.0638   1.0000   1.0000
   9.500   0.5028   0.16511   0.14352  -0.0664   1.0000   1.0000
  10.000   0.5232   0.17095   0.14940  -0.0691   1.0000   1.0000
  10.500   0.5477   0.17756   0.15608  -0.0728   0.9955   1.0000
  11.000   0.5870   0.18848   0.16712  -0.0802   0.9687   1.0000
  11.500   0.6217   0.19883   0.17756  -0.0862   0.9436   1.0000
  12.000   0.6480   0.20376   0.18259  -0.0903   0.9188   1.0000
  12.500   0.6761   0.21106   0.18998  -0.0947   0.8950   1.0000
  13.000   0.7038   0.21888   0.19790  -0.0989   0.8724   1.0000
  13.500   0.7301   0.22641   0.20552  -0.1028   0.8511   1.0000
  14.000   0.7558   0.23402   0.21323  -0.1066   0.8302   1.0000
  14.500   0.7798   0.24072   0.22001  -0.1100   0.8103   1.0000
  15.000   0.8036   0.24759   0.22698  -0.1134   0.7904   1.0000
  15.500   0.8259   0.25363   0.23313  -0.1166   0.7710   1.0000
  16.000   0.8468   0.25850   0.23808  -0.1196   0.7519   1.0000
  16.500   0.8663   0.26238   0.24208  -0.1224   0.7334   1.0000
  17.000   0.8844   0.26556   0.24535  -0.1251   0.7158   1.0000
  17.500   0.9026   0.26944   0.24933  -0.1279   0.6988   1.0000
  18.000   0.9215   0.27440   0.25441  -0.1309   0.6828   1.0000
  18.500   0.9423   0.28154   0.26168  -0.1343   0.6667   1.0000
  19.000   0.9654   0.29149   0.27180  -0.1379   0.6490   1.0000
  19.500   0.9810   0.29312   0.27359  -0.1406   0.6321   1.0000
  20.000   0.9954   0.29501   0.27559  -0.1434   0.6174   1.0000
  20.500   1.0135   0.30132   0.28206  -0.1466   0.6027   1.0000
  21.000   1.0349   0.31154   0.29246  -0.1502   0.5862   1.0000
  21.500   1.0508   0.31502   0.29615  -0.1533   0.5692   1.0000
  22.000   1.0629   0.31542   0.29667  -0.1562   0.5548   1.0000
  22.500   1.0780   0.31996   0.30137  -0.1595   0.5401   1.0000
  23.000   1.0946   0.32653   0.30812  -0.1628   0.5250   1.0000
  23.500   1.1119   0.33440   0.31617  -0.1663   0.5089   1.0000
  24.500   1.1392   0.34144   0.32356  -0.1728   0.4768   1.0000
  25.000   1.1505   0.34320   0.32544  -0.1761   0.4628   1.0000
  25.500   1.1642   0.34868   0.33106  -0.1796   0.4491   1.0000
  26.000   1.1816   0.36023   0.34279  -0.1831   0.4337   1.0000
  26.500   1.1904   0.35827   0.34097  -0.1865   0.4190   1.0000
  27.000   1.2012   0.36165   0.34446  -0.1902   0.4079   1.0000
  28.000   1.2235   0.36885   0.35195  -0.1974   0.3822   1.0000
  28.500   1.2396   0.38262   0.36588  -0.2009   0.3702   1.0000
  29.000   1.2450   0.37714   0.36053  -0.2049   0.3590   1.0000
  29.500   1.2587   0.38827   0.37180  -0.2085   0.3489   1.0000
  30.000   1.2650   0.38497   0.36865  -0.2125   0.3380   1.0000
