  
       XFOIL         Version 6.99
  
 Calculated polar for: Supermarine 371-I (root)                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0581   0.04666   0.02179  -0.0005   1.0000   1.0000
   0.500  -0.0468   0.04661   0.02156   0.0044   1.0000   1.0000
   1.000  -0.0336   0.04668   0.02146   0.0089   1.0000   1.0000
   1.500  -0.0182   0.04687   0.02151   0.0131   1.0000   1.0000
   2.000  -0.0004   0.04725   0.02177   0.0167   1.0000   1.0000
   2.500   0.0201   0.04782   0.02229   0.0198   1.0000   1.0000
   3.000   0.0429   0.04860   0.02308   0.0224   1.0000   1.0000
   3.500   0.0674   0.04962   0.02418   0.0244   1.0000   1.0000
   4.000   0.0926   0.05088   0.02558   0.0260   1.0000   1.0000
   4.500   0.1182   0.05241   0.02731   0.0272   1.0000   1.0000
   5.000   0.1434   0.05423   0.02943   0.0280   1.0000   1.0000
   5.500   0.1678   0.05638   0.03193   0.0284   1.0000   1.0000
   6.000   0.1909   0.05891   0.03488   0.0284   1.0000   1.0000
   6.500   0.2122   0.06186   0.03827   0.0280   1.0000   1.0000
   7.000   0.2314   0.06532   0.04219   0.0271   1.0000   1.0000
   7.500   0.2482   0.06931   0.04671   0.0257   1.0000   1.0000
   8.000   0.2628   0.07391   0.05179   0.0237   1.0000   1.0000
   8.500   0.2753   0.07912   0.05747   0.0212   1.0000   1.0000
   9.000   0.2866   0.08487   0.06365   0.0182   1.0000   1.0000
   9.500   0.2973   0.09108   0.07030   0.0149   1.0000   1.0000
  10.000   0.3083   0.09760   0.07716   0.0114   1.0000   1.0000
  10.500   0.3201   0.10434   0.08422   0.0079   1.0000   1.0000
  11.000   0.3330   0.11117   0.09133   0.0043   1.0000   1.0000
  11.500   0.3470   0.11807   0.09848   0.0007   1.0000   1.0000
  12.000   0.3620   0.12500   0.10563  -0.0028   1.0000   1.0000
  12.500   0.3779   0.13193   0.11281  -0.0064   1.0000   1.0000
  13.000   0.3946   0.13887   0.11993  -0.0100   1.0000   1.0000
  13.500   0.4120   0.14580   0.12701  -0.0135   1.0000   1.0000
  14.000   0.4299   0.15271   0.13407  -0.0171   1.0000   1.0000
  14.500   0.4560   0.16193   0.14346  -0.0228   0.9926   1.0000
  15.000   0.5003   0.17545   0.15732  -0.0330   0.9511   1.0000
  15.500   0.5330   0.18598   0.16804  -0.0397   0.9192   1.0000
  16.000   0.5654   0.19711   0.17932  -0.0459   0.8859   1.0000
  16.500   0.5914   0.20518   0.18759  -0.0505   0.8565   1.0000
  17.000   0.6145   0.21174   0.19425  -0.0544   0.8283   1.0000
  17.500   0.6382   0.21891   0.20152  -0.0583   0.7999   1.0000
  18.000   0.6620   0.22685   0.20954  -0.0622   0.7744   1.0000
  18.500   0.6886   0.23691   0.21975  -0.0665   0.7473   1.0000
  19.000   0.7099   0.24293   0.22586  -0.0697   0.7199   1.0000
  19.500   0.7297   0.24855   0.23152  -0.0729   0.6960   1.0000
  20.000   0.7550   0.25870   0.24177  -0.0768   0.6710   1.0000
  20.500   0.7741   0.26351   0.24664  -0.0798   0.6454   1.0000
  21.000   0.7939   0.26978   0.25301  -0.0831   0.6222   1.0000
  21.500   0.8189   0.28054   0.26388  -0.0869   0.5976   1.0000
  22.000   0.8339   0.28276   0.26612  -0.0897   0.5759   1.0000
  22.500   0.8572   0.29293   0.27636  -0.0934   0.5526   1.0000
  23.000   0.8727   0.29580   0.27932  -0.0964   0.5307   1.0000
  23.500   0.8963   0.30732   0.29096  -0.1001   0.5087   1.0000
  24.000   0.9111   0.31047   0.29411  -0.1035   0.4911   1.0000
  24.500   0.9270   0.31456   0.29825  -0.1069   0.4718   1.0000
  25.000   0.9448   0.32104   0.30480  -0.1104   0.4523   1.0000
  26.000   0.9815   0.33731   0.32130  -0.1177   0.4175   1.0000
  26.500   0.9975   0.34346   0.32751  -0.1215   0.4021   1.0000
  27.000   1.0127   0.34852   0.33263  -0.1253   0.3872   1.0000
  27.500   1.0264   0.35195   0.33610  -0.1293   0.3732   1.0000
  28.000   1.0399   0.35553   0.33980  -0.1333   0.3596   1.0000
  28.500   1.0532   0.35933   0.34365  -0.1374   0.3472   1.0000
  29.000   1.0673   0.36483   0.34921  -0.1416   0.3357   1.0000
  29.500   1.0831   0.37368   0.35815  -0.1457   0.3240   1.0000
  30.000   1.0965   0.37852   0.36310  -0.1499   0.3118   1.0000
