  
       XFOIL         Version 6.99
  
 Calculated polar for: USNPS4 (smoothed)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0225   0.05206   0.03931  -0.0261   1.0000   0.8310
   0.500   0.0892   0.05330   0.03711  -0.0466   1.0000   1.0000
   1.000   0.1374   0.05572   0.03703  -0.0472   1.0000   1.0000
   1.500   0.1716   0.05822   0.03806  -0.0465   1.0000   1.0000
   2.000   0.2019   0.06102   0.03983  -0.0463   1.0000   1.0000
   2.500   0.2298   0.06415   0.04220  -0.0464   1.0000   1.0000
   3.000   0.2560   0.06760   0.04505  -0.0467   1.0000   1.0000
   3.500   0.2806   0.07136   0.04836  -0.0474   1.0000   1.0000
   4.000   0.3041   0.07541   0.05206  -0.0482   1.0000   1.0000
   4.500   0.3267   0.07974   0.05608  -0.0493   1.0000   1.0000
   5.000   0.3486   0.08431   0.06043  -0.0505   1.0000   1.0000
   5.500   0.3699   0.08910   0.06503  -0.0518   1.0000   1.0000
   6.000   0.3908   0.09406   0.06986  -0.0532   1.0000   1.0000
   6.500   0.4114   0.09919   0.07490  -0.0548   1.0000   1.0000
   7.000   0.4318   0.10446   0.08010  -0.0564   1.0000   1.0000
   7.500   0.4520   0.10984   0.08544  -0.0581   1.0000   1.0000
   8.000   0.4723   0.11531   0.09091  -0.0599   1.0000   1.0000
   8.500   0.4925   0.12087   0.09649  -0.0618   1.0000   1.0000
   9.000   0.5127   0.12649   0.10215  -0.0638   1.0000   1.0000
   9.500   0.5329   0.13217   0.10791  -0.0659   1.0000   1.0000
  10.000   0.5533   0.13790   0.11372  -0.0680   1.0000   1.0000
  10.500   0.5737   0.14368   0.11960  -0.0703   1.0000   1.0000
  11.000   0.5942   0.14951   0.12559  -0.0727   1.0000   1.0000
  11.500   0.6147   0.15538   0.13160  -0.0752   1.0000   1.0000
  12.000   0.6352   0.16130   0.13769  -0.0777   1.0000   1.0000
  12.500   0.6557   0.16726   0.14388  -0.0804   1.0000   1.0000
  13.000   0.6763   0.17329   0.15011  -0.0832   1.0000   1.0000
  13.500   0.6968   0.17938   0.15643  -0.0861   1.0000   1.0000
  14.000   0.7172   0.18554   0.16287  -0.0891   1.0000   1.0000
  14.500   0.7376   0.19176   0.16936  -0.0922   1.0000   1.0000
  15.000   0.7578   0.19806   0.17595  -0.0954   1.0000   1.0000
  15.500   0.7779   0.20445   0.18269  -0.0987   1.0000   1.0000
  16.000   0.7978   0.21092   0.18948  -0.1022   1.0000   1.0000
  16.500   0.8307   0.22033   0.19939  -0.1093   0.9831   1.0000
  17.000   0.8609   0.22762   0.20713  -0.1156   0.9579   1.0000
  17.500   0.8892   0.23466   0.21461  -0.1214   0.9304   1.0000
  18.000   0.9156   0.24178   0.22222  -0.1266   0.9040   1.0000
  18.500   0.9411   0.24870   0.22958  -0.1316   0.8750   1.0000
  19.000   0.9659   0.25617   0.23750  -0.1364   0.8465   1.0000
  19.500   0.9897   0.26338   0.24519  -0.1410   0.8165   1.0000
  20.000   1.0124   0.27027   0.25251  -0.1453   0.7854   1.0000
  20.500   1.0345   0.27745   0.26013  -0.1495   0.7543   1.0000
  21.000   1.0555   0.28415   0.26721  -0.1535   0.7217   1.0000
  21.500   1.0762   0.29119   0.27459  -0.1574   0.6894   1.0000
  22.000   1.0963   0.29842   0.28213  -0.1613   0.6577   1.0000
  22.500   1.1161   0.30574   0.28977  -0.1651   0.6268   1.0000
  23.000   1.1359   0.31376   0.29805  -0.1689   0.5974   1.0000
  23.500   1.1574   0.32441   0.30895  -0.1729   0.5687   1.0000
  24.000   1.1721   0.32711   0.31183  -0.1764   0.5430   1.0000
  24.500   1.1910   0.33602   0.32097  -0.1803   0.5198   1.0000
  25.000   1.2061   0.33991   0.32503  -0.1841   0.4974   1.0000
  25.500   1.2268   0.35196   0.33731  -0.1880   0.4753   1.0000
  26.000   1.2419   0.35735   0.34282  -0.1921   0.4577   1.0000
  26.500   1.2561   0.36124   0.34690  -0.1962   0.4404   1.0000
  27.000   1.2710   0.36655   0.35235  -0.2005   0.4240   1.0000
  27.500   1.2862   0.37277   0.35872  -0.2048   0.4085   1.0000
  28.000   1.3016   0.37972   0.36583  -0.2091   0.3936   1.0000
  28.500   1.3176   0.38847   0.37478  -0.2134   0.3792   1.0000
  29.000   1.3319   0.39417   0.38067  -0.2179   0.3653   1.0000
  29.500   1.3425   0.39390   0.38050  -0.2229   0.3538   1.0000
  30.000   1.3554   0.39895   0.38567  -0.2277   0.3434   1.0000
