  
       XFOIL         Version 6.99
  
 Calculated polar for: WASP (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0793   0.03829   0.01608  -0.0353   1.0000   1.0000
   0.500   0.1158   0.03939   0.01650  -0.0346   1.0000   1.0000
   1.000   0.1508   0.04075   0.01730  -0.0340   1.0000   1.0000
   1.500   0.1841   0.04240   0.01854  -0.0336   1.0000   1.0000
   2.000   0.2157   0.04435   0.02017  -0.0335   1.0000   1.0000
   2.500   0.2457   0.04662   0.02222  -0.0337   1.0000   1.0000
   3.000   0.2742   0.04922   0.02468  -0.0342   1.0000   1.0000
   3.500   0.3012   0.05214   0.02753  -0.0349   1.0000   1.0000
   4.000   0.3269   0.05539   0.03077  -0.0359   1.0000   1.0000
   4.500   0.3515   0.05897   0.03440  -0.0371   1.0000   1.0000
   5.000   0.3750   0.06287   0.03839  -0.0385   1.0000   1.0000
   5.500   0.3974   0.06708   0.04273  -0.0401   1.0000   1.0000
   6.000   0.4188   0.07160   0.04745  -0.0419   1.0000   1.0000
   6.500   0.4393   0.07642   0.05246  -0.0438   1.0000   1.0000
   7.000   0.4591   0.08152   0.05779  -0.0458   1.0000   1.0000
   7.500   0.4783   0.08690   0.06346  -0.0479   1.0000   1.0000
   8.000   0.4968   0.09252   0.06934  -0.0501   1.0000   1.0000
   8.500   0.5148   0.09835   0.07546  -0.0524   1.0000   1.0000
   9.000   0.5325   0.10439   0.08180  -0.0548   1.0000   1.0000
   9.500   0.5499   0.11060   0.08838  -0.0572   1.0000   1.0000
  10.000   0.5670   0.11697   0.09508  -0.0597   1.0000   1.0000
  10.500   0.5840   0.12349   0.10193  -0.0623   1.0000   1.0000
  11.000   0.6009   0.13015   0.10893  -0.0650   1.0000   1.0000
  11.500   0.6177   0.13695   0.11615  -0.0678   1.0000   1.0000
  12.000   0.6345   0.14390   0.12346  -0.0708   1.0000   1.0000
  12.500   0.6512   0.15100   0.13092  -0.0739   1.0000   1.0000
  13.000   0.6679   0.15826   0.13854  -0.0772   1.0000   1.0000
  13.500   0.6846   0.16569   0.14638  -0.0807   1.0000   1.0000
  14.000   0.7014   0.17330   0.15432  -0.0843   1.0000   1.0000
  14.500   0.7183   0.18107   0.16240  -0.0881   1.0000   1.0000
  15.000   0.7354   0.18897   0.17058  -0.0920   1.0000   1.0000
  15.500   0.7590   0.19858   0.18050  -0.0977   0.9939   1.0000
  16.000   0.8114   0.21463   0.19711  -0.1105   0.9260   1.0000
  16.500   0.8452   0.22489   0.20767  -0.1171   0.8672   1.0000
  17.000   0.8747   0.23527   0.21826  -0.1221   0.8197   1.0000
  17.500   0.9008   0.24427   0.22744  -0.1260   0.7748   1.0000
  18.000   0.9209   0.25025   0.23363  -0.1289   0.7376   1.0000
  18.500   0.9473   0.26131   0.24483  -0.1326   0.6999   1.0000
  19.000   0.9677   0.26865   0.25228  -0.1355   0.6693   1.0000
  19.500   0.9883   0.27645   0.26019  -0.1385   0.6393   1.0000
  20.000   1.0095   0.28514   0.26905  -0.1415   0.6102   1.0000
  20.500   1.0263   0.29007   0.27407  -0.1443   0.5853   1.0000
  21.000   1.0449   0.29743   0.28150  -0.1474   0.5626   1.0000
  21.500   1.0660   0.30698   0.29118  -0.1506   0.5377   1.0000
  22.000   1.0818   0.31210   0.29635  -0.1537   0.5184   1.0000
  22.500   1.0982   0.31761   0.30201  -0.1570   0.4986   1.0000
  23.000   1.1179   0.32704   0.31156  -0.1603   0.4785   1.0000
  23.500   1.1359   0.33554   0.32012  -0.1637   0.4609   1.0000
  24.000   1.1509   0.34032   0.32497  -0.1673   0.4450   1.0000
  24.500   1.1665   0.34614   0.33087  -0.1709   0.4296   1.0000
  25.000   1.1822   0.35222   0.33704  -0.1746   0.4145   1.0000
  25.500   1.1978   0.35852   0.34350  -0.1784   0.3997   1.0000
  26.000   1.2136   0.36557   0.35065  -0.1823   0.3855   1.0000
  26.500   1.2300   0.37422   0.35940  -0.1861   0.3718   1.0000
  27.000   1.2436   0.37820   0.36350  -0.1902   0.3591   1.0000
  27.500   1.2558   0.38032   0.36569  -0.1945   0.3479   1.0000
  28.000   1.2694   0.38560   0.37105  -0.1988   0.3371   1.0000
  28.500   1.2843   0.39392   0.37955  -0.2029   0.3260   1.0000
  29.000   1.2997   0.40400   0.38979  -0.2068   0.3138   1.0000
  29.500   1.3091   0.40174   0.38758  -0.2118   0.3050   1.0000
  30.000   1.3227   0.40961   0.39556  -0.2161   0.2964   1.0000
