  
       XFOIL         Version 6.99
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0432   0.05026   0.02792  -0.0269   1.0000   1.0000
   0.500  -0.0075   0.05153   0.02842  -0.0266   1.0000   1.0000
   1.000   0.0276   0.05300   0.02928  -0.0263   1.0000   1.0000
   1.500   0.0620   0.05468   0.03044  -0.0260   1.0000   1.0000
   2.000   0.0954   0.05657   0.03194  -0.0259   1.0000   1.0000
   2.500   0.1279   0.05868   0.03375  -0.0259   1.0000   1.0000
   3.000   0.1592   0.06104   0.03590  -0.0260   1.0000   1.0000
   3.500   0.1892   0.06366   0.03837  -0.0263   1.0000   1.0000
   4.000   0.2179   0.06654   0.04120  -0.0267   1.0000   1.0000
   4.500   0.2452   0.06972   0.04438  -0.0273   1.0000   1.0000
   5.000   0.2710   0.07320   0.04792  -0.0281   1.0000   1.0000
   5.500   0.2954   0.07701   0.05183  -0.0290   1.0000   1.0000
   6.000   0.3183   0.08114   0.05612  -0.0302   1.0000   1.0000
   6.500   0.3399   0.08559   0.06075  -0.0316   1.0000   1.0000
   7.000   0.3604   0.09033   0.06572  -0.0331   1.0000   1.0000
   7.500   0.3802   0.09531   0.07091  -0.0348   1.0000   1.0000
   8.000   0.3996   0.10047   0.07630  -0.0366   1.0000   1.0000
   8.500   0.4189   0.10577   0.08188  -0.0385   1.0000   1.0000
   9.000   0.4382   0.11118   0.08754  -0.0405   1.0000   1.0000
   9.500   0.4576   0.11668   0.09331  -0.0426   1.0000   1.0000
  10.000   0.4771   0.12226   0.09922  -0.0448   1.0000   1.0000
  10.500   0.4968   0.12791   0.10517  -0.0470   1.0000   1.0000
  11.000   0.5165   0.13361   0.11119  -0.0494   1.0000   1.0000
  11.500   0.5364   0.13939   0.11735  -0.0519   1.0000   1.0000
  12.000   0.5563   0.14524   0.12355  -0.0545   1.0000   1.0000
  12.500   0.5763   0.15117   0.12986  -0.0572   1.0000   1.0000
  13.000   0.5963   0.15720   0.13627  -0.0600   1.0000   1.0000
  13.500   0.6162   0.16333   0.14287  -0.0630   1.0000   1.0000
  14.000   0.6359   0.16958   0.14955  -0.0661   1.0000   1.0000
  14.500   0.6555   0.17598   0.15640  -0.0694   1.0000   1.0000
  15.000   0.6748   0.18258   0.16346  -0.0728   1.0000   1.0000
  15.500   0.6939   0.18939   0.17081  -0.0765   1.0000   1.0000
  16.000   0.7126   0.19648   0.17836  -0.0803   1.0000   1.0000
  16.500   0.7547   0.21114   0.19373  -0.0909   0.9693   1.0000
  17.000   0.7889   0.22072   0.20389  -0.0990   0.9214   1.0000
  17.500   0.8169   0.22863   0.21224  -0.1052   0.8728   1.0000
  18.000   0.8437   0.23784   0.22184  -0.1108   0.8263   1.0000
  18.500   0.8721   0.24908   0.23331  -0.1163   0.7792   1.0000
  19.000   0.8995   0.25996   0.24434  -0.1210   0.7348   1.0000
  19.500   0.9173   0.26395   0.24840  -0.1239   0.6992   1.0000
  20.000   0.9397   0.27202   0.25656  -0.1277   0.6674   1.0000
  20.500   0.9598   0.27859   0.26320  -0.1312   0.6407   1.0000
  21.000   0.9829   0.28815   0.27290  -0.1350   0.6148   1.0000
  21.500   1.0003   0.29256   0.27738  -0.1383   0.5915   1.0000
  22.000   1.0211   0.30036   0.28527  -0.1421   0.5690   1.0000
  22.500   1.0457   0.31285   0.29784  -0.1460   0.5469   1.0000
  23.000   1.0612   0.31612   0.30116  -0.1495   0.5282   1.0000
  23.500   1.0787   0.32187   0.30703  -0.1532   0.5102   1.0000
  24.000   1.0974   0.32929   0.31452  -0.1571   0.4932   1.0000
  24.500   1.1160   0.33687   0.32219  -0.1609   0.4762   1.0000
  25.000   1.1345   0.34470   0.33009  -0.1648   0.4593   1.0000
  25.500   1.1506   0.34963   0.33512  -0.1687   0.4433   1.0000
  26.000   1.1633   0.35057   0.33610  -0.1729   0.4297   1.0000
  26.500   1.1785   0.35558   0.34122  -0.1772   0.4180   1.0000
  27.000   1.1974   0.36622   0.35196  -0.1813   0.4049   1.0000
  27.500   1.2124   0.37048   0.35633  -0.1856   0.3908   1.0000
  28.000   1.2245   0.37205   0.35793  -0.1902   0.3802   1.0000
  28.500   1.2416   0.38159   0.36757  -0.1945   0.3687   1.0000
  29.000   1.2563   0.38674   0.37284  -0.1989   0.3560   1.0000
  29.500   1.2676   0.38798   0.37418  -0.2038   0.3475   1.0000
  30.000   1.2861   0.40232   0.38864  -0.2079   0.3364   1.0000
