  
       XFOIL         Version 6.99
  
 Calculated polar for: YS-915                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0675   0.03790   0.01133  -0.0121   1.0000   1.0000
   0.500  -0.0298   0.03813   0.01116  -0.0104   1.0000   1.0000
   1.000   0.0086   0.03848   0.01128  -0.0088   1.0000   1.0000
   1.500   0.0471   0.03896   0.01168  -0.0072   1.0000   1.0000
   2.000   0.0857   0.03956   0.01233  -0.0058   1.0000   1.0000
   2.500   0.1241   0.04028   0.01327  -0.0044   1.0000   1.0000
   3.000   0.1621   0.04115   0.01453  -0.0030   1.0000   1.0000
   3.500   0.1995   0.04219   0.01634  -0.0017   1.0000   1.0000
   4.000   0.2358   0.04340   0.01823  -0.0004   1.0000   1.0000
   4.500   0.2708   0.04484   0.02049   0.0007   1.0000   1.0000
   5.000   0.3041   0.04654   0.02319   0.0018   1.0000   1.0000
   5.500   0.3353   0.04861   0.02685   0.0027   1.0000   1.0000
   6.000   0.3634   0.05113   0.03070   0.0033   1.0000   1.0000
   6.500   0.3867   0.05435   0.03536   0.0033   1.0000   1.0000
   7.000   0.3998   0.05896   0.04138   0.0021   1.0000   1.0000
   7.500   0.3942   0.06618   0.04930  -0.0021   1.0000   1.0000
   8.000   0.3836   0.07501   0.05821  -0.0081   1.0000   1.0000
   8.500   0.6301   0.10425   0.08938  -0.0434   0.5490   1.0000
   9.000   0.6257   0.11275   0.09769  -0.0447   0.5458   1.0000
   9.500   0.6218   0.12153   0.10630  -0.0473   0.5607   1.0000
  10.000   0.6113   0.12941   0.11401  -0.0501   0.5927   1.0000
  10.500   0.5933   0.13620   0.12057  -0.0530   0.6506   1.0000
  11.000   0.5436   0.13914   0.12317  -0.0535   0.8070   1.0000
  11.500   0.4555   0.13000   0.11341  -0.0358   1.0000   1.0000
  12.000   0.4725   0.13736   0.12081  -0.0389   1.0000   1.0000
  12.500   0.4900   0.14467   0.12815  -0.0421   1.0000   1.0000
  13.000   0.5079   0.15192   0.13541  -0.0452   1.0000   1.0000
  13.500   0.5262   0.15916   0.14265  -0.0484   1.0000   1.0000
  14.000   0.5448   0.16633   0.14983  -0.0516   1.0000   1.0000
  14.500   0.5711   0.17599   0.15985  -0.0569   0.9930   1.0000
  15.000   0.6034   0.18648   0.17043  -0.0638   0.9729   1.0000
  15.500   0.6344   0.19631   0.18032  -0.0701   0.9482   1.0000
  16.000   0.6650   0.20612   0.19020  -0.0761   0.9201   1.0000
  16.500   0.6952   0.21641   0.20053  -0.0817   0.8906   1.0000
  17.000   0.7194   0.22241   0.20657  -0.0857   0.8593   1.0000
  17.500   0.7501   0.23359   0.21781  -0.0908   0.8260   1.0000
  18.000   0.7732   0.23903   0.22326  -0.0942   0.7908   1.0000
  18.500   0.7986   0.24659   0.23085  -0.0977   0.7530   1.0000
  19.000   0.8241   0.25459   0.23888  -0.1010   0.7131   1.0000
  19.500   0.8477   0.26199   0.24630  -0.1040   0.6746   1.0000
  20.000   0.8708   0.26980   0.25441  -0.1068   0.6388   1.0000
  20.500   0.8951   0.27921   0.26387  -0.1097   0.6038   1.0000
  21.000   0.9146   0.28584   0.27050  -0.1123   0.5752   1.0000
  21.500   0.9335   0.29237   0.27705  -0.1150   0.5483   1.0000
  22.000   0.9531   0.29996   0.28467  -0.1178   0.5225   1.0000
  22.500   0.9711   0.30632   0.29108  -0.1206   0.4979   1.0000
  23.000   0.9856   0.30988   0.29463  -0.1234   0.4762   1.0000
  23.500   1.0041   0.31804   0.30283  -0.1264   0.4553   1.0000
  24.000   1.0192   0.32250   0.30731  -0.1294   0.4347   1.0000
  24.500   1.0371   0.33102   0.31603  -0.1326   0.4162   1.0000
  25.000   1.0501   0.33379   0.31883  -0.1358   0.3990   1.0000
  25.500   1.0656   0.33995   0.32504  -0.1391   0.3814   1.0000
  26.000   1.0826   0.34886   0.33404  -0.1424   0.3650   1.0000
  26.500   1.0969   0.35481   0.34000  -0.1459   0.3505   1.0000
  27.000   1.1099   0.35896   0.34420  -0.1495   0.3367   1.0000
  27.500   1.1227   0.36328   0.34867  -0.1532   0.3229   1.0000
  28.000   1.1357   0.36833   0.35378  -0.1569   0.3097   1.0000
  28.500   1.1490   0.37433   0.35985  -0.1607   0.2970   1.0000
  29.000   1.1623   0.38125   0.36686  -0.1644   0.2845   1.0000
  29.500   1.1726   0.38288   0.36858  -0.1685   0.2732   1.0000
  30.000   1.1828   0.38452   0.37025  -0.1728   0.2633   1.0000
