  
       XFOIL         Version 6.99
  
 Calculated polar for: AG09                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1193   0.03119   0.00734  -0.0267   1.0000   1.0000
   0.500   0.1665   0.03141   0.00721  -0.0258   1.0000   1.0000
   1.000   0.2122   0.03176   0.00746  -0.0248   1.0000   1.0000
   1.500   0.2563   0.03225   0.00804  -0.0239   1.0000   1.0000
   2.000   0.2985   0.03295   0.00903  -0.0231   1.0000   1.0000
   2.500   0.3383   0.03393   0.01050  -0.0226   1.0000   1.0000
   3.000   0.3744   0.03537   0.01246  -0.0225   1.0000   1.0000
   3.500   0.4059   0.03753   0.01517  -0.0234   1.0000   1.0000
   4.000   0.4311   0.04066   0.01889  -0.0257   1.0000   1.0000
   4.500   0.4513   0.04480   0.02346  -0.0293   1.0000   1.0000
   5.000   0.4689   0.04974   0.02879  -0.0337   1.0000   1.0000
   5.500   0.4853   0.05525   0.03466  -0.0384   1.0000   1.0000
   6.000   0.5013   0.06118   0.04095  -0.0429   1.0000   1.0000
   6.500   0.5169   0.06748   0.04772  -0.0473   1.0000   1.0000
   7.000   0.5322   0.07411   0.05469  -0.0515   1.0000   1.0000
   7.500   0.5473   0.08108   0.06199  -0.0555   1.0000   1.0000
   8.000   0.5621   0.08834   0.06957  -0.0593   1.0000   1.0000
   8.500   0.5768   0.09588   0.07741  -0.0630   1.0000   1.0000
   9.000   0.5913   0.10363   0.08544  -0.0666   1.0000   1.0000
   9.500   0.6060   0.11157   0.09364  -0.0701   1.0000   1.0000
  10.000   0.6208   0.11965   0.10206  -0.0736   1.0000   1.0000
  10.500   0.6360   0.12781   0.11044  -0.0770   1.0000   1.0000
  11.000   0.6516   0.13602   0.11884  -0.0804   1.0000   1.0000
  11.500   0.6678   0.14424   0.12723  -0.0838   1.0000   1.0000
  12.000   0.6844   0.15247   0.13561  -0.0873   1.0000   1.0000
  12.500   0.7016   0.16071   0.14398  -0.0908   1.0000   1.0000
  13.000   0.7192   0.16892   0.15232  -0.0943   1.0000   1.0000
  13.500   0.7373   0.17713   0.16073  -0.0979   1.0000   1.0000
  14.000   0.7556   0.18532   0.16903  -0.1016   1.0000   1.0000
  14.500   0.7743   0.19351   0.17732  -0.1053   1.0000   1.0000
  15.000   0.8229   0.20889   0.19298  -0.1169   0.9548   1.0000
  15.500   0.8649   0.21977   0.20410  -0.1248   0.8747   1.0000
  16.000   0.8991   0.23129   0.21584  -0.1299   0.8135   1.0000
  16.500   0.9231   0.23885   0.22350  -0.1329   0.7661   1.0000
  17.000   0.9496   0.24868   0.23343  -0.1361   0.7195   1.0000
  17.500   0.9747   0.25853   0.24337  -0.1389   0.6755   1.0000
  18.000   0.9941   0.26515   0.25003  -0.1410   0.6373   1.0000
  18.500   1.0187   0.27633   0.26128  -0.1439   0.6031   1.0000
  19.000   1.0374   0.28346   0.26858  -0.1465   0.5743   1.0000
  19.500   1.0566   0.29116   0.27633  -0.1492   0.5460   1.0000
  20.000   1.0761   0.29956   0.28480  -0.1519   0.5184   1.0000
  20.500   1.0944   0.30693   0.29225  -0.1547   0.4921   1.0000
  21.000   1.1089   0.31094   0.29627  -0.1576   0.4697   1.0000
  21.500   1.1294   0.32152   0.30692  -0.1608   0.4481   1.0000
  22.000   1.1436   0.32514   0.31059  -0.1642   0.4297   1.0000
  22.500   1.1609   0.33256   0.31821  -0.1676   0.4108   1.0000
  23.000   1.1809   0.34422   0.32995  -0.1710   0.3927   1.0000
  23.500   1.1949   0.34808   0.33387  -0.1748   0.3773   1.0000
  24.000   1.2096   0.35287   0.33872  -0.1787   0.3618   1.0000
  24.500   1.2247   0.35856   0.34449  -0.1827   0.3468   1.0000
  25.000   1.2401   0.36497   0.35098  -0.1867   0.3331   1.0000
  25.500   1.2556   0.37216   0.35825  -0.1908   0.3203   1.0000
  26.000   1.2717   0.38095   0.36727  -0.1948   0.3079   1.0000
  26.500   1.2864   0.38727   0.37371  -0.1991   0.2957   1.0000
  27.000   1.2983   0.38847   0.37497  -0.2040   0.2857   1.0000
  27.500   1.3120   0.39416   0.38074  -0.2086   0.2761   1.0000
  28.000   1.3270   0.40352   0.39021  -0.2128   0.2656   1.0000
  28.500   1.3402   0.40838   0.39521  -0.2174   0.2548   1.0000
  29.000   1.3516   0.41028   0.39727  -0.2227   0.2471   1.0000
  29.500   1.3660   0.42119   0.40831  -0.2269   0.2382   1.0000
  30.000   1.3768   0.42135   0.40859  -0.2323   0.2299   1.0000
