  
       XFOIL         Version 6.99
  
 Calculated polar for: AG25 Bubble Dancer DLG by Mark Drela | The AG2x 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1133   0.03380   0.01063  -0.0383   1.0000   1.0000
   0.500   0.1567   0.03444   0.01073  -0.0381   1.0000   1.0000
   1.000   0.1991   0.03530   0.01125  -0.0379   1.0000   1.0000
   1.500   0.2402   0.03639   0.01214  -0.0379   1.0000   1.0000
   2.000   0.2794   0.03776   0.01343  -0.0381   1.0000   1.0000
   2.500   0.3166   0.03945   0.01517  -0.0386   1.0000   1.0000
   3.000   0.3515   0.04152   0.01742  -0.0393   1.0000   1.0000
   3.500   0.3838   0.04402   0.02014  -0.0405   1.0000   1.0000
   4.000   0.4134   0.04703   0.02343  -0.0421   1.0000   1.0000
   4.500   0.4402   0.05056   0.02740  -0.0442   1.0000   1.0000
   5.000   0.4644   0.05465   0.03187  -0.0467   1.0000   1.0000
   5.500   0.4864   0.05929   0.03690  -0.0496   1.0000   1.0000
   6.000   0.5064   0.06445   0.04248  -0.0527   1.0000   1.0000
   6.500   0.5248   0.07008   0.04854  -0.0561   1.0000   1.0000
   7.000   0.5418   0.07616   0.05517  -0.0595   1.0000   1.0000
   7.500   0.5580   0.08265   0.06208  -0.0631   1.0000   1.0000
   8.000   0.5734   0.08949   0.06935  -0.0667   1.0000   1.0000
   8.500   0.5883   0.09666   0.07692  -0.0702   1.0000   1.0000
   9.000   0.6028   0.10409   0.08476  -0.0738   1.0000   1.0000
   9.500   0.6172   0.11175   0.09293  -0.0773   1.0000   1.0000
  10.000   0.6317   0.11961   0.10116  -0.0809   1.0000   1.0000
  10.500   0.6463   0.12761   0.10952  -0.0845   1.0000   1.0000
  11.000   0.6614   0.13574   0.11798  -0.0882   1.0000   1.0000
  11.500   0.6769   0.14395   0.12652  -0.0919   1.0000   1.0000
  12.000   0.6928   0.15224   0.13510  -0.0956   1.0000   1.0000
  12.500   0.7094   0.16060   0.14373  -0.0994   1.0000   1.0000
  13.000   0.7265   0.16901   0.15252  -0.1034   1.0000   1.0000
  13.500   0.7442   0.17747   0.16121  -0.1073   1.0000   1.0000
  14.000   0.7622   0.18595   0.16990  -0.1114   1.0000   1.0000
  14.500   0.7807   0.19446   0.17860  -0.1154   1.0000   1.0000
  15.000   0.8233   0.20771   0.19221  -0.1260   0.9595   1.0000
  15.500   0.8655   0.22108   0.20585  -0.1348   0.8989   1.0000
  16.000   0.8955   0.22930   0.21426  -0.1397   0.8395   1.0000
  16.500   0.9224   0.23845   0.22367  -0.1438   0.7972   1.0000
  17.000   0.9485   0.24781   0.23315  -0.1476   0.7574   1.0000
  17.500   0.9730   0.25627   0.24171  -0.1508   0.7146   1.0000
  18.000   0.9978   0.26573   0.25125  -0.1540   0.6756   1.0000
  18.500   1.0183   0.27281   0.25839  -0.1569   0.6448   1.0000
  19.000   1.0393   0.28070   0.26634  -0.1600   0.6164   1.0000
  19.500   1.0601   0.28858   0.27428  -0.1630   0.5873   1.0000
  20.000   1.0808   0.29654   0.28230  -0.1660   0.5584   1.0000
  20.500   1.1001   0.30378   0.28973  -0.1690   0.5319   1.0000
  21.000   1.1200   0.31210   0.29809  -0.1723   0.5090   1.0000
  21.500   1.1392   0.31965   0.30572  -0.1757   0.4873   1.0000
  22.000   1.1575   0.32726   0.31337  -0.1792   0.4686   1.0000
  22.500   1.1737   0.33218   0.31834  -0.1827   0.4488   1.0000
  23.000   1.1951   0.34411   0.33034  -0.1862   0.4289   1.0000
  23.500   1.2089   0.34658   0.33285  -0.1900   0.4121   1.0000
  24.000   1.2248   0.35187   0.33819  -0.1939   0.3947   1.0000
  24.500   1.2416   0.35871   0.34524  -0.1977   0.3786   1.0000
  25.000   1.2579   0.36521   0.35182  -0.2018   0.3642   1.0000
  25.500   1.2734   0.37100   0.35767  -0.2061   0.3513   1.0000
  26.000   1.2886   0.37678   0.36352  -0.2104   0.3387   1.0000
  26.500   1.3036   0.38269   0.36952  -0.2147   0.3266   1.0000
  27.000   1.3187   0.38923   0.37613  -0.2191   0.3147   1.0000
  27.500   1.3342   0.39696   0.38395  -0.2234   0.3029   1.0000
  28.000   1.3500   0.40645   0.39365  -0.2275   0.2907   1.0000
  28.500   1.3617   0.40711   0.39441  -0.2326   0.2801   1.0000
  29.000   1.3741   0.41059   0.39796  -0.2376   0.2715   1.0000
  29.500   1.3887   0.41999   0.40748  -0.2420   0.2623   1.0000
  30.000   1.4007   0.42279   0.41040  -0.2471   0.2528   1.0000
