  
       XFOIL         Version 6.99
  
 Calculated polar for: AG455ct -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1077   0.03183   0.00860  -0.0229   1.0000   1.0000
   0.500   0.1506   0.03220   0.00869  -0.0221   1.0000   1.0000
   1.000   0.1911   0.03279   0.00914  -0.0213   1.0000   1.0000
   1.500   0.2287   0.03366   0.00999  -0.0208   1.0000   1.0000
   2.000   0.2636   0.03490   0.01128  -0.0205   1.0000   1.0000
   2.500   0.2965   0.03658   0.01309  -0.0208   1.0000   1.0000
   3.000   0.3270   0.03874   0.01539  -0.0218   1.0000   1.0000
   3.500   0.3552   0.04141   0.01828  -0.0235   1.0000   1.0000
   4.000   0.3809   0.04466   0.02187  -0.0259   1.0000   1.0000
   4.500   0.4043   0.04849   0.02598  -0.0288   1.0000   1.0000
   5.000   0.4258   0.05287   0.03068  -0.0322   1.0000   1.0000
   5.500   0.4457   0.05778   0.03591  -0.0358   1.0000   1.0000
   6.000   0.4643   0.06315   0.04161  -0.0395   1.0000   1.0000
   6.500   0.4819   0.06893   0.04785  -0.0432   1.0000   1.0000
   7.000   0.4987   0.07508   0.05433  -0.0470   1.0000   1.0000
   7.500   0.5151   0.08157   0.06115  -0.0506   1.0000   1.0000
   8.000   0.5311   0.08835   0.06825  -0.0542   1.0000   1.0000
   8.500   0.5469   0.09540   0.07561  -0.0577   1.0000   1.0000
   9.000   0.5624   0.10266   0.08330  -0.0611   1.0000   1.0000
   9.500   0.5780   0.11011   0.09105  -0.0645   1.0000   1.0000
  10.000   0.5935   0.11771   0.09895  -0.0679   1.0000   1.0000
  10.500   0.6093   0.12544   0.10696  -0.0713   1.0000   1.0000
  11.000   0.6253   0.13327   0.11507  -0.0747   1.0000   1.0000
  11.500   0.6416   0.14117   0.12322  -0.0781   1.0000   1.0000
  12.000   0.6583   0.14914   0.13143  -0.0816   1.0000   1.0000
  12.500   0.6754   0.15716   0.13979  -0.0852   1.0000   1.0000
  13.000   0.6930   0.16524   0.14808  -0.0888   1.0000   1.0000
  13.500   0.7109   0.17334   0.15639  -0.0925   1.0000   1.0000
  14.000   0.7291   0.18148   0.16472  -0.0963   1.0000   1.0000
  14.500   0.7476   0.18966   0.17307  -0.1001   1.0000   1.0000
  15.000   0.7956   0.20451   0.18840  -0.1118   0.9532   1.0000
  15.500   0.8360   0.21640   0.20060  -0.1198   0.8871   1.0000
  16.000   0.8675   0.22583   0.21021  -0.1246   0.8231   1.0000
  16.500   0.8964   0.23580   0.22034  -0.1284   0.7677   1.0000
  17.000   0.9215   0.24536   0.23002  -0.1318   0.7272   1.0000
  17.500   0.9446   0.25408   0.23884  -0.1347   0.6885   1.0000
  18.000   0.9691   0.26427   0.24925  -0.1376   0.6489   1.0000
  18.500   0.9872   0.27013   0.25518  -0.1398   0.6142   1.0000
  19.000   1.0076   0.27824   0.26336  -0.1427   0.5852   1.0000
  19.500   1.0269   0.28583   0.27101  -0.1456   0.5590   1.0000
  20.000   1.0464   0.29368   0.27893  -0.1486   0.5326   1.0000
  20.500   1.0662   0.30209   0.28741  -0.1516   0.5067   1.0000
  21.000   1.0877   0.31264   0.29803  -0.1547   0.4814   1.0000
  21.500   1.1015   0.31549   0.30104  -0.1579   0.4615   1.0000
  22.000   1.1216   0.32522   0.31087  -0.1613   0.4414   1.0000
  22.500   1.1384   0.33183   0.31752  -0.1648   0.4240   1.0000
  23.000   1.1535   0.33623   0.32197  -0.1685   0.4061   1.0000
  23.500   1.1710   0.34367   0.32949  -0.1721   0.3877   1.0000
  24.000   1.1896   0.35352   0.33944  -0.1757   0.3708   1.0000
  24.500   1.2068   0.36224   0.34821  -0.1795   0.3558   1.0000
  25.000   1.2222   0.36803   0.35422  -0.1836   0.3423   1.0000
  25.500   1.2361   0.37145   0.35769  -0.1880   0.3297   1.0000
  26.000   1.2501   0.37548   0.36179  -0.1925   0.3177   1.0000
  26.500   1.2644   0.38035   0.36672  -0.1969   0.3062   1.0000
  27.000   1.2791   0.38646   0.37291  -0.2014   0.2952   1.0000
  27.500   1.2944   0.39447   0.38102  -0.2057   0.2842   1.0000
  28.000   1.3106   0.40537   0.39203  -0.2097   0.2723   1.0000
  28.500   1.3213   0.40361   0.39035  -0.2151   0.2632   1.0000
  29.000   1.3349   0.40996   0.39689  -0.2199   0.2553   1.0000
  29.500   1.3500   0.42092   0.40801  -0.2240   0.2452   1.0000
  30.000   1.3601   0.41910   0.40625  -0.2298   0.2386   1.0000
