  
       XFOIL         Version 6.99
  
 Calculated polar for: AG45c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0367   0.03179   0.01025  -0.0255   1.0000   1.0000
   0.500   0.0810   0.03198   0.00979  -0.0249   1.0000   1.0000
   1.000   0.1223   0.03237   0.00969  -0.0242   1.0000   1.0000
   1.500   0.1602   0.03303   0.01005  -0.0236   1.0000   1.0000
   2.000   0.1950   0.03401   0.01078  -0.0230   1.0000   1.0000
   2.500   0.2283   0.03536   0.01194  -0.0229   1.0000   1.0000
   3.000   0.2609   0.03707   0.01354  -0.0234   1.0000   1.0000
   3.500   0.2921   0.03914   0.01560  -0.0244   1.0000   1.0000
   4.000   0.3220   0.04161   0.01813  -0.0259   1.0000   1.0000
   4.500   0.3503   0.04451   0.02116  -0.0278   1.0000   1.0000
   5.000   0.3768   0.04786   0.02475  -0.0302   1.0000   1.0000
   5.500   0.4016   0.05166   0.02879  -0.0328   1.0000   1.0000
   6.000   0.4248   0.05594   0.03334  -0.0358   1.0000   1.0000
   6.500   0.4464   0.06069   0.03838  -0.0389   1.0000   1.0000
   7.000   0.4665   0.06587   0.04399  -0.0422   1.0000   1.0000
   7.500   0.4854   0.07146   0.04991  -0.0456   1.0000   1.0000
   8.000   0.5034   0.07744   0.05623  -0.0490   1.0000   1.0000
   8.500   0.5206   0.08378   0.06290  -0.0524   1.0000   1.0000
   9.000   0.5373   0.09043   0.06989  -0.0558   1.0000   1.0000
   9.500   0.5535   0.09736   0.07727  -0.0592   1.0000   1.0000
  10.000   0.5694   0.10451   0.08476  -0.0625   1.0000   1.0000
  10.500   0.5851   0.11188   0.09246  -0.0659   1.0000   1.0000
  11.000   0.6008   0.11941   0.10030  -0.0692   1.0000   1.0000
  11.500   0.6166   0.12708   0.10829  -0.0726   1.0000   1.0000
  12.000   0.6327   0.13488   0.11647  -0.0760   1.0000   1.0000
  12.500   0.6490   0.14276   0.12464  -0.0795   1.0000   1.0000
  13.000   0.6656   0.15072   0.13288  -0.0830   1.0000   1.0000
  13.500   0.6827   0.15876   0.14118  -0.0867   1.0000   1.0000
  14.000   0.7002   0.16686   0.14952  -0.0904   1.0000   1.0000
  14.500   0.7180   0.17501   0.15789  -0.0942   1.0000   1.0000
  15.000   0.7362   0.18319   0.16629  -0.0980   1.0000   1.0000
  15.500   0.7547   0.19144   0.17482  -0.1019   1.0000   1.0000
  16.000   0.8122   0.20740   0.19126  -0.1157   0.9222   1.0000
  16.500   0.8515   0.22008   0.20422  -0.1228   0.8548   1.0000
  17.000   0.8810   0.23009   0.21444  -0.1272   0.8011   1.0000
  17.500   0.9053   0.23813   0.22261  -0.1301   0.7494   1.0000
  18.000   0.9302   0.24773   0.23244  -0.1333   0.7070   1.0000
  18.500   0.9522   0.25650   0.24131  -0.1363   0.6750   1.0000
  19.000   0.9731   0.26444   0.24935  -0.1390   0.6402   1.0000
  19.500   0.9968   0.27496   0.25996  -0.1420   0.6068   1.0000
  20.000   1.0163   0.28254   0.26761  -0.1448   0.5782   1.0000
  20.500   1.0358   0.29027   0.27545  -0.1478   0.5528   1.0000
  21.000   1.0521   0.29545   0.28077  -0.1507   0.5295   1.0000
  21.500   1.0717   0.30383   0.28921  -0.1539   0.5057   1.0000
  22.000   1.0941   0.31532   0.30083  -0.1571   0.4809   1.0000
  22.500   1.1076   0.31765   0.30316  -0.1604   0.4621   1.0000
  23.000   1.1256   0.32494   0.31053  -0.1639   0.4431   1.0000
  23.500   1.1469   0.33707   0.32273  -0.1674   0.4246   1.0000
  24.000   1.1612   0.34035   0.32606  -0.1712   0.4087   1.0000
  24.500   1.1765   0.34503   0.33091  -0.1751   0.3920   1.0000
  25.000   1.1928   0.35111   0.33708  -0.1790   0.3758   1.0000
  25.500   1.2090   0.35759   0.34362  -0.1830   0.3610   1.0000
  26.000   1.2249   0.36387   0.34998  -0.1872   0.3480   1.0000
  26.500   1.2407   0.37035   0.35653  -0.1914   0.3356   1.0000
  27.000   1.2566   0.37741   0.36368  -0.1957   0.3234   1.0000
  27.500   1.2726   0.38543   0.37179  -0.1999   0.3111   1.0000
  28.000   1.2888   0.39470   0.38126  -0.2040   0.2984   1.0000
  28.500   1.3013   0.39610   0.38276  -0.2089   0.2874   1.0000
  29.000   1.3142   0.39940   0.38612  -0.2139   0.2782   1.0000
  29.500   1.3291   0.40788   0.39470  -0.2184   0.2690   1.0000
  30.000   1.3432   0.41461   0.40158  -0.2229   0.2586   1.0000
