  
       XFOIL         Version 6.99
  
 Calculated polar for: AG45ct -02f                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1023   0.03224   0.00907  -0.0229   1.0000   1.0000
   0.500   0.1430   0.03270   0.00922  -0.0220   1.0000   1.0000
   1.000   0.1813   0.03339   0.00973  -0.0212   1.0000   1.0000
   1.500   0.2170   0.03439   0.01064  -0.0205   1.0000   1.0000
   2.000   0.2511   0.03576   0.01198  -0.0203   1.0000   1.0000
   2.500   0.2833   0.03751   0.01380  -0.0207   1.0000   1.0000
   3.000   0.3135   0.03970   0.01610  -0.0216   1.0000   1.0000
   3.500   0.3416   0.04237   0.01894  -0.0231   1.0000   1.0000
   4.000   0.3675   0.04554   0.02242  -0.0253   1.0000   1.0000
   4.500   0.3915   0.04923   0.02637  -0.0278   1.0000   1.0000
   5.000   0.4136   0.05343   0.03086  -0.0308   1.0000   1.0000
   5.500   0.4343   0.05811   0.03586  -0.0340   1.0000   1.0000
   6.000   0.4536   0.06324   0.04133  -0.0374   1.0000   1.0000
   6.500   0.4719   0.06879   0.04733  -0.0408   1.0000   1.0000
   7.000   0.4891   0.07472   0.05360  -0.0443   1.0000   1.0000
   7.500   0.5058   0.08102   0.06024  -0.0478   1.0000   1.0000
   8.000   0.5220   0.08763   0.06720  -0.0512   1.0000   1.0000
   8.500   0.5378   0.09453   0.07443  -0.0547   1.0000   1.0000
   9.000   0.5533   0.10167   0.08201  -0.0580   1.0000   1.0000
   9.500   0.5687   0.10901   0.08968  -0.0614   1.0000   1.0000
  10.000   0.5841   0.11653   0.09751  -0.0647   1.0000   1.0000
  10.500   0.5996   0.12418   0.10547  -0.0681   1.0000   1.0000
  11.000   0.6154   0.13196   0.11353  -0.0715   1.0000   1.0000
  11.500   0.6315   0.13982   0.12167  -0.0749   1.0000   1.0000
  12.000   0.6479   0.14775   0.12996  -0.0784   1.0000   1.0000
  12.500   0.6648   0.15575   0.13820  -0.0820   1.0000   1.0000
  13.000   0.6822   0.16380   0.14647  -0.0856   1.0000   1.0000
  13.500   0.6999   0.17188   0.15477  -0.0894   1.0000   1.0000
  14.000   0.7179   0.18000   0.16308  -0.0931   1.0000   1.0000
  14.500   0.7363   0.18815   0.17141  -0.0970   1.0000   1.0000
  15.000   0.7845   0.20305   0.18680  -0.1087   0.9528   1.0000
  15.500   0.8272   0.21604   0.20008  -0.1172   0.8838   1.0000
  16.000   0.8585   0.22616   0.21040  -0.1222   0.8270   1.0000
  16.500   0.8877   0.23618   0.22058  -0.1260   0.7706   1.0000
  17.000   0.9116   0.24482   0.22934  -0.1290   0.7275   1.0000
  17.500   0.9370   0.25527   0.24004  -0.1323   0.6906   1.0000
  18.000   0.9542   0.26040   0.24521  -0.1344   0.6558   1.0000
  18.500   0.9791   0.27140   0.25630  -0.1374   0.6200   1.0000
  19.000   0.9975   0.27786   0.26282  -0.1400   0.5902   1.0000
  19.500   1.0191   0.28737   0.27241  -0.1430   0.5638   1.0000
  20.000   1.0384   0.29502   0.28015  -0.1459   0.5376   1.0000
  20.500   1.0544   0.29983   0.28499  -0.1488   0.5132   1.0000
  21.000   1.0728   0.30718   0.29251  -0.1519   0.4900   1.0000
  21.500   1.0950   0.31889   0.30433  -0.1551   0.4665   1.0000
  22.000   1.1090   0.32196   0.30741  -0.1585   0.4491   1.0000
  22.500   1.1256   0.32783   0.31335  -0.1620   0.4305   1.0000
  23.000   1.1453   0.33776   0.32338  -0.1655   0.4116   1.0000
  23.500   1.1621   0.34500   0.33065  -0.1691   0.3953   1.0000
  24.000   1.1768   0.34923   0.33494  -0.1730   0.3795   1.0000
  24.500   1.1924   0.35477   0.34066  -0.1770   0.3643   1.0000
  25.000   1.2083   0.36110   0.34706  -0.1810   0.3504   1.0000
  25.500   1.2243   0.36823   0.35427  -0.1851   0.3376   1.0000
  26.000   1.2407   0.37614   0.36227  -0.1892   0.3249   1.0000
  26.500   1.2570   0.38488   0.37110  -0.1932   0.3120   1.0000
  27.000   1.2705   0.38831   0.37464  -0.1977   0.2999   1.0000
  27.500   1.2831   0.39054   0.37692  -0.2026   0.2896   1.0000
  28.000   1.2972   0.39636   0.38291  -0.2073   0.2799   1.0000
  28.500   1.3125   0.40610   0.39276  -0.2114   0.2695   1.0000
  29.000   1.3252   0.40906   0.39585  -0.2164   0.2594   1.0000
  29.500   1.3373   0.41271   0.39956  -0.2214   0.2523   1.0000
  30.000   1.3528   0.42611   0.41310  -0.2253   0.2427   1.0000
