  
       XFOIL         Version 6.99
  
 Calculated polar for: AG47ct  -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0873   0.03065   0.00654  -0.0173   1.0000   1.0000
   0.500   0.1354   0.03082   0.00649  -0.0166   1.0000   1.0000
   1.000   0.1823   0.03111   0.00678  -0.0159   1.0000   1.0000
   1.500   0.2274   0.03153   0.00741  -0.0152   1.0000   1.0000
   2.000   0.2703   0.03214   0.00849  -0.0146   1.0000   1.0000
   2.500   0.3103   0.03303   0.00990  -0.0142   1.0000   1.0000
   3.000   0.3464   0.03433   0.01183  -0.0142   1.0000   1.0000
   3.500   0.3786   0.03629   0.01442  -0.0150   1.0000   1.0000
   4.000   0.4054   0.03917   0.01804  -0.0174   1.0000   1.0000
   4.500   0.4256   0.04330   0.02270  -0.0216   1.0000   1.0000
   5.000   0.4405   0.04865   0.02848  -0.0273   1.0000   1.0000
   5.500   0.4537   0.05479   0.03494  -0.0333   1.0000   1.0000
   6.000   0.4671   0.06133   0.04176  -0.0389   1.0000   1.0000
   6.500   0.4813   0.06810   0.04879  -0.0439   1.0000   1.0000
   7.000   0.5860   0.08414   0.06602  -0.0692   0.8962   1.0000
   7.500   0.6063   0.09257   0.07470  -0.0738   0.8808   1.0000
   8.000   0.6097   0.09935   0.08157  -0.0753   0.8955   1.0000
   8.500   0.5765   0.10144   0.08342  -0.0686   0.9682   1.0000
   9.000   0.5585   0.10447   0.08638  -0.0634   1.0000   1.0000
   9.500   0.5746   0.11214   0.09424  -0.0667   1.0000   1.0000
  10.000   0.5908   0.11989   0.10217  -0.0700   1.0000   1.0000
  10.500   0.6074   0.12771   0.11016  -0.0732   1.0000   1.0000
  11.000   0.6242   0.13558   0.11831  -0.0765   1.0000   1.0000
  11.500   0.6413   0.14347   0.12636  -0.0798   1.0000   1.0000
  12.000   0.6588   0.15138   0.13443  -0.0831   1.0000   1.0000
  12.500   0.6767   0.15933   0.14251  -0.0865   1.0000   1.0000
  13.000   0.6948   0.16729   0.15061  -0.0900   1.0000   1.0000
  13.500   0.7133   0.17527   0.15871  -0.0935   1.0000   1.0000
  14.000   0.7320   0.18327   0.16695  -0.0972   1.0000   1.0000
  14.500   0.7509   0.19131   0.17511  -0.1009   1.0000   1.0000
  15.000   0.7930   0.20401   0.18810  -0.1109   0.9626   1.0000
  15.500   0.8367   0.21641   0.20076  -0.1197   0.8916   1.0000
  16.000   0.8715   0.22730   0.21182  -0.1251   0.8257   1.0000
  16.500   0.9026   0.23791   0.22258  -0.1289   0.7638   1.0000
  17.000   0.9276   0.24708   0.23197  -0.1318   0.7158   1.0000
  17.500   0.9500   0.25549   0.24045  -0.1344   0.6768   1.0000
  18.000   0.9758   0.26688   0.25194  -0.1375   0.6389   1.0000
  18.500   0.9920   0.27161   0.25671  -0.1394   0.6042   1.0000
  19.000   1.0160   0.28262   0.26780  -0.1422   0.5689   1.0000
  19.500   1.0328   0.28823   0.27345  -0.1445   0.5385   1.0000
  20.000   1.0519   0.29599   0.28140  -0.1473   0.5109   1.0000
  20.500   1.0727   0.30592   0.29140  -0.1503   0.4857   1.0000
  21.000   1.0879   0.31036   0.29589  -0.1532   0.4628   1.0000
  21.500   1.1055   0.31777   0.30334  -0.1564   0.4414   1.0000
  22.000   1.1249   0.32702   0.31268  -0.1595   0.4183   1.0000
  22.500   1.1396   0.33156   0.31723  -0.1630   0.3997   1.0000
  23.000   1.1559   0.33776   0.32350  -0.1665   0.3802   1.0000
  23.500   1.1751   0.34844   0.33429  -0.1699   0.3623   1.0000
  24.000   1.1913   0.35585   0.34187  -0.1737   0.3475   1.0000
  24.500   1.2068   0.36199   0.34808  -0.1777   0.3335   1.0000
  25.000   1.2221   0.36849   0.35464  -0.1817   0.3197   1.0000
  25.500   1.2376   0.37559   0.36183  -0.1858   0.3061   1.0000
  26.000   1.2517   0.38022   0.36656  -0.1901   0.2932   1.0000
  26.500   1.2645   0.38265   0.36904  -0.1948   0.2817   1.0000
  27.000   1.2779   0.38678   0.37324  -0.1994   0.2711   1.0000
  27.500   1.2921   0.39341   0.38005  -0.2039   0.2611   1.0000
  28.000   1.3079   0.40404   0.39079  -0.2080   0.2505   1.0000
  28.500   1.3193   0.40441   0.39127  -0.2132   0.2414   1.0000
  29.000   1.3324   0.41053   0.39748  -0.2180   0.2342   1.0000
  29.500   1.3468   0.42031   0.40742  -0.2223   0.2243   1.0000
  30.000   1.3572   0.41961   0.40677  -0.2281   0.2181   1.0000
