  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0094   0.13475   0.12190   0.0004   1.0000   1.0000
   0.500  -0.0117   0.13496   0.12211   0.0012   1.0000   1.0000
   1.000  -0.0140   0.13512   0.12227   0.0021   1.0000   1.0000
   1.500  -0.0165   0.13518   0.12234   0.0030   1.0000   1.0000
   2.000  -0.0192   0.13513   0.12229   0.0040   1.0000   1.0000
   2.500  -0.0223   0.13498   0.12215   0.0049   1.0000   1.0000
   3.000  -0.0258   0.13471   0.12190   0.0059   1.0000   1.0000
   3.500  -0.0298   0.13432   0.12152   0.0070   1.0000   1.0000
   4.000  -0.0348   0.13373   0.12094   0.0081   1.0000   1.0000
   4.500  -0.0405   0.13293   0.12016   0.0093   1.0000   1.0000
   5.000  -0.0477   0.13183   0.11907   0.0107   1.0000   1.0000
   5.500  -0.0563   0.13036   0.11761   0.0124   1.0000   1.0000
   6.000  -0.0673   0.12832   0.11559   0.0143   1.0000   1.0000
   6.500  -0.0812   0.12563   0.11292   0.0167   1.0000   1.0000
   7.000  -0.0987   0.12190   0.10919   0.0196   1.0000   1.0000
   7.500  -0.1129   0.11803   0.10523   0.0217   1.0000   1.0000
   8.000  -0.1097   0.11614   0.10309   0.0202   1.0000   1.0000
   8.500  -0.0873   0.11709   0.10366   0.0150   1.0000   1.0000
   9.000  -0.0498   0.12040   0.10649   0.0067   1.0000   1.0000
   9.500  -0.0042   0.12527   0.11080  -0.0031   1.0000   1.0000
  10.000   0.0443   0.13105   0.11594  -0.0132   1.0000   1.0000
  10.500   0.0916   0.13724   0.12143  -0.0225   1.0000   1.0000
  11.000   0.1354   0.14349   0.12695  -0.0304   1.0000   1.0000
  11.500   0.1745   0.14962   0.13236  -0.0366   1.0000   1.0000
  12.000   0.2096   0.15558   0.13769  -0.0416   1.0000   1.0000
  12.500   0.2418   0.16146   0.14304  -0.0458   1.0000   1.0000
  13.000   0.2725   0.16732   0.14845  -0.0496   1.0000   1.0000
  13.500   0.3043   0.17319   0.15394  -0.0538   0.9973   1.0000
  14.000   0.3649   0.18709   0.16754  -0.0646   0.9531   1.0000
  14.500   0.4118   0.19713   0.17729  -0.0716   0.9110   1.0000
  15.000   0.4489   0.20369   0.18365  -0.0763   0.8733   1.0000
  15.500   0.4863   0.21227   0.19202  -0.0808   0.8404   1.0000
  16.000   0.5210   0.21997   0.19959  -0.0847   0.8074   1.0000
  16.500   0.5461   0.22278   0.20224  -0.0871   0.7782   1.0000
  17.000   0.5815   0.23292   0.21230  -0.0912   0.7519   1.0000
  17.500   0.6065   0.23732   0.21658  -0.0938   0.7296   1.0000
  18.000   0.6316   0.24193   0.22114  -0.0964   0.7069   1.0000
  18.500   0.6572   0.24723   0.22638  -0.0992   0.6841   1.0000
  19.000   0.6825   0.25293   0.23207  -0.1021   0.6622   1.0000
  19.500   0.7083   0.25955   0.23867  -0.1052   0.6438   1.0000
  20.000   0.7350   0.26752   0.24666  -0.1085   0.6256   1.0000
  20.500   0.7614   0.27573   0.25490  -0.1118   0.6060   1.0000
  21.000   0.7840   0.28090   0.26014  -0.1147   0.5867   1.0000
  21.500   0.8014   0.28229   0.26155  -0.1174   0.5705   1.0000
  22.000   0.8214   0.28655   0.26585  -0.1204   0.5547   1.0000
  22.500   0.8428   0.29245   0.27182  -0.1237   0.5389   1.0000
  23.000   0.8667   0.30141   0.28085  -0.1272   0.5236   1.0000
  23.500   0.8888   0.30858   0.28815  -0.1305   0.5065   1.0000
  24.000   0.9027   0.30835   0.28798  -0.1337   0.4933   1.0000
  24.500   0.9234   0.31587   0.29558  -0.1372   0.4808   1.0000
  25.000   0.9461   0.32549   0.30537  -0.1407   0.4648   1.0000
  25.500   0.9582   0.32406   0.30399  -0.1443   0.4537   1.0000
  26.000   0.9804   0.33504   0.31509  -0.1480   0.4412   1.0000
  26.500   0.9947   0.33573   0.31592  -0.1517   0.4278   1.0000
  27.000   1.0117   0.34188   0.32217  -0.1555   0.4181   1.0000
  27.500   1.0298   0.34840   0.32884  -0.1592   0.4046   1.0000
  28.000   1.0436   0.35119   0.33171  -0.1633   0.3964   1.0000
  28.500   1.0616   0.35874   0.33945  -0.1671   0.3836   1.0000
  29.000   1.0749   0.36188   0.34267  -0.1713   0.3764   1.0000
  29.500   1.0900   0.36619   0.34714  -0.1754   0.3648   1.0000
  30.000   1.1060   0.37475   0.35582  -0.1795   0.3573   1.0000
