  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 83-159                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1636   0.05906   0.03717  -0.0098   1.0000   1.0000
   0.500  -0.1451   0.05936   0.03670  -0.0065   1.0000   1.0000
   1.000  -0.1244   0.05986   0.03646  -0.0037   1.0000   1.0000
   1.500  -0.1014   0.06059   0.03655  -0.0014   1.0000   1.0000
   2.000  -0.0765   0.06154   0.03692   0.0004   1.0000   1.0000
   2.500  -0.0500   0.06271   0.03755   0.0018   1.0000   1.0000
   3.000  -0.0224   0.06410   0.03850   0.0029   1.0000   1.0000
   3.500   0.0060   0.06571   0.03972   0.0036   1.0000   1.0000
   4.000   0.0349   0.06753   0.04125   0.0040   1.0000   1.0000
   4.500   0.0640   0.06956   0.04305   0.0042   1.0000   1.0000
   5.000   0.0932   0.07181   0.04515   0.0041   1.0000   1.0000
   5.500   0.1222   0.07428   0.04752   0.0038   1.0000   1.0000
   6.000   0.1510   0.07697   0.05019   0.0033   1.0000   1.0000
   6.500   0.1793   0.07988   0.05315   0.0026   1.0000   1.0000
   7.000   0.2072   0.08302   0.05638   0.0018   1.0000   1.0000
   7.500   0.2343   0.08638   0.05989   0.0007   1.0000   1.0000
   8.000   0.2609   0.08997   0.06371  -0.0005   1.0000   1.0000
   8.500   0.2868   0.09379   0.06778  -0.0019   1.0000   1.0000
   9.000   0.3120   0.09785   0.07212  -0.0035   1.0000   1.0000
   9.500   0.3363   0.10214   0.07679  -0.0052   1.0000   1.0000
  10.000   0.3600   0.10665   0.08167  -0.0071   1.0000   1.0000
  10.500   0.3830   0.11139   0.08681  -0.0093   1.0000   1.0000
  11.000   0.4053   0.11637   0.09229  -0.0116   1.0000   1.0000
  11.500   0.4269   0.12156   0.09794  -0.0141   1.0000   1.0000
  12.000   0.4478   0.12698   0.10384  -0.0169   1.0000   1.0000
  12.500   0.4681   0.13261   0.11004  -0.0198   1.0000   1.0000
  13.000   0.4879   0.13848   0.11641  -0.0230   1.0000   1.0000
  13.500   0.5072   0.14455   0.12301  -0.0264   1.0000   1.0000
  14.000   0.5260   0.15085   0.12990  -0.0300   1.0000   1.0000
  14.500   0.5444   0.15738   0.13695  -0.0338   1.0000   1.0000
  15.000   0.5625   0.16414   0.14422  -0.0379   1.0000   1.0000
  15.500   0.5804   0.17112   0.15170  -0.0422   1.0000   1.0000
  16.000   0.6077   0.18086   0.16208  -0.0492   0.9878   1.0000
  16.500   0.6508   0.19441   0.17632  -0.0602   0.9341   1.0000
  17.000   0.6849   0.20654   0.18902  -0.0682   0.8877   1.0000
  17.500   0.7084   0.21329   0.19618  -0.0735   0.8494   1.0000
  18.000   0.7363   0.22437   0.20772  -0.0795   0.8134   1.0000
  18.500   0.7577   0.23108   0.21473  -0.0840   0.7819   1.0000
  19.000   0.7812   0.24011   0.22405  -0.0889   0.7541   1.0000
  19.500   0.8046   0.24886   0.23304  -0.0936   0.7258   1.0000
  20.000   0.8236   0.25434   0.23871  -0.0976   0.7025   1.0000
  20.500   0.8446   0.26166   0.24620  -0.1018   0.6792   1.0000
  21.000   0.8667   0.27004   0.25484  -0.1062   0.6579   1.0000
  21.500   0.8866   0.27672   0.26164  -0.1103   0.6374   1.0000
  22.000   0.9064   0.28315   0.26820  -0.1145   0.6175   1.0000
  22.500   0.9309   0.29476   0.27994  -0.1191   0.5979   1.0000
  23.000   0.9467   0.29751   0.28278  -0.1229   0.5804   1.0000
  23.500   0.9653   0.30322   0.28858  -0.1270   0.5626   1.0000
  24.000   0.9855   0.31087   0.29642  -0.1313   0.5447   1.0000
  24.500   1.0083   0.32199   0.30764  -0.1357   0.5268   1.0000
  25.000   1.0246   0.32596   0.31169  -0.1398   0.5113   1.0000
  25.500   1.0416   0.33116   0.31697  -0.1441   0.4961   1.0000
  26.000   1.0584   0.33608   0.32196  -0.1483   0.4803   1.0000
  26.500   1.0753   0.34141   0.32738  -0.1526   0.4647   1.0000
  27.000   1.0921   0.34714   0.33328  -0.1570   0.4498   1.0000
  27.500   1.1088   0.35309   0.33931  -0.1614   0.4358   1.0000
  28.000   1.1252   0.35900   0.34530  -0.1659   0.4218   1.0000
  28.500   1.1412   0.36498   0.35138  -0.1703   0.4080   1.0000
  29.000   1.1573   0.37150   0.35799  -0.1748   0.3946   1.0000
  29.500   1.1736   0.37906   0.36564  -0.1793   0.3813   1.0000
  30.000   1.1895   0.38662   0.37334  -0.1837   0.3681   1.0000
