  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 88-K-130/20                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1176   0.04968   0.02773  -0.0224   1.0000   1.0000
   0.500  -0.0828   0.05040   0.02733  -0.0213   1.0000   1.0000
   1.000  -0.0473   0.05131   0.02727  -0.0205   1.0000   1.0000
   1.500  -0.0113   0.05240   0.02749  -0.0199   1.0000   1.0000
   2.000   0.0249   0.05366   0.02808  -0.0194   1.0000   1.0000
   2.500   0.0611   0.05510   0.02892  -0.0192   1.0000   1.0000
   3.000   0.0970   0.05670   0.03011  -0.0190   1.0000   1.0000
   3.500   0.1326   0.05847   0.03155  -0.0190   1.0000   1.0000
   4.000   0.1676   0.06042   0.03330  -0.0191   1.0000   1.0000
   4.500   0.2021   0.06255   0.03534  -0.0193   1.0000   1.0000
   5.000   0.2357   0.06488   0.03767  -0.0196   1.0000   1.0000
   5.500   0.2685   0.06741   0.04028  -0.0200   1.0000   1.0000
   6.000   0.3003   0.07016   0.04326  -0.0206   1.0000   1.0000
   6.500   0.3311   0.07314   0.04650  -0.0213   1.0000   1.0000
   7.000   0.3606   0.07640   0.05009  -0.0221   1.0000   1.0000
   7.500   0.3888   0.07994   0.05411  -0.0231   1.0000   1.0000
   8.000   0.4156   0.08378   0.05843  -0.0243   1.0000   1.0000
   8.500   0.4409   0.08796   0.06313  -0.0257   1.0000   1.0000
   9.000   0.4646   0.09249   0.06836  -0.0273   1.0000   1.0000
   9.500   0.4866   0.09741   0.07391  -0.0292   1.0000   1.0000
  10.000   0.5070   0.10273   0.07989  -0.0313   1.0000   1.0000
  10.500   0.5256   0.10847   0.08632  -0.0338   1.0000   1.0000
  11.000   0.5427   0.11463   0.09329  -0.0366   1.0000   1.0000
  11.500   0.5583   0.12124   0.10059  -0.0398   1.0000   1.0000
  12.000   0.5728   0.12825   0.10829  -0.0433   1.0000   1.0000
  12.500   0.5864   0.13565   0.11635  -0.0472   1.0000   1.0000
  13.000   0.5996   0.14341   0.12471  -0.0515   1.0000   1.0000
  13.500   0.6127   0.15148   0.13344  -0.0561   1.0000   1.0000
  14.000   0.6262   0.15977   0.14222  -0.0608   1.0000   1.0000
  14.500   0.6406   0.16823   0.15109  -0.0657   1.0000   1.0000
  15.000   0.6774   0.18328   0.16669  -0.0766   0.9711   1.0000
  15.500   0.7159   0.19647   0.18035  -0.0868   0.9156   1.0000
  16.000   0.7435   0.20580   0.18999  -0.0932   0.8734   1.0000
  16.500   0.7665   0.21336   0.19779  -0.0981   0.8407   1.0000
  17.000   0.7909   0.22218   0.20681  -0.1031   0.8112   1.0000
  17.500   0.8171   0.23383   0.21874  -0.1085   0.7914   1.0000
  18.000   0.8357   0.23878   0.22382  -0.1122   0.7682   1.0000
  18.500   0.8584   0.24710   0.23226  -0.1165   0.7466   1.0000
  19.000   0.8792   0.25416   0.23944  -0.1206   0.7276   1.0000
  19.500   0.9018   0.26235   0.24773  -0.1249   0.7066   1.0000
  20.000   0.9268   0.27246   0.25798  -0.1294   0.6829   1.0000
  20.500   0.9441   0.27676   0.26233  -0.1330   0.6652   1.0000
  21.000   0.9652   0.28406   0.26985  -0.1370   0.6451   1.0000
  21.500   0.9866   0.29217   0.27805  -0.1411   0.6252   1.0000
  22.000   1.0064   0.29822   0.28419  -0.1449   0.6029   1.0000
  22.500   1.0274   0.30649   0.29255  -0.1489   0.5835   1.0000
  23.000   1.0447   0.31101   0.29714  -0.1528   0.5652   1.0000
  23.500   1.0651   0.31904   0.30528  -0.1568   0.5459   1.0000
  24.000   1.0852   0.32752   0.31382  -0.1608   0.5276   1.0000
  24.500   1.1008   0.33070   0.31719  -0.1647   0.5088   1.0000
  25.000   1.1208   0.33914   0.32574  -0.1687   0.4888   1.0000
  25.500   1.1391   0.34685   0.33351  -0.1727   0.4717   1.0000
  26.000   1.1541   0.35036   0.33710  -0.1768   0.4555   1.0000
  26.500   1.1697   0.35540   0.34223  -0.1809   0.4397   1.0000
  27.000   1.1858   0.36095   0.34786  -0.1851   0.4237   1.0000
  27.500   1.2017   0.36692   0.35392  -0.1893   0.4077   1.0000
  28.000   1.2175   0.37317   0.36036  -0.1935   0.3921   1.0000
  28.500   1.2328   0.37921   0.36650  -0.1978   0.3773   1.0000
  29.000   1.2470   0.38452   0.37190  -0.2021   0.3632   1.0000
  29.500   1.2603   0.38894   0.37641  -0.2065   0.3502   1.0000
  30.000   1.2735   0.39345   0.38100  -0.2111   0.3384   1.0000
