  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 94-W-301                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0014   0.16546   0.14608  -0.0034   1.0000   1.0000
   0.500   0.0012   0.16522   0.14587  -0.0020   1.0000   1.0000
   1.000   0.0010   0.16498   0.14567  -0.0006   1.0000   1.0000
   1.500   0.0009   0.16474   0.14546   0.0009   1.0000   1.0000
   2.000   0.0008   0.16450   0.14527   0.0023   1.0000   1.0000
   2.500   0.0007   0.16427   0.14508   0.0037   1.0000   1.0000
   3.000   0.0005   0.16403   0.14489   0.0051   1.0000   1.0000
   3.500   0.0002   0.16380   0.14471   0.0066   1.0000   1.0000
   4.000  -0.0002   0.16355   0.14451   0.0080   1.0000   1.0000
   4.500  -0.0007   0.16329   0.14431   0.0095   1.0000   1.0000
   5.000  -0.0015   0.16301   0.14408   0.0109   1.0000   1.0000
   5.500  -0.0024   0.16268   0.14382   0.0124   1.0000   1.0000
   6.000  -0.0037   0.16231   0.14351   0.0140   1.0000   1.0000
   6.500  -0.0053   0.16186   0.14313   0.0155   1.0000   1.0000
   7.000  -0.0073   0.16132   0.14266   0.0171   1.0000   1.0000
   7.500  -0.0097   0.16066   0.14206   0.0188   1.0000   1.0000
   8.000  -0.0126   0.15982   0.14130   0.0204   1.0000   1.0000
   8.500  -0.0160   0.15877   0.14032   0.0222   1.0000   1.0000
   9.000  -0.0201   0.15744   0.13907   0.0240   1.0000   1.0000
   9.500  -0.0247   0.15575   0.13746   0.0259   1.0000   1.0000
  10.000  -0.0300   0.15361   0.13539   0.0278   1.0000   1.0000
  10.500  -0.0359   0.15094   0.13279   0.0298   1.0000   1.0000
  11.000  -0.0420   0.14762   0.12955   0.0318   1.0000   1.0000
  11.500  -0.0478   0.14371   0.12570   0.0336   1.0000   1.0000
  12.000  -0.0479   0.14030   0.12235   0.0341   1.0000   1.0000
  12.500  -0.0339   0.13939   0.12152   0.0313   1.0000   1.0000
  13.000  -0.0074   0.14111   0.12333   0.0257   1.0000   1.0000
  13.500   0.0269   0.14471   0.12705   0.0183   1.0000   1.0000
  14.000   0.0653   0.14955   0.13202   0.0098   1.0000   1.0000
  14.500   0.1056   0.15521   0.13781   0.0009   1.0000   1.0000
  15.000   0.1462   0.16141   0.14414  -0.0081   1.0000   1.0000
  15.500   0.1864   0.16799   0.15085  -0.0171   1.0000   1.0000
  16.000   0.2526   0.18364   0.16664  -0.0322   0.9749   1.0000
  16.500   0.3071   0.19404   0.17716  -0.0441   0.9412   1.0000
  17.000   0.3586   0.20516   0.18841  -0.0550   0.9060   1.0000
  17.500   0.3950   0.20897   0.19228  -0.0624   0.8752   1.0000
  18.000   0.4392   0.21919   0.20258  -0.0713   0.8422   1.0000
  18.500   0.4798   0.22970   0.21314  -0.0793   0.8138   1.0000
  19.000   0.5102   0.23352   0.21701  -0.0853   0.7872   1.0000
  19.500   0.5415   0.23906   0.22260  -0.0915   0.7608   1.0000
  20.000   0.5727   0.24545   0.22902  -0.0976   0.7355   1.0000
  20.500   0.6032   0.25225   0.23586  -0.1036   0.7116   1.0000
  21.000   0.6333   0.25958   0.24322  -0.1095   0.6889   1.0000
  21.500   0.6639   0.26816   0.25182  -0.1154   0.6672   1.0000
  22.000   0.6957   0.27860   0.26229  -0.1214   0.6456   1.0000
  22.500   0.7213   0.28326   0.26700  -0.1266   0.6249   1.0000
  23.000   0.7408   0.28346   0.26717  -0.1313   0.6077   1.0000
  23.500   0.7652   0.28922   0.27293  -0.1367   0.5920   1.0000
  24.000   0.7955   0.30107   0.28478  -0.1425   0.5753   1.0000
  24.500   0.8182   0.30446   0.28820  -0.1475   0.5579   1.0000
  25.000   0.8372   0.30599   0.28970  -0.1525   0.5454   1.0000
  25.500   0.8664   0.31875   0.30244  -0.1581   0.5313   1.0000
  26.000   0.8849   0.31860   0.30231  -0.1631   0.5167   1.0000
  26.500   0.9062   0.32402   0.30770  -0.1684   0.5064   1.0000
  27.000   0.9334   0.33527   0.31898  -0.1736   0.4916   1.0000
  27.500   0.9478   0.33263   0.31629  -0.1788   0.4824   1.0000
  28.500   0.9887   0.34216   0.32579  -0.1893   0.4604   1.0000
  29.000   1.0161   0.35761   0.34126  -0.1945   0.4495   1.0000
  29.500   1.0281   0.35154   0.33517  -0.1998   0.4404   1.0000
