  
       XFOIL         Version 6.99
  
 Calculated polar for: AQUILA 9.3% smoothed                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0482   0.04228   0.02549  -0.0361   1.0000   1.0000
   0.500   0.0887   0.04378   0.02460  -0.0346   1.0000   1.0000
   1.000   0.1218   0.04540   0.02473  -0.0334   1.0000   1.0000
   1.500   0.1531   0.04723   0.02547  -0.0326   1.0000   1.0000
   2.000   0.1833   0.04929   0.02665  -0.0322   1.0000   1.0000
   2.500   0.2126   0.05159   0.02828  -0.0321   1.0000   1.0000
   3.000   0.2410   0.05413   0.03026  -0.0322   1.0000   1.0000
   3.500   0.2685   0.05693   0.03264  -0.0325   1.0000   1.0000
   4.000   0.2951   0.05998   0.03536  -0.0330   1.0000   1.0000
   4.500   0.3209   0.06328   0.03843  -0.0337   1.0000   1.0000
   5.000   0.3458   0.06684   0.04183  -0.0346   1.0000   1.0000
   5.500   0.3700   0.07066   0.04556  -0.0356   1.0000   1.0000
   6.000   0.3934   0.07472   0.04960  -0.0368   1.0000   1.0000
   6.500   0.4162   0.07905   0.05395  -0.0382   1.0000   1.0000
   7.000   0.4384   0.08362   0.05861  -0.0397   1.0000   1.0000
   7.500   0.4599   0.08842   0.06354  -0.0413   1.0000   1.0000
   8.000   0.4809   0.09345   0.06872  -0.0430   1.0000   1.0000
   8.500   0.5013   0.09870   0.07421  -0.0449   1.0000   1.0000
   9.000   0.5212   0.10414   0.07988  -0.0468   1.0000   1.0000
   9.500   0.5407   0.10979   0.08579  -0.0490   1.0000   1.0000
  10.000   0.5597   0.11562   0.09191  -0.0512   1.0000   1.0000
  10.500   0.5784   0.12163   0.09829  -0.0535   1.0000   1.0000
  11.000   0.5969   0.12780   0.10479  -0.0560   1.0000   1.0000
  11.500   0.6149   0.13412   0.11146  -0.0587   1.0000   1.0000
  12.000   0.6328   0.14059   0.11838  -0.0615   1.0000   1.0000
  12.500   0.6505   0.14722   0.12539  -0.0644   1.0000   1.0000
  13.000   0.6679   0.15401   0.13257  -0.0675   1.0000   1.0000
  13.500   0.6853   0.16094   0.13989  -0.0708   1.0000   1.0000
  14.000   0.7024   0.16802   0.14744  -0.0742   1.0000   1.0000
  14.500   0.7196   0.17526   0.15507  -0.0778   1.0000   1.0000
  15.000   0.7366   0.18264   0.16284  -0.0815   1.0000   1.0000
  15.500   0.7537   0.19017   0.17074  -0.0854   1.0000   1.0000
  16.000   0.7927   0.20290   0.18410  -0.0953   0.9648   1.0000
  16.500   0.8302   0.21428   0.19600  -0.1040   0.9093   1.0000
  17.000   0.8608   0.22425   0.20639  -0.1102   0.8597   1.0000
  17.500   0.8916   0.23605   0.21858  -0.1159   0.8119   1.0000
  18.000   0.9112   0.24161   0.22447  -0.1193   0.7753   1.0000
  18.500   0.9364   0.25162   0.23475  -0.1234   0.7354   1.0000
  19.000   0.9564   0.25869   0.24205  -0.1267   0.7035   1.0000
  19.500   0.9782   0.26700   0.25058  -0.1301   0.6688   1.0000
  20.000   0.9977   0.27448   0.25830  -0.1335   0.6407   1.0000
  20.500   1.0170   0.28196   0.26594  -0.1367   0.6133   1.0000
  21.000   1.0368   0.29019   0.27432  -0.1401   0.5871   1.0000
  21.500   1.0585   0.30075   0.28506  -0.1436   0.5625   1.0000
  22.000   1.0726   0.30408   0.28847  -0.1467   0.5412   1.0000
  22.500   1.0943   0.31540   0.30002  -0.1502   0.5186   1.0000
  23.000   1.1092   0.32018   0.30487  -0.1536   0.5014   1.0000
  23.500   1.1242   0.32465   0.30944  -0.1570   0.4824   1.0000
  24.000   1.1414   0.33203   0.31694  -0.1605   0.4640   1.0000
  24.500   1.1588   0.34002   0.32506  -0.1642   0.4476   1.0000
  25.000   1.1758   0.34831   0.33355  -0.1679   0.4318   1.0000
  25.500   1.1923   0.35641   0.34177  -0.1716   0.4166   1.0000
  26.000   1.2069   0.36201   0.34748  -0.1754   0.4024   1.0000
  26.500   1.2199   0.36540   0.35096  -0.1794   0.3893   1.0000
  27.000   1.2329   0.36927   0.35493  -0.1834   0.3768   1.0000
  27.500   1.2463   0.37406   0.35981  -0.1875   0.3646   1.0000
  28.000   1.2599   0.37978   0.36572  -0.1917   0.3532   1.0000
  28.500   1.2747   0.38787   0.37393  -0.1957   0.3421   1.0000
  29.500   1.2997   0.39676   0.38308  -0.2043   0.3198   1.0000
  30.000   1.3115   0.40146   0.38788  -0.2088   0.3105   1.0000
