  
       XFOIL         Version 6.99
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1113   0.05204   0.03325  -0.0026   1.0000   1.0000
   0.500  -0.1053   0.05397   0.03464  -0.0007   1.0000   1.0000
   1.000  -0.0951   0.05609   0.03624   0.0005   1.0000   1.0000
   1.500  -0.0815   0.05839   0.03803   0.0013   1.0000   1.0000
   2.000  -0.0653   0.06086   0.03999   0.0017   1.0000   1.0000
   2.500  -0.0472   0.06348   0.04215   0.0019   1.0000   1.0000
   3.000  -0.0277   0.06627   0.04452   0.0019   1.0000   1.0000
   3.500  -0.0071   0.06921   0.04707   0.0017   1.0000   1.0000
   4.000   0.0143   0.07231   0.04981   0.0014   1.0000   1.0000
   4.500   0.0362   0.07558   0.05276   0.0009   1.0000   1.0000
   5.000   0.0585   0.07901   0.05590   0.0003   1.0000   1.0000
   5.500   0.0811   0.08260   0.05924  -0.0004   1.0000   1.0000
   6.000   0.1038   0.08633   0.06275  -0.0013   1.0000   1.0000
   6.500   0.1266   0.09021   0.06644  -0.0022   1.0000   1.0000
   7.000   0.1494   0.09422   0.07030  -0.0032   1.0000   1.0000
   7.500   0.1722   0.09836   0.07431  -0.0044   1.0000   1.0000
   8.000   0.1949   0.10262   0.07848  -0.0056   1.0000   1.0000
   8.500   0.2176   0.10700   0.08278  -0.0070   1.0000   1.0000
   9.000   0.2401   0.11148   0.08721  -0.0084   1.0000   1.0000
   9.500   0.2625   0.11606   0.09177  -0.0100   1.0000   1.0000
  10.000   0.2849   0.12073   0.09644  -0.0116   1.0000   1.0000
  10.500   0.3071   0.12549   0.10124  -0.0134   1.0000   1.0000
  11.000   0.3291   0.13033   0.10612  -0.0152   1.0000   1.0000
  11.500   0.3511   0.13526   0.11113  -0.0172   1.0000   1.0000
  12.000   0.3729   0.14026   0.11620  -0.0193   1.0000   1.0000
  12.500   0.3946   0.14534   0.12138  -0.0215   1.0000   1.0000
  13.000   0.4161   0.15050   0.12667  -0.0237   1.0000   1.0000
  13.500   0.4374   0.15572   0.13203  -0.0261   1.0000   1.0000
  14.000   0.4585   0.16103   0.13751  -0.0286   1.0000   1.0000
  14.500   0.4796   0.16642   0.14306  -0.0313   1.0000   1.0000
  15.000   0.5004   0.17189   0.14870  -0.0340   1.0000   1.0000
  15.500   0.5210   0.17744   0.15446  -0.0368   1.0000   1.0000
  16.000   0.5557   0.18757   0.16486  -0.0434   0.9839   1.0000
  16.500   0.5932   0.19688   0.17452  -0.0507   0.9495   1.0000
  17.000   0.6262   0.20518   0.18312  -0.0567   0.9135   1.0000
  17.500   0.6547   0.21235   0.19060  -0.0614   0.8817   1.0000
  18.000   0.6821   0.21963   0.19815  -0.0658   0.8495   1.0000
  18.500   0.7100   0.22860   0.20741  -0.0703   0.8195   1.0000
  19.000   0.7374   0.23767   0.21682  -0.0745   0.7874   1.0000
  19.500   0.7553   0.24014   0.21952  -0.0771   0.7595   1.0000
  20.000   0.7786   0.24774   0.22741  -0.0807   0.7316   1.0000
  20.500   0.8018   0.25559   0.23555  -0.0842   0.7029   1.0000
  21.000   0.8197   0.26007   0.24025  -0.0871   0.6775   1.0000
  21.500   0.8431   0.26944   0.24994  -0.0907   0.6500   1.0000
  22.000   0.8593   0.27331   0.25401  -0.0936   0.6264   1.0000
  22.500   0.8785   0.27989   0.26084  -0.0968   0.6007   1.0000
  23.000   0.8998   0.28985   0.27106  -0.1003   0.5776   1.0000
  23.500   0.9135   0.29217   0.27356  -0.1032   0.5560   1.0000
  24.000   0.9302   0.29758   0.27918  -0.1065   0.5336   1.0000
  24.500   0.9491   0.30581   0.28765  -0.1099   0.5117   1.0000
  25.000   0.9689   0.31649   0.29855  -0.1134   0.4916   1.0000
  25.500   0.9835   0.32115   0.30334  -0.1168   0.4736   1.0000
  26.000   0.9981   0.32610   0.30844  -0.1203   0.4562   1.0000
  26.500   1.0134   0.33217   0.31469  -0.1238   0.4392   1.0000
  27.000   1.0295   0.33965   0.32232  -0.1274   0.4227   1.0000
  27.500   1.0428   0.34324   0.32608  -0.1311   0.4072   1.0000
  28.000   1.0536   0.34404   0.32699  -0.1350   0.3941   1.0000
  28.500   1.0670   0.34896   0.33203  -0.1390   0.3822   1.0000
  29.000   1.0833   0.35881   0.34203  -0.1428   0.3694   1.0000
  29.500   1.0958   0.36197   0.34534  -0.1468   0.3566   1.0000
  30.000   1.1066   0.36427   0.34775  -0.1511   0.3474   1.0000
