  
       XFOIL         Version 6.99
  
 Calculated polar for: AVISTAR                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1050   0.04932   0.02742  -0.0089   1.0000   1.0000
   0.500  -0.0845   0.05023   0.02771  -0.0064   1.0000   1.0000
   1.000  -0.0615   0.05139   0.02829  -0.0044   1.0000   1.0000
   1.500  -0.0368   0.05276   0.02916  -0.0029   1.0000   1.0000
   2.000  -0.0109   0.05434   0.03031  -0.0017   1.0000   1.0000
   2.500   0.0158   0.05614   0.03174  -0.0008   1.0000   1.0000
   3.000   0.0429   0.05814   0.03345  -0.0001   1.0000   1.0000
   3.500   0.0702   0.06035   0.03544   0.0003   1.0000   1.0000
   4.000   0.0973   0.06279   0.03771   0.0004   1.0000   1.0000
   4.500   0.1240   0.06546   0.04028   0.0004   1.0000   1.0000
   5.000   0.1501   0.06838   0.04315   0.0002   1.0000   1.0000
   5.500   0.1756   0.07154   0.04634  -0.0003   1.0000   1.0000
   6.000   0.2002   0.07498   0.04982  -0.0009   1.0000   1.0000
   6.500   0.2241   0.07868   0.05363  -0.0018   1.0000   1.0000
   7.000   0.2473   0.08263   0.05770  -0.0028   1.0000   1.0000
   7.500   0.2698   0.08681   0.06205  -0.0039   1.0000   1.0000
   8.000   0.2920   0.09118   0.06660  -0.0052   1.0000   1.0000
   8.500   0.3138   0.09573   0.07137  -0.0066   1.0000   1.0000
   9.000   0.3354   0.10042   0.07630  -0.0081   1.0000   1.0000
   9.500   0.3569   0.10525   0.08140  -0.0097   1.0000   1.0000
  10.000   0.3781   0.11022   0.08668  -0.0114   1.0000   1.0000
  10.500   0.3992   0.11531   0.09210  -0.0132   1.0000   1.0000
  11.000   0.4200   0.12056   0.09773  -0.0152   1.0000   1.0000
  11.500   0.4403   0.12599   0.10356  -0.0173   1.0000   1.0000
  12.000   0.4599   0.13167   0.10968  -0.0196   1.0000   1.0000
  12.500   0.4785   0.13769   0.11620  -0.0223   1.0000   1.0000
  13.000   0.4954   0.14426   0.12326  -0.0253   1.0000   1.0000
  13.500   0.5098   0.15164   0.13111  -0.0291   1.0000   1.0000
  14.000   0.5221   0.15994   0.13974  -0.0336   1.0000   1.0000
  14.500   0.5353   0.16842   0.14839  -0.0382   1.0000   1.0000
  15.000   0.5858   0.18528   0.16560  -0.0519   0.9479   1.0000
  15.500   0.6272   0.19873   0.17923  -0.0608   0.8883   1.0000
  16.000   0.6532   0.20605   0.18665  -0.0653   0.8454   1.0000
  16.500   0.6808   0.21543   0.19614  -0.0699   0.8107   1.0000
  17.000   0.7098   0.22600   0.20683  -0.0745   0.7779   1.0000
  17.500   0.7281   0.23086   0.21171  -0.0772   0.7539   1.0000
  18.000   0.7499   0.23760   0.21854  -0.0805   0.7282   1.0000
  18.500   0.7759   0.24774   0.22879  -0.0845   0.7050   1.0000
  19.000   0.7972   0.25526   0.23637  -0.0878   0.6849   1.0000
  19.500   0.8155   0.26033   0.24149  -0.0908   0.6655   1.0000
  20.000   0.8348   0.26619   0.24742  -0.0939   0.6464   1.0000
  20.500   0.8543   0.27236   0.25368  -0.0972   0.6276   1.0000
  21.000   0.8739   0.27883   0.26022  -0.1006   0.6096   1.0000
  21.500   0.8935   0.28555   0.26702  -0.1040   0.5925   1.0000
  22.000   0.9130   0.29248   0.27404  -0.1075   0.5756   1.0000
  22.500   0.9328   0.29995   0.28161  -0.1112   0.5591   1.0000
  23.000   0.9534   0.30864   0.29042  -0.1149   0.5429   1.0000
  23.500   0.9726   0.31598   0.29790  -0.1185   0.5267   1.0000
  24.000   0.9863   0.31740   0.29937  -0.1220   0.5126   1.0000
  24.500   1.0022   0.32206   0.30413  -0.1257   0.4992   1.0000
  25.000   1.0206   0.32987   0.31204  -0.1296   0.4862   1.0000
  25.500   1.0420   0.34191   0.32424  -0.1336   0.4716   1.0000
  26.000   1.0534   0.34061   0.32304  -0.1374   0.4591   1.0000
  26.500   1.0688   0.34574   0.32827  -0.1415   0.4479   1.0000
  27.000   1.0881   0.35676   0.33944  -0.1456   0.4351   1.0000
  27.500   1.1014   0.35839   0.34121  -0.1497   0.4226   1.0000
  28.000   1.1151   0.36229   0.34521  -0.1541   0.4130   1.0000
  28.500   1.1340   0.37454   0.35764  -0.1582   0.4011   1.0000
  29.000   1.1450   0.37343   0.35664  -0.1627   0.3899   1.0000
  29.500   1.1589   0.37884   0.36217  -0.1671   0.3807   1.0000
  30.000   1.1772   0.39227   0.37585  -0.1712   0.3686   1.0000
