  
       XFOIL         Version 6.99
  
 Calculated polar for: BE50 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2683   0.03844   0.01593  -0.0681   1.0000   1.0000
   0.500   0.3107   0.03984   0.01668  -0.0684   1.0000   1.0000
   1.000   0.3506   0.04151   0.01794  -0.0686   1.0000   1.0000
   1.500   0.3881   0.04351   0.01968  -0.0691   1.0000   1.0000
   2.000   0.4230   0.04590   0.02195  -0.0698   1.0000   1.0000
   2.500   0.4550   0.04875   0.02481  -0.0708   1.0000   1.0000
   3.000   0.4838   0.05212   0.02826  -0.0721   1.0000   1.0000
   3.500   0.5096   0.05607   0.03239  -0.0739   1.0000   1.0000
   4.000   0.5327   0.06054   0.03705  -0.0761   1.0000   1.0000
   4.500   0.5541   0.06545   0.04217  -0.0784   1.0000   1.0000
   5.000   0.5744   0.07068   0.04770  -0.0809   1.0000   1.0000
   5.500   0.5941   0.07619   0.05348  -0.0833   1.0000   1.0000
   6.000   0.6133   0.08197   0.05955  -0.0859   1.0000   1.0000
   6.500   0.6318   0.08801   0.06592  -0.0884   1.0000   1.0000
   7.000   0.6498   0.09430   0.07262  -0.0910   1.0000   1.0000
   7.500   0.6672   0.10082   0.07951  -0.0936   1.0000   1.0000
   8.000   0.6841   0.10755   0.08663  -0.0962   1.0000   1.0000
   8.500   0.7008   0.11449   0.09397  -0.0989   1.0000   1.0000
   9.000   0.7171   0.12160   0.10159  -0.1017   1.0000   1.0000
   9.500   0.7331   0.12890   0.10932  -0.1045   1.0000   1.0000
  10.000   0.7491   0.13637   0.11723  -0.1075   1.0000   1.0000
  10.500   0.7649   0.14402   0.12534  -0.1106   1.0000   1.0000
  11.000   0.7807   0.15186   0.13372  -0.1139   1.0000   1.0000
  11.500   0.7964   0.15990   0.14221  -0.1174   1.0000   1.0000
  12.000   0.8123   0.16817   0.15091  -0.1210   1.0000   1.0000
  12.500   0.8282   0.17667   0.15983  -0.1249   1.0000   1.0000
  13.000   0.8443   0.18539   0.16893  -0.1290   1.0000   1.0000
  13.500   0.8607   0.19433   0.17821  -0.1333   1.0000   1.0000
  14.000   0.8775   0.20344   0.18762  -0.1377   1.0000   1.0000
  14.500   0.9065   0.21468   0.19931  -0.1455   0.9812   1.0000
  15.000   0.9490   0.22706   0.21206  -0.1557   0.9133   1.0000
  15.500   0.9841   0.23867   0.22389  -0.1623   0.8513   1.0000
  16.000   1.0115   0.24759   0.23295  -0.1666   0.8003   1.0000
  16.500   1.0375   0.25701   0.24249  -0.1705   0.7563   1.0000
  17.000   1.0618   0.26563   0.25120  -0.1737   0.7130   1.0000
  17.500   1.0849   0.27471   0.26046  -0.1770   0.6781   1.0000
  18.000   1.1049   0.28142   0.26724  -0.1798   0.6446   1.0000
  18.500   1.1261   0.28954   0.27543  -0.1828   0.6136   1.0000
  19.000   1.1461   0.29749   0.28344  -0.1861   0.5884   1.0000
  19.500   1.1686   0.30796   0.29399  -0.1895   0.5634   1.0000
  20.000   1.1858   0.31342   0.29952  -0.1925   0.5389   1.0000
  20.500   1.2039   0.32045   0.30659  -0.1959   0.5175   1.0000
  21.000   1.2225   0.32788   0.31424  -0.1993   0.4955   1.0000
  21.500   1.2431   0.33874   0.32518  -0.2028   0.4771   1.0000
  22.000   1.2576   0.34235   0.32884  -0.2065   0.4606   1.0000
  22.500   1.2734   0.34748   0.33404  -0.2103   0.4431   1.0000
  23.000   1.2905   0.35449   0.34114  -0.2140   0.4256   1.0000
  23.500   1.3080   0.36266   0.34940  -0.2178   0.4090   1.0000
  24.000   1.3245   0.36993   0.35676  -0.2217   0.3939   1.0000
  24.500   1.3395   0.37535   0.36241  -0.2259   0.3802   1.0000
  25.000   1.3538   0.38005   0.36718  -0.2303   0.3679   1.0000
  25.500   1.3684   0.38570   0.37292  -0.2347   0.3561   1.0000
  26.000   1.3835   0.39270   0.38001  -0.2390   0.3444   1.0000
  26.500   1.3994   0.40193   0.38935  -0.2431   0.3324   1.0000
  27.000   1.4144   0.40970   0.39727  -0.2474   0.3198   1.0000
  27.500   1.4251   0.40918   0.39680  -0.2526   0.3103   1.0000
  28.000   1.4389   0.41619   0.40391  -0.2572   0.3012   1.0000
  28.500   1.4547   0.42902   0.41707  -0.2611   0.2900   1.0000
  29.000   1.4638   0.42525   0.41334  -0.2670   0.2825   1.0000
  29.500   1.4777   0.43552   0.42374  -0.2713   0.2741   1.0000
  30.000   1.4885   0.43706   0.42543  -0.2765   0.2648   1.0000
