  
       XFOIL         Version 6.99
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0583   0.04536   0.02940  -0.0377   1.0000   0.7353
   0.500   0.1533   0.04375   0.02726  -0.0508   1.0000   0.7641
   1.000   0.2318   0.04220   0.02597  -0.0598   1.0000   0.8579
   1.500   0.3128   0.04387   0.02668  -0.0710   1.0000   1.0000
   2.000   0.3943   0.04642   0.02808  -0.0807   1.0000   1.0000
   2.500   0.4569   0.04902   0.02974  -0.0856   1.0000   1.0000
   3.000   0.5073   0.05171   0.03169  -0.0878   1.0000   1.0000
   3.500   0.5498   0.05458   0.03398  -0.0887   1.0000   1.0000
   4.000   0.5867   0.05772   0.03672  -0.0890   1.0000   1.0000
   4.500   0.6194   0.06121   0.03995  -0.0893   1.0000   1.0000
   5.000   0.6487   0.06510   0.04377  -0.0897   1.0000   1.0000
   5.500   0.6751   0.06944   0.04821  -0.0904   1.0000   1.0000
   6.000   0.6990   0.07423   0.05320  -0.0914   1.0000   1.0000
   6.500   0.7209   0.07948   0.05874  -0.0927   1.0000   1.0000
   7.000   0.7410   0.08520   0.06489  -0.0943   1.0000   1.0000
   7.500   0.7591   0.09140   0.07154  -0.0963   1.0000   1.0000
   8.000   0.7750   0.09820   0.07886  -0.0986   1.0000   1.0000
   8.500   0.7878   0.10581   0.08703  -0.1015   1.0000   1.0000
   9.000   0.7962   0.11459   0.09640  -0.1052   1.0000   1.0000
   9.500   0.7997   0.12484   0.10718  -0.1101   1.0000   1.0000
  10.000   0.8030   0.13565   0.11827  -0.1153   1.0000   1.0000
  10.500   0.8107   0.14589   0.12867  -0.1201   1.0000   1.0000
  11.000   0.8222   0.15547   0.13835  -0.1244   1.0000   1.0000
  11.500   0.8362   0.16461   0.14758  -0.1284   1.0000   1.0000
  12.000   0.8517   0.17348   0.15652  -0.1323   1.0000   1.0000
  12.500   0.8684   0.18215   0.16525  -0.1360   1.0000   1.0000
  13.000   0.8858   0.19073   0.17395  -0.1398   1.0000   1.0000
  13.500   0.9038   0.19924   0.18252  -0.1436   1.0000   1.0000
  14.000   0.9290   0.20863   0.19203  -0.1493   0.9921   1.0000
  14.500   0.9652   0.21917   0.20274  -0.1577   0.9595   1.0000
  15.000   0.9971   0.22880   0.21250  -0.1643   0.9234   1.0000
  15.500   1.0252   0.23806   0.22192  -0.1697   0.8921   1.0000
  16.000   1.0525   0.24746   0.23142  -0.1746   0.8603   1.0000
  16.500   1.0798   0.25736   0.24143  -0.1792   0.8280   1.0000
  17.000   1.1004   0.26305   0.24721  -0.1825   0.7992   1.0000
  17.500   1.1223   0.27057   0.25486  -0.1860   0.7726   1.0000
  18.000   1.1484   0.28162   0.26602  -0.1901   0.7435   1.0000
  18.500   1.1668   0.28646   0.27094  -0.1930   0.7163   1.0000
  19.000   1.1891   0.29585   0.28048  -0.1966   0.6924   1.0000
  19.500   1.2080   0.30169   0.28642  -0.1997   0.6665   1.0000
  20.000   1.2293   0.31096   0.29578  -0.2032   0.6427   1.0000
  20.500   1.2465   0.31592   0.30084  -0.2062   0.6187   1.0000
  21.000   1.2699   0.32838   0.31350  -0.2099   0.5959   1.0000
  21.500   1.2848   0.33211   0.31728  -0.2130   0.5760   1.0000
  22.000   1.3012   0.33719   0.32247  -0.2163   0.5541   1.0000
  22.500   1.3208   0.34662   0.33208  -0.2197   0.5324   1.0000
  23.000   1.3408   0.35824   0.34383  -0.2232   0.5132   1.0000
  23.500   1.3553   0.36249   0.34817  -0.2268   0.4958   1.0000
  24.000   1.3699   0.36709   0.35288  -0.2304   0.4781   1.0000
  24.500   1.3847   0.37229   0.35825  -0.2341   0.4604   1.0000
  25.000   1.3997   0.37837   0.36444  -0.2378   0.4435   1.0000
  25.500   1.4149   0.38519   0.37140  -0.2417   0.4278   1.0000
  26.000   1.4300   0.39254   0.37889  -0.2456   0.4124   1.0000
  26.500   1.4449   0.40032   0.38686  -0.2494   0.3970   1.0000
  27.000   1.4599   0.40915   0.39584  -0.2532   0.3816   1.0000
  27.500   1.4729   0.41393   0.40079  -0.2574   0.3669   1.0000
  28.000   1.4831   0.41410   0.40105  -0.2621   0.3549   1.0000
  28.500   1.4954   0.41958   0.40671  -0.2665   0.3438   1.0000
  29.000   1.5094   0.42978   0.41708  -0.2705   0.3314   1.0000
  29.500   1.5219   0.43665   0.42415  -0.2746   0.3179   1.0000
  30.000   1.5306   0.43533   0.42292  -0.2799   0.3081   1.0000
