  
       XFOIL         Version 6.99
  
 Calculated polar for: CH10 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3070   0.10901   0.09864   0.0287   1.0000   0.8800
   0.500  -0.3605   0.10632   0.09627   0.0383   1.0000   0.8439
   1.000  -0.3563   0.10354   0.09349   0.0323   1.0000   0.7917
   1.500  -0.2680   0.10197   0.09145   0.0052   1.0000   0.7239
   2.000  -0.1233   0.10198   0.09060  -0.0326   1.0000   0.6689
   2.500   0.0183   0.10306   0.09074  -0.0652   1.0000   0.6500
   3.000   0.1411   0.10494   0.09179  -0.0899   1.0000   0.6667
   3.500   0.2424   0.10707   0.09325  -0.1070   1.0000   0.7216
   4.000   0.3221   0.10831   0.09432  -0.1178   1.0000   0.8440
   4.500   0.4874   0.11648   0.10003  -0.1567   1.0000   1.0000
   5.000   0.5580   0.12310   0.10360  -0.1665   1.0000   1.0000
   5.500   0.5935   0.12786   0.10713  -0.1680   1.0000   1.0000
   6.000   0.6257   0.13262   0.11105  -0.1691   1.0000   1.0000
   6.500   0.6560   0.13745   0.11523  -0.1701   1.0000   1.0000
   7.000   0.6849   0.14235   0.11966  -0.1711   1.0000   1.0000
   7.500   0.7128   0.14734   0.12428  -0.1721   1.0000   1.0000
   8.000   0.7398   0.15242   0.12909  -0.1731   1.0000   1.0000
   8.500   0.7658   0.15757   0.13405  -0.1742   1.0000   1.0000
   9.000   0.7912   0.16282   0.13920  -0.1754   1.0000   1.0000
   9.500   0.8159   0.16817   0.14449  -0.1767   1.0000   1.0000
  10.000   0.8401   0.17360   0.14996  -0.1780   1.0000   1.0000
  10.500   0.8637   0.17913   0.15554  -0.1795   1.0000   1.0000
  11.000   0.8868   0.18474   0.16125  -0.1811   1.0000   1.0000
  11.500   0.9094   0.19044   0.16714  -0.1829   1.0000   1.0000
  12.000   0.9316   0.19623   0.17312  -0.1847   1.0000   1.0000
  12.500   0.9534   0.20212   0.17924  -0.1867   1.0000   1.0000
  13.000   0.9747   0.20810   0.18554  -0.1889   1.0000   1.0000
  13.500   0.9958   0.21419   0.19193  -0.1911   1.0000   1.0000
  14.000   1.0165   0.22038   0.19852  -0.1936   1.0000   1.0000
  14.500   1.0368   0.22668   0.20518  -0.1961   1.0000   1.0000
  15.000   1.0569   0.23313   0.21204  -0.1989   1.0000   1.0000
  15.500   1.0765   0.23968   0.21907  -0.2017   1.0000   1.0000
  16.000   1.0995   0.24612   0.22600  -0.2058   0.9941   1.0000
  16.500   1.1263   0.25125   0.23169  -0.2109   0.9735   1.0000
  17.000   1.1546   0.25983   0.24092  -0.2164   0.9515   1.0000
  17.500   1.1744   0.26203   0.24365  -0.2201   0.9312   1.0000
  18.000   1.1989   0.26904   0.25133  -0.2249   0.9088   1.0000
  18.500   1.2211   0.27581   0.25868  -0.2294   0.8882   1.0000
  19.000   1.2406   0.27961   0.26309  -0.2335   0.8648   1.0000
  19.500   1.2627   0.28789   0.27203  -0.2385   0.8417   1.0000
  20.000   1.2839   0.29484   0.27960  -0.2433   0.8152   1.0000
  20.500   1.3010   0.29849   0.28378  -0.2476   0.7897   1.0000
  21.000   1.3207   0.30562   0.29144  -0.2526   0.7622   1.0000
  21.500   1.3409   0.31351   0.29986  -0.2576   0.7333   1.0000
  22.000   1.3613   0.32204   0.30882  -0.2627   0.7040   1.0000
  22.500   1.3825   0.33188   0.31904  -0.2677   0.6749   1.0000
  23.000   1.3979   0.33422   0.32167  -0.2721   0.6491   1.0000
  24.000   1.4353   0.34903   0.33705  -0.2814   0.6016   1.0000
  24.500   1.4534   0.35717   0.34539  -0.2860   0.5820   1.0000
  25.000   1.4687   0.36054   0.34896  -0.2906   0.5634   1.0000
  25.500   1.4853   0.36628   0.35490  -0.2951   0.5449   1.0000
  26.000   1.5024   0.37296   0.36181  -0.2997   0.5280   1.0000
  26.500   1.5187   0.37946   0.36849  -0.3042   0.5118   1.0000
  27.000   1.5343   0.38515   0.37435  -0.3088   0.4971   1.0000
  27.500   1.5497   0.39071   0.38008  -0.3135   0.4828   1.0000
  28.000   1.5644   0.39622   0.38580  -0.3182   0.4695   1.0000
  28.500   1.5792   0.40253   0.39227  -0.3228   0.4567   1.0000
  29.000   1.5944   0.41028   0.40018  -0.3273   0.4437   1.0000
  29.500   1.6105   0.42021   0.41030  -0.3318   0.4303   1.0000
  30.000   1.6221   0.42144   0.41170  -0.3366   0.4178   1.0000
