  
       XFOIL         Version 6.99
  
 Calculated polar for: Coanda 1                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1489   0.03575   0.01272  -0.0315   1.0000   1.0000
   0.500   0.1894   0.03641   0.01248  -0.0294   1.0000   1.0000
   1.000   0.2271   0.03721   0.01273  -0.0272   1.0000   1.0000
   1.500   0.2624   0.03819   0.01337  -0.0251   1.0000   1.0000
   2.000   0.2954   0.03939   0.01445  -0.0231   1.0000   1.0000
   2.500   0.3260   0.04086   0.01593  -0.0212   1.0000   1.0000
   3.000   0.3539   0.04266   0.01791  -0.0197   1.0000   1.0000
   3.500   0.3788   0.04486   0.02036  -0.0185   1.0000   1.0000
   4.000   0.4005   0.04755   0.02348  -0.0178   1.0000   1.0000
   4.500   0.4185   0.05087   0.02719  -0.0178   1.0000   1.0000
   5.000   0.4328   0.05488   0.03162  -0.0186   1.0000   1.0000
   5.500   0.4445   0.05958   0.03669  -0.0202   1.0000   1.0000
   6.000   0.4554   0.06477   0.04226  -0.0223   1.0000   1.0000
   6.500   0.4672   0.07020   0.04814  -0.0245   1.0000   1.0000
   7.000   0.4798   0.07582   0.05414  -0.0268   1.0000   1.0000
   7.500   0.4936   0.08157   0.06026  -0.0290   1.0000   1.0000
   8.000   0.5081   0.08742   0.06650  -0.0312   1.0000   1.0000
   8.500   0.5231   0.09341   0.07307  -0.0332   1.0000   1.0000
   9.000   0.5383   0.09951   0.07961  -0.0353   1.0000   1.0000
   9.500   0.5537   0.10576   0.08638  -0.0373   1.0000   1.0000
  10.000   0.5690   0.11218   0.09331  -0.0394   1.0000   1.0000
  10.500   0.5838   0.11888   0.10056  -0.0416   1.0000   1.0000
  11.000   0.5980   0.12591   0.10828  -0.0440   1.0000   1.0000
  11.500   0.6111   0.13354   0.11644  -0.0468   1.0000   1.0000
  12.000   0.6227   0.14184   0.12513  -0.0499   1.0000   1.0000
  12.500   0.6338   0.15063   0.13411  -0.0534   1.0000   1.0000
  13.000   0.6459   0.15954   0.14305  -0.0569   1.0000   1.0000
  13.500   0.6597   0.16793   0.15146  -0.0601   1.0000   1.0000
  14.000   0.6745   0.17613   0.15965  -0.0633   1.0000   1.0000
  14.500   0.7290   0.19261   0.17639  -0.0768   0.9342   1.0000
  15.000   0.7644   0.20483   0.18872  -0.0837   0.8841   1.0000
  15.500   0.7915   0.21347   0.19743  -0.0879   0.8361   1.0000
  16.000   0.8223   0.22512   0.20914  -0.0922   0.7877   1.0000
  16.500   0.8456   0.23336   0.21760  -0.0948   0.7439   1.0000
  17.000   0.8669   0.24100   0.22527  -0.0971   0.7055   1.0000
  17.500   0.8899   0.25099   0.23527  -0.0997   0.6734   1.0000
  18.000   0.9080   0.25800   0.24228  -0.1017   0.6438   1.0000
  18.500   0.9271   0.26579   0.25007  -0.1038   0.6154   1.0000
  19.000   0.9460   0.27386   0.25816  -0.1059   0.5872   1.0000
  19.500   0.9647   0.28195   0.26629  -0.1080   0.5596   1.0000
  20.000   0.9776   0.28550   0.26981  -0.1099   0.5360   1.0000
  20.500   0.9955   0.29377   0.27808  -0.1123   0.5136   1.0000
  21.000   1.0110   0.29982   0.28415  -0.1146   0.4915   1.0000
  21.500   1.0294   0.30945   0.29402  -0.1171   0.4723   1.0000
  22.000   1.0420   0.31311   0.29767  -0.1196   0.4549   1.0000
  22.500   1.0564   0.31875   0.30333  -0.1223   0.4370   1.0000
  23.000   1.0719   0.32577   0.31041  -0.1250   0.4197   1.0000
  23.500   1.0877   0.33367   0.31836  -0.1278   0.4033   1.0000
  24.000   1.1030   0.34138   0.32612  -0.1306   0.3880   1.0000
  24.500   1.1168   0.34762   0.33241  -0.1336   0.3736   1.0000
  25.000   1.1293   0.35201   0.33683  -0.1368   0.3603   1.0000
  25.500   1.1412   0.35589   0.34086  -0.1401   0.3479   1.0000
  26.000   1.1531   0.36035   0.34536  -0.1435   0.3369   1.0000
  26.500   1.1662   0.36699   0.35207  -0.1469   0.3264   1.0000
  27.000   1.1809   0.37650   0.36166  -0.1501   0.3148   1.0000
  27.500   1.1915   0.37888   0.36412  -0.1538   0.3038   1.0000
  28.000   1.2018   0.38194   0.36723  -0.1577   0.2952   1.0000
  28.500   1.2151   0.39109   0.37655  -0.1611   0.2854   1.0000
  29.000   1.2256   0.39433   0.37990  -0.1649   0.2751   1.0000
  29.500   1.2353   0.39759   0.38322  -0.1690   0.2680   1.0000
  30.000   1.2491   0.41049   0.39624  -0.1722   0.2579   1.0000
