  
       XFOIL         Version 6.99
  
 Calculated polar for: cr001sm                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1507   0.03794   0.01687  -0.0611   1.0000   1.0000
   0.500   0.1942   0.03890   0.01661  -0.0607   1.0000   1.0000
   1.000   0.2355   0.04005   0.01680  -0.0602   1.0000   1.0000
   1.500   0.2749   0.04141   0.01749  -0.0597   1.0000   1.0000
   2.000   0.3125   0.04300   0.01856  -0.0593   1.0000   1.0000
   2.500   0.3483   0.04483   0.02005  -0.0590   1.0000   1.0000
   3.000   0.3822   0.04692   0.02196  -0.0588   1.0000   1.0000
   3.500   0.4143   0.04930   0.02426  -0.0588   1.0000   1.0000
   4.000   0.4446   0.05200   0.02699  -0.0589   1.0000   1.0000
   4.500   0.4729   0.05505   0.03020  -0.0594   1.0000   1.0000
   5.000   0.4993   0.05849   0.03382  -0.0601   1.0000   1.0000
   5.500   0.5237   0.06234   0.03795  -0.0612   1.0000   1.0000
   6.000   0.5461   0.06663   0.04257  -0.0626   1.0000   1.0000
   6.500   0.5666   0.07141   0.04778  -0.0643   1.0000   1.0000
   7.000   0.5852   0.07667   0.05345  -0.0664   1.0000   1.0000
   7.500   0.6023   0.08242   0.05961  -0.0688   1.0000   1.0000
   8.000   0.6182   0.08861   0.06624  -0.0715   1.0000   1.0000
   8.500   0.6333   0.09522   0.07340  -0.0744   1.0000   1.0000
   9.000   0.6478   0.10214   0.08076  -0.0775   1.0000   1.0000
   9.500   0.6620   0.10936   0.08842  -0.0807   1.0000   1.0000
  10.000   0.6761   0.11680   0.09630  -0.0840   1.0000   1.0000
  10.500   0.6902   0.12444   0.10437  -0.0875   1.0000   1.0000
  11.000   0.7045   0.13226   0.11273  -0.0910   1.0000   1.0000
  11.500   0.7191   0.14022   0.12110  -0.0947   1.0000   1.0000
  12.000   0.7339   0.14828   0.12956  -0.0984   1.0000   1.0000
  12.500   0.7492   0.15645   0.13810  -0.1023   1.0000   1.0000
  13.000   0.7648   0.16472   0.14672  -0.1062   1.0000   1.0000
  13.500   0.7808   0.17304   0.15537  -0.1102   1.0000   1.0000
  14.000   0.7973   0.18142   0.16406  -0.1143   1.0000   1.0000
  14.500   0.8142   0.18984   0.17286  -0.1184   1.0000   1.0000
  15.000   0.8314   0.19831   0.18159  -0.1226   1.0000   1.0000
  15.500   0.8793   0.21338   0.19715  -0.1348   0.9469   1.0000
  16.000   0.9127   0.22450   0.20856  -0.1421   0.9033   1.0000
  16.500   0.9400   0.23171   0.21602  -0.1473   0.8556   1.0000
  17.000   0.9677   0.24154   0.22615  -0.1522   0.8167   1.0000
  17.500   0.9940   0.25107   0.23587  -0.1566   0.7798   1.0000
  18.000   1.0164   0.25808   0.24301  -0.1601   0.7421   1.0000
  18.500   1.0418   0.26832   0.25342  -0.1640   0.7090   1.0000
  19.000   1.0640   0.27702   0.26225  -0.1674   0.6801   1.0000
  19.500   1.0856   0.28541   0.27073  -0.1707   0.6500   1.0000
  20.000   1.1054   0.29242   0.27794  -0.1737   0.6211   1.0000
  20.500   1.1258   0.30068   0.28634  -0.1769   0.5950   1.0000
  21.000   1.1415   0.30476   0.29047  -0.1800   0.5723   1.0000
  21.500   1.1612   0.31327   0.29908  -0.1832   0.5487   1.0000
  22.000   1.1829   0.32413   0.31007  -0.1865   0.5234   1.0000
  22.500   1.1961   0.32614   0.31212  -0.1897   0.5034   1.0000
  23.000   1.2149   0.33485   0.32106  -0.1930   0.4831   1.0000
  23.500   1.2323   0.34283   0.32911  -0.1965   0.4653   1.0000
  24.000   1.2461   0.34621   0.33256  -0.2000   0.4473   1.0000
  24.500   1.2626   0.35304   0.33950  -0.2035   0.4283   1.0000
  25.000   1.2810   0.36364   0.35022  -0.2069   0.4106   1.0000
  25.500   1.2962   0.37036   0.35701  -0.2106   0.3954   1.0000
  26.000   1.3107   0.37651   0.36324  -0.2144   0.3813   1.0000
  26.500   1.3252   0.38302   0.36997  -0.2182   0.3673   1.0000
  27.000   1.3396   0.38975   0.37680  -0.2220   0.3534   1.0000
  27.500   1.3522   0.39363   0.38080  -0.2261   0.3402   1.0000
  28.000   1.3639   0.39640   0.38365  -0.2303   0.3276   1.0000
  28.500   1.3754   0.39948   0.38681  -0.2346   0.3160   1.0000
  29.000   1.3875   0.40426   0.39168  -0.2389   0.3054   1.0000
  29.500   1.4007   0.41202   0.39955  -0.2429   0.2951   1.0000
  30.000   1.4148   0.42239   0.41020  -0.2467   0.2836   1.0000
