  
       XFOIL         Version 6.99
  
 Calculated polar for: Dayton-Wright 6                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0181   0.06170   0.04218  -0.0261   1.0000   1.0000
   0.500   0.0099   0.06420   0.04361  -0.0257   1.0000   1.0000
   1.000   0.0366   0.06686   0.04539  -0.0253   1.0000   1.0000
   1.500   0.0625   0.06968   0.04750  -0.0251   1.0000   1.0000
   2.000   0.0879   0.07267   0.04986  -0.0249   1.0000   1.0000
   2.500   0.1131   0.07584   0.05250  -0.0248   1.0000   1.0000
   3.000   0.1379   0.07915   0.05534  -0.0249   1.0000   1.0000
   3.500   0.1625   0.08261   0.05842  -0.0251   1.0000   1.0000
   4.000   0.1868   0.08622   0.06169  -0.0253   1.0000   1.0000
   4.500   0.2109   0.08996   0.06516  -0.0257   1.0000   1.0000
   5.000   0.2347   0.09384   0.06881  -0.0262   1.0000   1.0000
   5.500   0.2583   0.09784   0.07262  -0.0268   1.0000   1.0000
   6.000   0.2816   0.10197   0.07662  -0.0275   1.0000   1.0000
   6.500   0.3046   0.10621   0.08075  -0.0283   1.0000   1.0000
   7.000   0.3273   0.11055   0.08505  -0.0292   1.0000   1.0000
   7.500   0.3497   0.11501   0.08947  -0.0302   1.0000   1.0000
   8.000   0.3719   0.11955   0.09404  -0.0313   1.0000   1.0000
   8.500   0.3938   0.12419   0.09871  -0.0325   1.0000   1.0000
   9.000   0.4155   0.12891   0.10352  -0.0338   1.0000   1.0000
   9.500   0.4369   0.13373   0.10843  -0.0352   1.0000   1.0000
  10.000   0.4580   0.13863   0.11347  -0.0368   1.0000   1.0000
  10.500   0.4789   0.14360   0.11859  -0.0385   1.0000   1.0000
  11.000   0.4995   0.14866   0.12382  -0.0403   1.0000   1.0000
  11.500   0.5199   0.15379   0.12916  -0.0422   1.0000   1.0000
  12.000   0.5401   0.15900   0.13458  -0.0442   1.0000   1.0000
  12.500   0.5600   0.16428   0.14011  -0.0463   1.0000   1.0000
  13.000   0.5797   0.16965   0.14573  -0.0486   1.0000   1.0000
  13.500   0.5992   0.17510   0.15144  -0.0510   1.0000   1.0000
  14.000   0.6185   0.18062   0.15727  -0.0534   1.0000   1.0000
  14.500   0.6375   0.18623   0.16317  -0.0560   1.0000   1.0000
  15.000   0.6606   0.19293   0.17021  -0.0599   0.9956   1.0000
  15.500   0.6972   0.20346   0.18123  -0.0674   0.9694   1.0000
  16.000   0.7276   0.21081   0.18902  -0.0732   0.9395   1.0000
  16.500   0.7555   0.21859   0.19726  -0.0783   0.9121   1.0000
  17.000   0.7831   0.22705   0.20615  -0.0832   0.8828   1.0000
  17.500   0.8082   0.23448   0.21403  -0.0875   0.8536   1.0000
  18.000   0.8279   0.23856   0.21854  -0.0907   0.8260   1.0000
  18.500   0.8503   0.24590   0.22630  -0.0946   0.7974   1.0000
  19.000   0.8736   0.25499   0.23582  -0.0987   0.7673   1.0000
  19.500   0.8942   0.26221   0.24346  -0.1022   0.7347   1.0000
  20.000   0.9122   0.26767   0.24924  -0.1054   0.7005   1.0000
  20.500   0.9308   0.27415   0.25599  -0.1085   0.6635   1.0000
  21.000   0.9523   0.28413   0.26619  -0.1120   0.6262   1.0000
  21.500   0.9698   0.29081   0.27304  -0.1149   0.5937   1.0000
  22.000   0.9844   0.29516   0.27748  -0.1176   0.5658   1.0000
  22.500   1.0052   0.30650   0.28895  -0.1209   0.5400   1.0000
  23.000   1.0174   0.30874   0.29127  -0.1238   0.5194   1.0000
  23.500   1.0322   0.31399   0.29662  -0.1268   0.4997   1.0000
  24.000   1.0473   0.31988   0.30265  -0.1301   0.4820   1.0000
  24.500   1.0618   0.32559   0.30846  -0.1334   0.4665   1.0000
  25.000   1.0765   0.33174   0.31470  -0.1367   0.4521   1.0000
  25.500   1.0919   0.33926   0.32237  -0.1402   0.4385   1.0000
  26.000   1.1087   0.34904   0.33228  -0.1436   0.4245   1.0000
  26.500   1.1184   0.34893   0.33227  -0.1471   0.4124   1.0000
  27.000   1.1299   0.35238   0.33580  -0.1508   0.4020   1.0000
  27.500   1.1449   0.36118   0.34476  -0.1544   0.3912   1.0000
  28.000   1.1572   0.36554   0.34926  -0.1581   0.3794   1.0000
  28.500   1.1668   0.36723   0.35103  -0.1620   0.3708   1.0000
  29.000   1.1823   0.37839   0.36233  -0.1656   0.3605   1.0000
  29.500   1.1903   0.37687   0.36092  -0.1697   0.3511   1.0000
  30.000   1.2027   0.38454   0.36874  -0.1736   0.3432   1.0000
