  
       XFOIL         Version 6.99
  
 Calculated polar for: Dayton-Wright T-1                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0777   0.05923   0.03692  -0.0305   1.0000   1.0000
   0.500   0.1064   0.06181   0.03897  -0.0305   1.0000   1.0000
   1.000   0.1337   0.06465   0.04141  -0.0305   1.0000   1.0000
   1.500   0.1595   0.06777   0.04419  -0.0307   1.0000   1.0000
   2.000   0.1842   0.07116   0.04732  -0.0311   1.0000   1.0000
   2.500   0.2080   0.07481   0.05076  -0.0316   1.0000   1.0000
   3.000   0.2311   0.07869   0.05448  -0.0323   1.0000   1.0000
   3.500   0.2537   0.08277   0.05844  -0.0331   1.0000   1.0000
   4.000   0.2760   0.08703   0.06259  -0.0340   1.0000   1.0000
   4.500   0.2981   0.09143   0.06693  -0.0350   1.0000   1.0000
   5.000   0.3202   0.09595   0.07141  -0.0361   1.0000   1.0000
   5.500   0.3422   0.10058   0.07604  -0.0372   1.0000   1.0000
   6.000   0.3642   0.10530   0.08078  -0.0385   1.0000   1.0000
   6.500   0.3861   0.11012   0.08566  -0.0398   1.0000   1.0000
   7.000   0.4079   0.11503   0.09063  -0.0412   1.0000   1.0000
   7.500   0.4297   0.12002   0.09572  -0.0428   1.0000   1.0000
   8.000   0.4513   0.12511   0.10095  -0.0444   1.0000   1.0000
   8.500   0.4727   0.13028   0.10628  -0.0462   1.0000   1.0000
   9.000   0.4939   0.13556   0.11175  -0.0481   1.0000   1.0000
   9.500   0.5149   0.14096   0.11735  -0.0501   1.0000   1.0000
  10.000   0.5356   0.14647   0.12311  -0.0523   1.0000   1.0000
  10.500   0.5561   0.15212   0.12899  -0.0546   1.0000   1.0000
  11.000   0.5762   0.15790   0.13503  -0.0572   1.0000   1.0000
  11.500   0.5961   0.16382   0.14124  -0.0599   1.0000   1.0000
  12.000   0.6157   0.16987   0.14757  -0.0627   1.0000   1.0000
  12.500   0.6351   0.17606   0.15404  -0.0657   1.0000   1.0000
  13.000   0.6544   0.18237   0.16067  -0.0689   1.0000   1.0000
  13.500   0.6735   0.18880   0.16738  -0.0721   1.0000   1.0000
  14.000   0.6927   0.19533   0.17420  -0.0755   1.0000   1.0000
  14.500   0.7332   0.20786   0.18722  -0.0847   0.9724   1.0000
  15.000   0.7658   0.21693   0.19668  -0.0916   0.9398   1.0000
  15.500   0.7943   0.22469   0.20484  -0.0972   0.9069   1.0000
  16.000   0.8224   0.23369   0.21419  -0.1026   0.8755   1.0000
  16.500   0.8487   0.24197   0.22281  -0.1074   0.8430   1.0000
  17.000   0.8731   0.24964   0.23086  -0.1118   0.8112   1.0000
  17.500   0.8941   0.25508   0.23657  -0.1154   0.7798   1.0000
  18.000   0.9154   0.26148   0.24323  -0.1191   0.7481   1.0000
  18.500   0.9361   0.26795   0.24992  -0.1227   0.7171   1.0000
  19.000   0.9567   0.27486   0.25707  -0.1263   0.6867   1.0000
  19.500   0.9781   0.28288   0.26527  -0.1300   0.6572   1.0000
  20.000   1.0021   0.29382   0.27639  -0.1339   0.6274   1.0000
  20.500   1.0166   0.29574   0.27845  -0.1368   0.6022   1.0000
  21.000   1.0406   0.30798   0.29085  -0.1407   0.5771   1.0000
  21.500   1.0542   0.30959   0.29255  -0.1438   0.5559   1.0000
  22.000   1.0717   0.31528   0.29838  -0.1473   0.5344   1.0000
  22.500   1.0908   0.32324   0.30648  -0.1510   0.5139   1.0000
  23.000   1.1092   0.33110   0.31447  -0.1547   0.4955   1.0000
  23.500   1.1264   0.33792   0.32140  -0.1585   0.4783   1.0000
  24.000   1.1413   0.34225   0.32586  -0.1623   0.4627   1.0000
  24.500   1.1557   0.34616   0.32986  -0.1662   0.4481   1.0000
  25.000   1.1702   0.35060   0.33439  -0.1702   0.4345   1.0000
  25.500   1.1856   0.35674   0.34064  -0.1743   0.4219   1.0000
  26.000   1.2028   0.36590   0.34995  -0.1784   0.4088   1.0000
  26.500   1.2183   0.37246   0.35668  -0.1825   0.3951   1.0000
  27.000   1.2286   0.37198   0.35626  -0.1871   0.3849   1.0000
  27.500   1.2437   0.37966   0.36409  -0.1914   0.3745   1.0000
  28.000   1.2596   0.38869   0.37330  -0.1956   0.3619   1.0000
  28.500   1.2687   0.38689   0.37156  -0.2004   0.3532   1.0000
  29.000   1.2846   0.39807   0.38289  -0.2047   0.3434   1.0000
  29.500   1.2944   0.39727   0.38225  -0.2096   0.3333   1.0000
  30.000   1.3071   0.40411   0.38921  -0.2142   0.3255   1.0000
