  
       XFOIL         Version 6.99
  
 Calculated polar for: D.G.A. 1138                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1540   0.03701   0.01163  -0.0297   1.0000   1.0000
   0.500   0.1933   0.03780   0.01215  -0.0282   1.0000   1.0000
   1.000   0.2316   0.03877   0.01298  -0.0268   1.0000   1.0000
   1.500   0.2688   0.03993   0.01414  -0.0255   1.0000   1.0000
   2.000   0.3046   0.04131   0.01568  -0.0244   1.0000   1.0000
   2.500   0.3387   0.04297   0.01759  -0.0236   1.0000   1.0000
   3.000   0.3709   0.04495   0.01996  -0.0230   1.0000   1.0000
   3.500   0.4007   0.04732   0.02277  -0.0227   1.0000   1.0000
   4.000   0.4280   0.05014   0.02616  -0.0229   1.0000   1.0000
   4.500   0.4523   0.05350   0.03010  -0.0235   1.0000   1.0000
   5.000   0.4731   0.05756   0.03479  -0.0249   1.0000   1.0000
   5.500   0.4890   0.06255   0.04048  -0.0271   1.0000   1.0000
   6.000   0.4996   0.06864   0.04712  -0.0303   1.0000   1.0000
   6.500   0.5076   0.07548   0.05441  -0.0341   1.0000   1.0000
   7.000   0.5168   0.08255   0.06185  -0.0379   1.0000   1.0000
   7.500   0.5279   0.08963   0.06929  -0.0414   1.0000   1.0000
   8.000   0.5402   0.09672   0.07682  -0.0446   1.0000   1.0000
   8.500   0.5535   0.10389   0.08436  -0.0478   1.0000   1.0000
   9.000   0.5672   0.11115   0.09200  -0.0509   1.0000   1.0000
   9.500   0.5813   0.11854   0.09977  -0.0540   1.0000   1.0000
  10.000   0.5957   0.12609   0.10769  -0.0572   1.0000   1.0000
  10.500   0.6103   0.13382   0.11578  -0.0604   1.0000   1.0000
  11.000   0.6249   0.14178   0.12408  -0.0638   1.0000   1.0000
  11.500   0.6398   0.15001   0.13268  -0.0674   1.0000   1.0000
  12.000   0.6550   0.15841   0.14129  -0.0711   1.0000   1.0000
  12.500   0.6709   0.16685   0.14987  -0.0748   1.0000   1.0000
  13.000   0.6876   0.17520   0.15833  -0.0786   1.0000   1.0000
  13.500   0.7051   0.18344   0.16665  -0.0823   1.0000   1.0000
  14.000   0.7232   0.19159   0.17488  -0.0860   0.9999   1.0000
  14.500   0.7788   0.20754   0.19114  -0.0994   0.9344   1.0000
  15.000   0.8141   0.21855   0.20243  -0.1062   0.8839   1.0000
  15.500   0.8399   0.22675   0.21071  -0.1106   0.8477   1.0000
  16.000   0.8696   0.23794   0.22199  -0.1154   0.8102   1.0000
  16.500   0.8938   0.24546   0.22959  -0.1188   0.7703   1.0000
  17.000   0.9162   0.25254   0.23671  -0.1217   0.7319   1.0000
  17.500   0.9436   0.26382   0.24806  -0.1253   0.6945   1.0000
  18.000   0.9630   0.27000   0.25428  -0.1279   0.6637   1.0000
  18.500   0.9834   0.27724   0.26156  -0.1307   0.6343   1.0000
  19.000   1.0033   0.28429   0.26883  -0.1334   0.6047   1.0000
  19.500   1.0230   0.29156   0.27614  -0.1362   0.5757   1.0000
  20.000   1.0427   0.29934   0.28396  -0.1391   0.5482   1.0000
  20.500   1.0638   0.30898   0.29366  -0.1421   0.5222   1.0000
  21.000   1.0792   0.31325   0.29797  -0.1450   0.4993   1.0000
  21.500   1.0993   0.32319   0.30796  -0.1483   0.4790   1.0000
  22.000   1.1133   0.32651   0.31131  -0.1515   0.4604   1.0000
  22.500   1.1308   0.33382   0.31870  -0.1548   0.4406   1.0000
  23.000   1.1503   0.34467   0.32960  -0.1582   0.4224   1.0000
  23.500   1.1638   0.34781   0.33297  -0.1619   0.4063   1.0000
  24.000   1.1784   0.35238   0.33761  -0.1656   0.3901   1.0000
  24.500   1.1934   0.35792   0.34322  -0.1694   0.3745   1.0000
  25.000   1.2084   0.36386   0.34924  -0.1733   0.3600   1.0000
  25.500   1.2233   0.37022   0.35567  -0.1773   0.3468   1.0000
  26.000   1.2384   0.37732   0.36286  -0.1814   0.3340   1.0000
  26.500   1.2538   0.38558   0.37132  -0.1853   0.3211   1.0000
  27.000   1.2685   0.39323   0.37911  -0.1894   0.3081   1.0000
  27.500   1.2790   0.39274   0.37867  -0.1942   0.2977   1.0000
  28.000   1.2917   0.39763   0.38364  -0.1988   0.2881   1.0000
  28.500   1.3063   0.40734   0.39347  -0.2029   0.2777   1.0000
  29.500   1.3289   0.41326   0.39967  -0.2127   0.2599   1.0000
  30.000   1.3436   0.42668   0.41324  -0.2166   0.2502   1.0000
