  
       XFOIL         Version 6.99
  
 Calculated polar for: DU86-084/18 8.44%                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0008   0.03631   0.01087  -0.0056   1.0000   1.0000
   0.500   0.0283   0.03661   0.01087  -0.0023   1.0000   1.0000
   1.000   0.0583   0.03702   0.01110   0.0007   1.0000   1.0000
   1.500   0.0891   0.03754   0.01154   0.0034   1.0000   1.0000
   2.000   0.1202   0.03819   0.01223   0.0059   1.0000   1.0000
   2.500   0.1513   0.03900   0.01319   0.0081   1.0000   1.0000
   3.000   0.1820   0.04000   0.01449   0.0100   1.0000   1.0000
   3.500   0.2118   0.04121   0.01606   0.0116   1.0000   1.0000
   4.000   0.2402   0.04271   0.01801   0.0129   1.0000   1.0000
   4.500   0.2664   0.04457   0.02052   0.0138   1.0000   1.0000
   5.000   0.2895   0.04691   0.02346   0.0141   1.0000   1.0000
   5.500   0.3087   0.04986   0.02702   0.0137   1.0000   1.0000
   6.000   0.3237   0.05356   0.03132   0.0125   1.0000   1.0000
   6.500   0.3350   0.05808   0.03653   0.0103   1.0000   1.0000
   7.000   0.3442   0.06332   0.04225   0.0073   1.0000   1.0000
   7.500   0.3532   0.06908   0.04844   0.0039   1.0000   1.0000
   8.000   0.3629   0.07525   0.05500   0.0002   1.0000   1.0000
   8.500   0.3734   0.08177   0.06188  -0.0035   1.0000   1.0000
   9.000   0.3853   0.08850   0.06895  -0.0071   1.0000   1.0000
   9.500   0.3979   0.09544   0.07620  -0.0107   1.0000   1.0000
  10.000   0.4115   0.10255   0.08361  -0.0143   1.0000   1.0000
  10.500   0.4260   0.10973   0.09104  -0.0177   1.0000   1.0000
  11.000   0.4411   0.11700   0.09872  -0.0212   1.0000   1.0000
  11.500   0.4569   0.12433   0.10627  -0.0246   1.0000   1.0000
  12.000   0.4733   0.13169   0.11386  -0.0280   1.0000   1.0000
  12.500   0.4903   0.13909   0.12146  -0.0315   1.0000   1.0000
  13.000   0.5078   0.14651   0.12905  -0.0350   1.0000   1.0000
  13.500   0.5257   0.15397   0.13668  -0.0385   1.0000   1.0000
  14.000   0.5440   0.16143   0.14429  -0.0421   1.0000   1.0000
  14.500   0.5626   0.16892   0.15193  -0.0457   1.0000   1.0000
  15.000   0.5934   0.17969   0.16290  -0.0526   0.9857   1.0000
  15.500   0.6388   0.19359   0.17722  -0.0629   0.9330   1.0000
  16.000   0.6756   0.20487   0.18868  -0.0700   0.8779   1.0000
  16.500   0.7037   0.21404   0.19797  -0.0748   0.8388   1.0000
  17.000   0.7307   0.22360   0.20764  -0.0793   0.8055   1.0000
  17.500   0.7590   0.23399   0.21812  -0.0837   0.7694   1.0000
  18.000   0.7840   0.24194   0.22614  -0.0871   0.7301   1.0000
  18.500   0.8094   0.25053   0.23480  -0.0904   0.6898   1.0000
  19.000   0.8291   0.25560   0.23992  -0.0930   0.6549   1.0000
  19.500   0.8531   0.26480   0.24937  -0.0963   0.6238   1.0000
  20.000   0.8757   0.27352   0.25814  -0.0995   0.5951   1.0000
  20.500   0.8976   0.28215   0.26680  -0.1027   0.5668   1.0000
  21.000   0.9174   0.28920   0.27390  -0.1056   0.5390   1.0000
  21.500   0.9377   0.29699   0.28176  -0.1087   0.5117   1.0000
  22.000   0.9537   0.30078   0.28557  -0.1116   0.4869   1.0000
  22.500   0.9706   0.30624   0.29105  -0.1149   0.4650   1.0000
  23.000   0.9931   0.31786   0.30274  -0.1183   0.4428   1.0000
  23.500   1.0067   0.32018   0.30524  -0.1219   0.4258   1.0000
  24.000   1.0230   0.32553   0.31063  -0.1255   0.4077   1.0000
  24.500   1.0411   0.33334   0.31853  -0.1292   0.3903   1.0000
  25.000   1.0604   0.34360   0.32884  -0.1329   0.3738   1.0000
  25.500   1.0747   0.34742   0.33271  -0.1369   0.3590   1.0000
  26.000   1.0894   0.35219   0.33754  -0.1409   0.3445   1.0000
  26.500   1.1043   0.35767   0.34308  -0.1450   0.3306   1.0000
  27.000   1.1194   0.36364   0.34911  -0.1491   0.3170   1.0000
  27.500   1.1351   0.37082   0.35649  -0.1533   0.3041   1.0000
  28.000   1.1502   0.37771   0.36351  -0.1576   0.2917   1.0000
  28.500   1.1610   0.37766   0.36349  -0.1624   0.2818   1.0000
  29.000   1.1743   0.38269   0.36859  -0.1670   0.2730   1.0000
  29.500   1.1899   0.39257   0.37857  -0.1713   0.2629   1.0000
  30.000   1.2010   0.39345   0.37955  -0.1763   0.2536   1.0000
