  
       XFOIL         Version 6.99
  
 Calculated polar for: E214  (11.1%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0120   0.04384   0.02317  -0.0472   1.0000   1.0000
   0.500   0.0549   0.04508   0.02340  -0.0484   1.0000   1.0000
   1.000   0.0961   0.04655   0.02401  -0.0495   1.0000   1.0000
   1.500   0.1357   0.04823   0.02503  -0.0503   1.0000   1.0000
   2.000   0.1739   0.05013   0.02638  -0.0512   1.0000   1.0000
   2.500   0.2107   0.05226   0.02810  -0.0520   1.0000   1.0000
   3.000   0.2463   0.05461   0.03013  -0.0529   1.0000   1.0000
   3.500   0.2804   0.05720   0.03251  -0.0538   1.0000   1.0000
   4.000   0.3132   0.06003   0.03521  -0.0547   1.0000   1.0000
   4.500   0.3448   0.06311   0.03826  -0.0558   1.0000   1.0000
   5.000   0.3750   0.06645   0.04165  -0.0569   1.0000   1.0000
   5.500   0.4038   0.07007   0.04537  -0.0582   1.0000   1.0000
   6.000   0.4315   0.07397   0.04945  -0.0596   1.0000   1.0000
   6.500   0.4577   0.07819   0.05392  -0.0612   1.0000   1.0000
   7.000   0.4827   0.08273   0.05874  -0.0629   1.0000   1.0000
   7.500   0.5064   0.08760   0.06393  -0.0648   1.0000   1.0000
   8.000   0.5289   0.09281   0.06954  -0.0669   1.0000   1.0000
   8.500   0.5500   0.09835   0.07548  -0.0692   1.0000   1.0000
   9.000   0.5700   0.10423   0.08179  -0.0717   1.0000   1.0000
   9.500   0.5890   0.11045   0.08851  -0.0745   1.0000   1.0000
  10.000   0.6071   0.11697   0.09549  -0.0774   1.0000   1.0000
  10.500   0.6245   0.12377   0.10275  -0.0805   1.0000   1.0000
  11.000   0.6414   0.13082   0.11026  -0.0839   1.0000   1.0000
  11.500   0.6581   0.13810   0.11807  -0.0874   1.0000   1.0000
  12.000   0.6745   0.14554   0.12597  -0.0911   1.0000   1.0000
  12.500   0.6911   0.15314   0.13401  -0.0950   1.0000   1.0000
  13.000   0.7078   0.16089   0.14217  -0.0991   1.0000   1.0000
  13.500   0.7247   0.16874   0.15043  -0.1032   1.0000   1.0000
  14.000   0.7418   0.17670   0.15885  -0.1075   1.0000   1.0000
  14.500   0.7592   0.18474   0.16726  -0.1118   1.0000   1.0000
  15.000   0.7769   0.19288   0.17574  -0.1162   1.0000   1.0000
  15.500   0.8081   0.20445   0.18774  -0.1243   0.9820   1.0000
  16.000   0.8437   0.21413   0.19789  -0.1331   0.9382   1.0000
  16.500   0.8783   0.22512   0.20936  -0.1406   0.8920   1.0000
  17.000   0.9038   0.23258   0.21710  -0.1459   0.8564   1.0000
  17.500   0.9327   0.24227   0.22708  -0.1513   0.8160   1.0000
  18.000   0.9559   0.24950   0.23453  -0.1556   0.7843   1.0000
  18.500   0.9853   0.26143   0.24671  -0.1606   0.7469   1.0000
  19.000   1.0080   0.26939   0.25492  -0.1646   0.7181   1.0000
  19.500   1.0309   0.27784   0.26350  -0.1684   0.6885   1.0000
  20.000   1.0526   0.28543   0.27125  -0.1721   0.6597   1.0000
  20.500   1.0688   0.28877   0.27466  -0.1753   0.6366   1.0000
  21.000   1.0898   0.29675   0.28274  -0.1790   0.6118   1.0000
  21.500   1.1141   0.30826   0.29437  -0.1829   0.5865   1.0000
  22.000   1.1284   0.31046   0.29671  -0.1862   0.5667   1.0000
  22.500   1.1517   0.32181   0.30821  -0.1900   0.5435   1.0000
  23.000   1.1664   0.32480   0.31123  -0.1935   0.5247   1.0000
  23.500   1.1841   0.33080   0.31731  -0.1972   0.5051   1.0000
  24.000   1.2042   0.34054   0.32717  -0.2010   0.4862   1.0000
  24.500   1.2212   0.34728   0.33396  -0.2047   0.4693   1.0000
  25.000   1.2358   0.35097   0.33780  -0.2086   0.4528   1.0000
  25.500   1.2514   0.35613   0.34304  -0.2125   0.4369   1.0000
  26.000   1.2669   0.36183   0.34882  -0.2165   0.4219   1.0000
  26.500   1.2823   0.36757   0.35465  -0.2205   0.4072   1.0000
  27.000   1.2973   0.37325   0.36041  -0.2245   0.3927   1.0000
  27.500   1.3120   0.37912   0.36637  -0.2286   0.3791   1.0000
  28.000   1.3268   0.38565   0.37308  -0.2327   0.3661   1.0000
  28.500   1.3421   0.39377   0.38130  -0.2368   0.3535   1.0000
  29.000   1.3570   0.40172   0.38940  -0.2409   0.3405   1.0000
  29.500   1.3666   0.40064   0.38836  -0.2455   0.3298   1.0000
  30.000   1.3782   0.40443   0.39224  -0.2500   0.3196   1.0000
