  
       XFOIL         Version 6.99
  
 Calculated polar for: E10(08%)                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0046   0.03599   0.01203  -0.0006   1.0000   1.0000
   0.500   0.0234   0.03632   0.01228   0.0033   1.0000   1.0000
   1.000   0.0425   0.03686   0.01276   0.0071   1.0000   1.0000
   1.500   0.0622   0.03761   0.01349   0.0103   1.0000   1.0000
   2.000   0.0827   0.03859   0.01449   0.0131   1.0000   1.0000
   2.500   0.1037   0.03981   0.01582   0.0153   1.0000   1.0000
   3.000   0.1247   0.04132   0.01746   0.0169   1.0000   1.0000
   3.500   0.1454   0.04314   0.01947   0.0179   1.0000   1.0000
   4.000   0.1656   0.04531   0.02192   0.0184   1.0000   1.0000
   4.500   0.1849   0.04786   0.02473   0.0182   1.0000   1.0000
   5.000   0.2034   0.05080   0.02799   0.0175   1.0000   1.0000
   5.500   0.2209   0.05418   0.03177   0.0162   1.0000   1.0000
   6.000   0.2376   0.05800   0.03593   0.0145   1.0000   1.0000
   6.500   0.2534   0.06227   0.04055   0.0124   1.0000   1.0000
   7.000   0.2686   0.06696   0.04560   0.0099   1.0000   1.0000
   7.500   0.2833   0.07208   0.05107   0.0072   1.0000   1.0000
   8.000   0.2978   0.07759   0.05703   0.0042   1.0000   1.0000
   8.500   0.3121   0.08347   0.06322   0.0012   1.0000   1.0000
   9.000   0.3265   0.08966   0.06972  -0.0020   1.0000   1.0000
   9.500   0.3410   0.09611   0.07647  -0.0052   1.0000   1.0000
  10.000   0.3559   0.10278   0.08341  -0.0084   1.0000   1.0000
  10.500   0.3711   0.10959   0.09047  -0.0115   1.0000   1.0000
  11.000   0.3868   0.11655   0.09766  -0.0148   1.0000   1.0000
  11.500   0.4029   0.12358   0.10491  -0.0180   1.0000   1.0000
  12.000   0.4194   0.13066   0.11228  -0.0212   1.0000   1.0000
  12.500   0.4365   0.13780   0.11959  -0.0245   1.0000   1.0000
  13.000   0.4540   0.14497   0.12692  -0.0278   1.0000   1.0000
  13.500   0.4719   0.15213   0.13420  -0.0311   1.0000   1.0000
  14.000   0.4901   0.15930   0.14150  -0.0345   1.0000   1.0000
  14.500   0.5086   0.16652   0.14882  -0.0379   1.0000   1.0000
  15.000   0.5562   0.18146   0.16404  -0.0489   0.9595   1.0000
  15.500   0.6002   0.19409   0.17700  -0.0578   0.8940   1.0000
  16.000   0.6359   0.20597   0.18902  -0.0638   0.8424   1.0000
  16.500   0.6640   0.21500   0.19814  -0.0679   0.7996   1.0000
  17.000   0.6899   0.22319   0.20640  -0.0713   0.7558   1.0000
  17.500   0.7174   0.23331   0.21659  -0.0748   0.7158   1.0000
  18.000   0.7372   0.23921   0.22252  -0.0773   0.6844   1.0000
  18.500   0.7585   0.24645   0.22990  -0.0800   0.6538   1.0000
  19.000   0.7809   0.25456   0.23805  -0.0828   0.6219   1.0000
  19.500   0.8031   0.26291   0.24643  -0.0856   0.5919   1.0000
  20.000   0.8225   0.26954   0.25307  -0.0883   0.5648   1.0000
  20.500   0.8408   0.27581   0.25935  -0.0911   0.5419   1.0000
  21.000   0.8646   0.28709   0.27069  -0.0943   0.5191   1.0000
  21.500   0.8783   0.28951   0.27310  -0.0971   0.5000   1.0000
  22.500   0.9152   0.30354   0.28729  -0.1033   0.4599   1.0000
  23.000   0.9317   0.30891   0.29270  -0.1064   0.4401   1.0000
  23.500   0.9526   0.31972   0.30358  -0.1096   0.4210   1.0000
  24.000   0.9676   0.32414   0.30799  -0.1130   0.4055   1.0000
  24.500   0.9830   0.32918   0.31306  -0.1165   0.3907   1.0000
  25.000   0.9988   0.33512   0.31904  -0.1201   0.3767   1.0000
  25.500   1.0152   0.34189   0.32597  -0.1238   0.3633   1.0000
  26.000   1.0314   0.34912   0.33325  -0.1275   0.3500   1.0000
  26.500   1.0468   0.35526   0.33949  -0.1312   0.3369   1.0000
  27.000   1.0591   0.35706   0.34130  -0.1353   0.3252   1.0000
  27.500   1.0722   0.36053   0.34481  -0.1395   0.3144   1.0000
  28.000   1.0861   0.36611   0.35043  -0.1435   0.3040   1.0000
  28.500   1.1015   0.37444   0.35885  -0.1474   0.2931   1.0000
  29.000   1.1153   0.37970   0.36428  -0.1516   0.2820   1.0000
  29.500   1.1261   0.38072   0.36533  -0.1563   0.2741   1.0000
  30.000   1.1408   0.39010   0.37480  -0.1602   0.2655   1.0000
