  
       XFOIL         Version 6.99
  
 Calculated polar for: E387                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0604   0.04083   0.01957  -0.0455   1.0000   1.0000
   0.500   0.0978   0.04210   0.01976  -0.0452   1.0000   1.0000
   1.000   0.1343   0.04354   0.02033  -0.0450   1.0000   1.0000
   1.500   0.1700   0.04516   0.02121  -0.0449   1.0000   1.0000
   2.000   0.2050   0.04696   0.02245  -0.0449   1.0000   1.0000
   2.500   0.2394   0.04894   0.02397  -0.0449   1.0000   1.0000
   3.000   0.2729   0.05111   0.02583  -0.0451   1.0000   1.0000
   3.500   0.3056   0.05349   0.02799  -0.0454   1.0000   1.0000
   4.000   0.3373   0.05608   0.03048  -0.0458   1.0000   1.0000
   4.500   0.3681   0.05891   0.03329  -0.0463   1.0000   1.0000
   5.000   0.3979   0.06198   0.03645  -0.0470   1.0000   1.0000
   5.500   0.4265   0.06531   0.03994  -0.0478   1.0000   1.0000
   6.000   0.4538   0.06894   0.04384  -0.0488   1.0000   1.0000
   6.500   0.4797   0.07288   0.04808  -0.0500   1.0000   1.0000
   7.000   0.5043   0.07718   0.05273  -0.0514   1.0000   1.0000
   7.500   0.5273   0.08186   0.05790  -0.0531   1.0000   1.0000
   8.000   0.5488   0.08695   0.06344  -0.0550   1.0000   1.0000
   8.500   0.5687   0.09248   0.06946  -0.0571   1.0000   1.0000
   9.000   0.5871   0.09843   0.07591  -0.0596   1.0000   1.0000
   9.500   0.6041   0.10481   0.08290  -0.0623   1.0000   1.0000
  10.000   0.6200   0.11160   0.09022  -0.0652   1.0000   1.0000
  10.500   0.6349   0.11874   0.09789  -0.0684   1.0000   1.0000
  11.000   0.6496   0.12620   0.10585  -0.0719   1.0000   1.0000
  11.500   0.6640   0.13392   0.11415  -0.0755   1.0000   1.0000
  12.000   0.6784   0.14180   0.12250  -0.0792   1.0000   1.0000
  12.500   0.6932   0.14987   0.13102  -0.0832   1.0000   1.0000
  13.000   0.7084   0.15807   0.13964  -0.0872   1.0000   1.0000
  13.500   0.7240   0.16635   0.14831  -0.0913   1.0000   1.0000
  14.000   0.7401   0.17476   0.15716  -0.0955   1.0000   1.0000
  14.500   0.7566   0.18325   0.16598  -0.0998   1.0000   1.0000
  15.000   0.7938   0.19625   0.17946  -0.1097   0.9669   1.0000
  15.500   0.8369   0.21033   0.19400  -0.1197   0.9017   1.0000
  16.000   0.8658   0.21969   0.20363  -0.1254   0.8507   1.0000
  16.500   0.8932   0.22955   0.21378  -0.1302   0.8069   1.0000
  17.000   0.9210   0.24075   0.22518  -0.1349   0.7684   1.0000
  17.500   0.9434   0.24918   0.23372  -0.1385   0.7364   1.0000
  18.000   0.9655   0.25763   0.24229  -0.1421   0.7070   1.0000
  18.500   0.9895   0.26797   0.25275  -0.1459   0.6793   1.0000
  19.000   1.0062   0.27230   0.25718  -0.1487   0.6544   1.0000
  19.500   1.0268   0.28058   0.26561  -0.1523   0.6324   1.0000
  20.000   1.0475   0.28873   0.27388  -0.1557   0.6089   1.0000
  20.500   1.0658   0.29544   0.28066  -0.1590   0.5883   1.0000
  21.000   1.0851   0.30270   0.28804  -0.1625   0.5669   1.0000
  21.500   1.1070   0.31352   0.29896  -0.1663   0.5480   1.0000
  22.000   1.1218   0.31685   0.30242  -0.1696   0.5300   1.0000
  22.500   1.1404   0.32388   0.30956  -0.1732   0.5100   1.0000
  23.000   1.1619   0.33586   0.32168  -0.1768   0.4913   1.0000
  23.500   1.1771   0.34013   0.32599  -0.1805   0.4758   1.0000
  24.000   1.1927   0.34507   0.33102  -0.1842   0.4601   1.0000
  24.500   1.2085   0.35034   0.33644  -0.1880   0.4439   1.0000
  25.000   1.2247   0.35630   0.34250  -0.1919   0.4278   1.0000
  25.500   1.2408   0.36272   0.34902  -0.1958   0.4120   1.0000
  26.000   1.2566   0.36908   0.35548  -0.1998   0.3973   1.0000
  26.500   1.2719   0.37502   0.36151  -0.2039   0.3837   1.0000
  27.000   1.2865   0.38081   0.36739  -0.2080   0.3708   1.0000
  27.500   1.3011   0.38677   0.37352  -0.2122   0.3582   1.0000
  28.000   1.3154   0.39310   0.37995  -0.2163   0.3456   1.0000
  28.500   1.3300   0.40014   0.38709  -0.2205   0.3332   1.0000
  29.000   1.3449   0.40866   0.39573  -0.2246   0.3208   1.0000
  29.500   1.3581   0.41399   0.40120  -0.2290   0.3087   1.0000
  30.000   1.3682   0.41428   0.40155  -0.2338   0.2992   1.0000
