  
       XFOIL         Version 6.99
  
 Calculated polar for: E64  (8.45%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0787   0.03764   0.01483  -0.0471   1.0000   1.0000
   0.500   0.1222   0.03844   0.01479  -0.0470   1.0000   1.0000
   1.000   0.1643   0.03943   0.01516  -0.0469   1.0000   1.0000
   1.500   0.2050   0.04060   0.01589  -0.0467   1.0000   1.0000
   2.000   0.2443   0.04197   0.01695  -0.0465   1.0000   1.0000
   2.500   0.2821   0.04357   0.01839  -0.0464   1.0000   1.0000
   3.000   0.3182   0.04541   0.02019  -0.0465   1.0000   1.0000
   3.500   0.3526   0.04753   0.02237  -0.0466   1.0000   1.0000
   4.000   0.3850   0.04996   0.02500  -0.0470   1.0000   1.0000
   4.500   0.4154   0.05273   0.02802  -0.0476   1.0000   1.0000
   5.000   0.4437   0.05590   0.03151  -0.0484   1.0000   1.0000
   5.500   0.4698   0.05949   0.03555  -0.0496   1.0000   1.0000
   6.000   0.4936   0.06356   0.04005  -0.0511   1.0000   1.0000
   6.500   0.5152   0.06813   0.04510  -0.0530   1.0000   1.0000
   7.000   0.5346   0.07323   0.05078  -0.0553   1.0000   1.0000
   7.500   0.5523   0.07887   0.05694  -0.0580   1.0000   1.0000
   8.000   0.5684   0.08503   0.06362  -0.0610   1.0000   1.0000
   8.500   0.5833   0.09168   0.07079  -0.0643   1.0000   1.0000
   9.000   0.5973   0.09875   0.07837  -0.0678   1.0000   1.0000
   9.500   0.6110   0.10620   0.08640  -0.0715   1.0000   1.0000
  10.000   0.6245   0.11392   0.09459  -0.0753   1.0000   1.0000
  10.500   0.6381   0.12187   0.10299  -0.0793   1.0000   1.0000
  11.000   0.6522   0.12999   0.11154  -0.0833   1.0000   1.0000
  11.500   0.6668   0.13823   0.12017  -0.0873   1.0000   1.0000
  12.000   0.6819   0.14657   0.12898  -0.0914   1.0000   1.0000
  12.500   0.6977   0.15499   0.13776  -0.0956   1.0000   1.0000
  13.000   0.7139   0.16345   0.14654  -0.0998   1.0000   1.0000
  13.500   0.7308   0.17198   0.15536  -0.1040   1.0000   1.0000
  14.000   0.7481   0.18057   0.16421  -0.1083   1.0000   1.0000
  14.500   0.7659   0.18918   0.17306  -0.1126   1.0000   1.0000
  15.000   0.7978   0.20053   0.18481  -0.1207   0.9787   1.0000
  15.500   0.8375   0.21277   0.19737  -0.1301   0.9285   1.0000
  16.000   0.8689   0.22267   0.20748  -0.1366   0.8858   1.0000
  16.500   0.8983   0.23221   0.21720  -0.1420   0.8435   1.0000
  17.000   0.9290   0.24384   0.22898  -0.1473   0.8044   1.0000
  17.500   0.9504   0.24956   0.23482  -0.1508   0.7706   1.0000
  18.000   0.9789   0.26083   0.24633  -0.1552   0.7338   1.0000
  18.500   1.0022   0.26923   0.25481  -0.1588   0.7037   1.0000
  19.000   1.0238   0.27682   0.26251  -0.1622   0.6745   1.0000
  19.500   1.0451   0.28418   0.26995  -0.1654   0.6452   1.0000
  20.000   1.0672   0.29268   0.27856  -0.1688   0.6169   1.0000
  20.500   1.0860   0.29860   0.28457  -0.1720   0.5917   1.0000
  21.000   1.1042   0.30458   0.29068  -0.1754   0.5689   1.0000
  21.500   1.1264   0.31493   0.30113  -0.1788   0.5446   1.0000
  22.000   1.1434   0.31960   0.30589  -0.1821   0.5210   1.0000
  22.500   1.1627   0.32798   0.31435  -0.1856   0.5002   1.0000
  23.000   1.1787   0.33268   0.31912  -0.1892   0.4804   1.0000
  23.500   1.1984   0.34219   0.32882  -0.1927   0.4609   1.0000
  24.000   1.2159   0.34978   0.33647  -0.1964   0.4435   1.0000
  24.500   1.2302   0.35332   0.34008  -0.2002   0.4264   1.0000
  25.000   1.2461   0.35882   0.34567  -0.2041   0.4087   1.0000
  25.500   1.2622   0.36542   0.35235  -0.2079   0.3922   1.0000
  26.000   1.2779   0.37185   0.35887  -0.2119   0.3771   1.0000
  26.500   1.2926   0.37747   0.36466  -0.2160   0.3636   1.0000
  27.000   1.3070   0.38305   0.37032  -0.2202   0.3505   1.0000
  27.500   1.3211   0.38880   0.37615  -0.2244   0.3378   1.0000
  28.000   1.3354   0.39520   0.38264  -0.2286   0.3255   1.0000
  28.500   1.3501   0.40282   0.39036  -0.2328   0.3132   1.0000
  29.000   1.3652   0.41266   0.40031  -0.2367   0.3006   1.0000
  29.500   1.3755   0.41228   0.40011  -0.2416   0.2899   1.0000
  30.000   1.3869   0.41590   0.40380  -0.2464   0.2812   1.0000
