  
       XFOIL         Version 6.99
  
 Calculated polar for: E. Bambino                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0111   0.03297   0.01261  -0.0144   1.0000   1.0000
   0.500   0.0528   0.03297   0.01118  -0.0122   1.0000   1.0000
   1.000   0.0928   0.03311   0.01038  -0.0100   1.0000   1.0000
   1.500   0.1312   0.03338   0.00994  -0.0078   1.0000   1.0000
   2.000   0.1679   0.03381   0.01000  -0.0057   1.0000   1.0000
   2.500   0.2032   0.03442   0.01042  -0.0037   1.0000   1.0000
   3.000   0.2373   0.03523   0.01124  -0.0019   1.0000   1.0000
   3.500   0.2703   0.03630   0.01248  -0.0004   1.0000   1.0000
   4.000   0.3021   0.03766   0.01418   0.0007   1.0000   1.0000
   4.500   0.3322   0.03940   0.01640   0.0012   1.0000   1.0000
   5.000   0.3590   0.04172   0.01933   0.0009   1.0000   1.0000
   5.500   0.3791   0.04510   0.02348  -0.0009   1.0000   1.0000
   6.000   0.3884   0.05026   0.02914  -0.0049   1.0000   1.0000
   6.500   0.3931   0.05672   0.03592  -0.0103   1.0000   1.0000
   7.000   0.3999   0.06356   0.04300  -0.0156   1.0000   1.0000
   8.000   0.6141   0.09261   0.07416  -0.0550   0.7109   1.0000
   8.500   0.6215   0.09973   0.08135  -0.0567   0.7108   1.0000
   9.000   0.6234   0.10643   0.08823  -0.0584   0.7281   1.0000
   9.500   0.6142   0.11208   0.09387  -0.0594   0.7688   1.0000
  10.000   0.5876   0.11571   0.09732  -0.0581   0.8535   1.0000
  10.500   0.5032   0.11067   0.09146  -0.0403   1.0000   1.0000
  11.000   0.5224   0.11695   0.09816  -0.0429   1.0000   1.0000
  11.500   0.5418   0.12323   0.10477  -0.0454   1.0000   1.0000
  12.000   0.5614   0.12953   0.11144  -0.0479   1.0000   1.0000
  12.500   0.5812   0.13591   0.11822  -0.0505   1.0000   1.0000
  13.000   0.6008   0.14248   0.12533  -0.0532   1.0000   1.0000
  13.500   0.6199   0.14938   0.13263  -0.0561   1.0000   1.0000
  14.000   0.6384   0.15672   0.14035  -0.0592   1.0000   1.0000
  14.500   0.6561   0.16462   0.14855  -0.0627   1.0000   1.0000
  15.000   0.6734   0.17298   0.15712  -0.0664   1.0000   1.0000
  15.500   0.6909   0.18158   0.16582  -0.0703   1.0000   1.0000
  16.000   0.7327   0.19600   0.18042  -0.0810   0.9645   1.0000
  16.500   0.7870   0.21152   0.19632  -0.0918   0.8544   1.0000
  17.000   0.8196   0.22295   0.20784  -0.0966   0.7925   1.0000
  17.500   0.8453   0.23232   0.21725  -0.0998   0.7423   1.0000
  18.000   0.8691   0.24125   0.22623  -0.1025   0.6973   1.0000
  18.500   0.8935   0.25140   0.23642  -0.1055   0.6582   1.0000
  19.000   0.9136   0.25896   0.24400  -0.1078   0.6219   1.0000
  19.500   0.9381   0.27028   0.25536  -0.1108   0.5881   1.0000
  20.000   0.9558   0.27678   0.26188  -0.1132   0.5579   1.0000
  20.500   0.9748   0.28439   0.26951  -0.1158   0.5288   1.0000
  21.000   0.9950   0.29334   0.27870  -0.1186   0.5011   1.0000
  21.500   1.0125   0.29989   0.28530  -0.1214   0.4755   1.0000
  22.000   1.0287   0.30569   0.29111  -0.1246   0.4545   1.0000
  22.500   1.0483   0.31485   0.30034  -0.1277   0.4322   1.0000
  23.000   1.0656   0.32230   0.30782  -0.1312   0.4144   1.0000
  23.500   1.0807   0.32716   0.31271  -0.1348   0.3972   1.0000
  24.000   1.0971   0.33352   0.31912  -0.1385   0.3805   1.0000
  24.500   1.1137   0.34041   0.32607  -0.1422   0.3645   1.0000
  25.000   1.1300   0.34725   0.33309  -0.1461   0.3496   1.0000
  25.500   1.1459   0.35382   0.33973  -0.1502   0.3352   1.0000
  26.000   1.1614   0.36009   0.34606  -0.1543   0.3217   1.0000
  26.500   1.1767   0.36640   0.35244  -0.1586   0.3091   1.0000
  27.000   1.1922   0.37356   0.35968  -0.1628   0.2971   1.0000
  27.500   1.2085   0.38279   0.36900  -0.1670   0.2852   1.0000
  28.000   1.2233   0.38925   0.37566  -0.1713   0.2733   1.0000
  28.500   1.2353   0.39049   0.37695  -0.1765   0.2645   1.0000
  29.000   1.2503   0.39913   0.38569  -0.1810   0.2556   1.0000
  29.500   1.2646   0.40606   0.39276  -0.1855   0.2449   1.0000
  30.000   1.2763   0.40780   0.39456  -0.1909   0.2380   1.0000
