  
       XFOIL         Version 6.99
  
 Calculated polar for: EH 3.0/12                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0619   0.04785   0.02705  -0.0044   1.0000   1.0000
   0.500  -0.0466   0.04926   0.02774  -0.0020   1.0000   1.0000
   1.000  -0.0293   0.05083   0.02871  -0.0000   1.0000   1.0000
   1.500  -0.0104   0.05258   0.02984   0.0016   1.0000   1.0000
   2.000   0.0098   0.05449   0.03126   0.0028   1.0000   1.0000
   2.500   0.0309   0.05659   0.03291   0.0037   1.0000   1.0000
   3.000   0.0526   0.05887   0.03481   0.0043   1.0000   1.0000
   3.500   0.0751   0.06133   0.03690   0.0047   1.0000   1.0000
   4.000   0.0976   0.06397   0.03928   0.0049   1.0000   1.0000
   4.500   0.1204   0.06680   0.04187   0.0049   1.0000   1.0000
   5.000   0.1432   0.06982   0.04472   0.0046   1.0000   1.0000
   5.500   0.1661   0.07302   0.04778   0.0043   1.0000   1.0000
   6.000   0.1888   0.07642   0.05110   0.0037   1.0000   1.0000
   6.500   0.2115   0.08002   0.05463   0.0030   1.0000   1.0000
   7.000   0.2340   0.08379   0.05840   0.0021   1.0000   1.0000
   7.500   0.2560   0.08775   0.06243   0.0012   1.0000   1.0000
   8.000   0.2778   0.09187   0.06662   0.0001   1.0000   1.0000
   8.500   0.2994   0.09620   0.07104  -0.0012   1.0000   1.0000
   9.000   0.3207   0.10067   0.07565  -0.0025   1.0000   1.0000
   9.500   0.3416   0.10531   0.08051  -0.0040   1.0000   1.0000
  10.000   0.3624   0.11011   0.08550  -0.0057   1.0000   1.0000
  10.500   0.3828   0.11505   0.09065  -0.0074   1.0000   1.0000
  11.000   0.4029   0.12012   0.09604  -0.0093   1.0000   1.0000
  11.500   0.4228   0.12533   0.10151  -0.0114   1.0000   1.0000
  12.000   0.4424   0.13067   0.10715  -0.0135   1.0000   1.0000
  12.500   0.4621   0.13614   0.11292  -0.0159   1.0000   1.0000
  13.000   0.4812   0.14172   0.11889  -0.0183   1.0000   1.0000
  13.500   0.5004   0.14743   0.12494  -0.0209   1.0000   1.0000
  14.000   0.5191   0.15324   0.13111  -0.0236   1.0000   1.0000
  14.500   0.5378   0.15921   0.13744  -0.0265   1.0000   1.0000
  15.000   0.5563   0.16530   0.14396  -0.0295   1.0000   1.0000
  15.500   0.5745   0.17155   0.15059  -0.0326   1.0000   1.0000
  16.000   0.5924   0.17793   0.15736  -0.0359   1.0000   1.0000
  16.500   0.6366   0.19132   0.17144  -0.0464   0.9594   1.0000
  17.000   0.6760   0.20277   0.18345  -0.0550   0.9000   1.0000
  17.500   0.7125   0.21606   0.19725  -0.0620   0.8430   1.0000
  18.000   0.7368   0.22321   0.20481  -0.0660   0.7926   1.0000
  18.500   0.7614   0.23200   0.21392  -0.0699   0.7443   1.0000
  19.000   0.7871   0.24289   0.22508  -0.0737   0.6989   1.0000
  19.500   0.8040   0.24793   0.23028  -0.0762   0.6608   1.0000
  20.000   0.8245   0.25612   0.23863  -0.0792   0.6250   1.0000
  20.500   0.8432   0.26341   0.24607  -0.0821   0.5944   1.0000
  21.000   0.8628   0.27161   0.25436  -0.0852   0.5678   1.0000
  21.500   0.8829   0.28024   0.26312  -0.0884   0.5417   1.0000
  22.000   0.8996   0.28677   0.26971  -0.0914   0.5215   1.0000
  22.500   0.9147   0.29142   0.27447  -0.0945   0.5022   1.0000
  23.000   0.9318   0.29768   0.28080  -0.0978   0.4837   1.0000
  23.500   0.9486   0.30425   0.28745  -0.1012   0.4666   1.0000
  24.000   0.9651   0.31049   0.29376  -0.1046   0.4510   1.0000
  24.500   0.9805   0.31625   0.29959  -0.1081   0.4368   1.0000
  25.000   0.9964   0.32255   0.30602  -0.1118   0.4235   1.0000
  25.500   1.0131   0.33015   0.31370  -0.1154   0.4110   1.0000
  26.000   1.0315   0.33994   0.32360  -0.1192   0.3976   1.0000
  26.500   1.0434   0.34162   0.32537  -0.1229   0.3856   1.0000
  27.000   1.0564   0.34508   0.32888  -0.1270   0.3754   1.0000
  27.500   1.0723   0.35305   0.33699  -0.1309   0.3648   1.0000
  28.000   1.0886   0.36145   0.34553  -0.1347   0.3526   1.0000
  28.500   1.0984   0.36104   0.34515  -0.1390   0.3441   1.0000
  29.000   1.1143   0.37039   0.35461  -0.1431   0.3350   1.0000
  29.500   1.1263   0.37288   0.35721  -0.1474   0.3249   1.0000
  30.000   1.1382   0.37754   0.36200  -0.1516   0.3176   1.0000
