  
       XFOIL         Version 6.99
  
 Calculated polar for: Falcon                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0361   0.04547   0.02269   0.0002   1.0000   1.0000
   0.500  -0.0286   0.04655   0.02343   0.0040   1.0000   1.0000
   1.000  -0.0176   0.04788   0.02443   0.0071   1.0000   1.0000
   1.500  -0.0037   0.04947   0.02570   0.0094   1.0000   1.0000
   2.000   0.0125   0.05130   0.02728   0.0110   1.0000   1.0000
   2.500   0.0304   0.05338   0.02914   0.0121   1.0000   1.0000
   3.000   0.0494   0.05572   0.03130   0.0127   1.0000   1.0000
   3.500   0.0692   0.05830   0.03375   0.0129   1.0000   1.0000
   4.000   0.0896   0.06114   0.03649   0.0127   1.0000   1.0000
   4.500   0.1101   0.06422   0.03952   0.0123   1.0000   1.0000
   5.000   0.1308   0.06755   0.04284   0.0116   1.0000   1.0000
   5.500   0.1513   0.07113   0.04644   0.0106   1.0000   1.0000
   6.000   0.1717   0.07497   0.05031   0.0095   1.0000   1.0000
   6.500   0.1918   0.07905   0.05447   0.0082   1.0000   1.0000
   7.000   0.2118   0.08336   0.05888   0.0068   1.0000   1.0000
   7.500   0.2314   0.08789   0.06354   0.0052   1.0000   1.0000
   8.000   0.2508   0.09262   0.06840   0.0034   1.0000   1.0000
   8.500   0.2701   0.09753   0.07346   0.0016   1.0000   1.0000
   9.000   0.2893   0.10259   0.07871  -0.0003   1.0000   1.0000
   9.500   0.3084   0.10779   0.08408  -0.0023   1.0000   1.0000
  10.000   0.3276   0.11310   0.08957  -0.0044   1.0000   1.0000
  10.500   0.3468   0.11850   0.09519  -0.0066   1.0000   1.0000
  11.000   0.3661   0.12399   0.10088  -0.0089   1.0000   1.0000
  11.500   0.3855   0.12955   0.10665  -0.0113   1.0000   1.0000
  12.000   0.4050   0.13518   0.11254  -0.0138   1.0000   1.0000
  12.500   0.4246   0.14088   0.11848  -0.0164   1.0000   1.0000
  13.000   0.4443   0.14666   0.12450  -0.0191   1.0000   1.0000
  13.500   0.4639   0.15252   0.13066  -0.0219   1.0000   1.0000
  14.000   0.4835   0.15849   0.13691  -0.0248   1.0000   1.0000
  14.500   0.5031   0.16457   0.14328  -0.0279   1.0000   1.0000
  15.500   0.5418   0.17715   0.15650  -0.0345   1.0000   1.0000
  16.000   0.5609   0.18369   0.16335  -0.0380   1.0000   1.0000
  16.500   0.6073   0.19887   0.17906  -0.0490   0.9673   1.0000
  17.000   0.6494   0.21158   0.19229  -0.0583   0.9115   1.0000
  17.500   0.6785   0.21933   0.20035  -0.0637   0.8600   1.0000
  18.000   0.7063   0.22783   0.20913  -0.0684   0.8088   1.0000
  18.500   0.7332   0.23722   0.21877  -0.0726   0.7615   1.0000
  19.000   0.7627   0.24955   0.23129  -0.0770   0.7167   1.0000
  19.500   0.7808   0.25448   0.23633  -0.0795   0.6813   1.0000
  20.000   0.8014   0.26157   0.24353  -0.0825   0.6474   1.0000
  20.500   0.8239   0.27073   0.25283  -0.0858   0.6170   1.0000
  21.000   0.8440   0.27803   0.26024  -0.0888   0.5882   1.0000
  21.500   0.8609   0.28330   0.26556  -0.0918   0.5653   1.0000
  22.000   0.8806   0.29079   0.27314  -0.0950   0.5409   1.0000
  22.500   0.9021   0.30107   0.28354  -0.0986   0.5202   1.0000
  23.000   0.9170   0.30468   0.28720  -0.1018   0.5017   1.0000
  23.500   0.9335   0.30990   0.29249  -0.1052   0.4836   1.0000
  24.000   0.9504   0.31585   0.29851  -0.1087   0.4663   1.0000
  24.500   0.9674   0.32201   0.30479  -0.1124   0.4500   1.0000
  25.000   0.9842   0.32838   0.31123  -0.1161   0.4348   1.0000
  25.500   1.0013   0.33537   0.31829  -0.1200   0.4206   1.0000
  26.000   1.0188   0.34327   0.32629  -0.1238   0.4063   1.0000
  26.500   1.0372   0.35301   0.33617  -0.1277   0.3920   1.0000
  27.000   1.0493   0.35334   0.33658  -0.1319   0.3797   1.0000
  27.500   1.0630   0.35703   0.34032  -0.1362   0.3690   1.0000
  28.000   1.0793   0.36513   0.34851  -0.1403   0.3579   1.0000
  28.500   1.0967   0.37524   0.35882  -0.1444   0.3452   1.0000
  29.000   1.1069   0.37336   0.35697  -0.1492   0.3361   1.0000
  29.500   1.1226   0.38223   0.36593  -0.1535   0.3270   1.0000
  30.000   1.1362   0.38662   0.37044  -0.1580   0.3159   1.0000
