  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 63-137 13.7% smoothed                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1432   0.05594   0.04327  -0.0221   1.0000   1.0000
   0.500  -0.0569   0.05531   0.04064  -0.0444   1.0000   1.0000
   1.000   0.0262   0.05773   0.04140  -0.0584   1.0000   1.0000
   1.500   0.0955   0.06065   0.04307  -0.0683   1.0000   1.0000
   2.000   0.1561   0.06385   0.04527  -0.0758   1.0000   1.0000
   2.500   0.2100   0.06728   0.04791  -0.0819   1.0000   1.0000
   3.000   0.2587   0.07093   0.05091  -0.0869   1.0000   1.0000
   3.500   0.3036   0.07481   0.05428  -0.0912   1.0000   1.0000
   4.000   0.3451   0.07891   0.05797  -0.0950   1.0000   1.0000
   4.500   0.3839   0.08325   0.06200  -0.0985   1.0000   1.0000
   5.000   0.4203   0.08782   0.06636  -0.1017   1.0000   1.0000
   5.500   0.4547   0.09262   0.07102  -0.1047   1.0000   1.0000
   6.000   0.4873   0.09766   0.07599  -0.1077   1.0000   1.0000
   6.500   0.5182   0.10294   0.08125  -0.1105   1.0000   1.0000
   7.000   0.5477   0.10844   0.08679  -0.1134   1.0000   1.0000
   7.500   0.5759   0.11416   0.09260  -0.1163   1.0000   1.0000
   8.000   0.6030   0.12010   0.09869  -0.1192   1.0000   1.0000
   8.500   0.6290   0.12624   0.10499  -0.1222   1.0000   1.0000
   9.000   0.6541   0.13259   0.11156  -0.1253   1.0000   1.0000
   9.500   0.6783   0.13913   0.11833  -0.1285   1.0000   1.0000
  10.000   0.7018   0.14586   0.12531  -0.1319   1.0000   1.0000
  10.500   0.7245   0.15278   0.13255  -0.1354   1.0000   1.0000
  11.000   0.7465   0.15990   0.13996  -0.1391   1.0000   1.0000
  11.500   0.7681   0.16721   0.14758  -0.1429   1.0000   1.0000
  12.000   0.7890   0.17472   0.15545  -0.1469   1.0000   1.0000
  12.500   0.8097   0.18242   0.16346  -0.1512   1.0000   1.0000
  13.000   0.8300   0.19028   0.17164  -0.1555   1.0000   1.0000
  13.500   0.8501   0.19826   0.17996  -0.1600   1.0000   1.0000
  14.000   0.8702   0.20635   0.18835  -0.1646   1.0000   1.0000
  14.500   0.8903   0.21451   0.19680  -0.1693   1.0000   1.0000
  15.000   0.9265   0.22533   0.20805  -0.1780   0.9753   1.0000
  15.500   0.9594   0.23275   0.21582  -0.1855   0.9390   1.0000
  16.000   0.9914   0.24239   0.22580  -0.1923   0.9067   1.0000
  16.500   1.0195   0.24957   0.23330  -0.1979   0.8749   1.0000
  17.000   1.0413   0.25323   0.23722  -0.2023   0.8490   1.0000
  17.500   1.0708   0.26414   0.24845  -0.2080   0.8218   1.0000
  18.000   1.0912   0.26763   0.25220  -0.2121   0.7984   1.0000
  18.500   1.1179   0.27719   0.26207  -0.2171   0.7734   1.0000
  19.000   1.1406   0.28455   0.26972  -0.2216   0.7524   1.0000
  19.500   1.1604   0.28884   0.27426  -0.2257   0.7319   1.0000
  20.000   1.1822   0.29525   0.28098  -0.2301   0.7095   1.0000
  20.500   1.2048   0.30347   0.28950  -0.2346   0.6895   1.0000
  21.000   1.2292   0.31479   0.30111  -0.2393   0.6692   1.0000
  21.500   1.2470   0.31893   0.30552  -0.2434   0.6512   1.0000
  22.000   1.2648   0.32329   0.31014  -0.2475   0.6326   1.0000
  22.500   1.2830   0.32834   0.31544  -0.2517   0.6136   1.0000
  23.000   1.3015   0.33427   0.32166  -0.2561   0.5949   1.0000
  23.500   1.3204   0.34084   0.32849  -0.2604   0.5756   1.0000
  24.000   1.3391   0.34800   0.33590  -0.2647   0.5571   1.0000
  24.500   1.3582   0.35613   0.34428  -0.2691   0.5384   1.0000
  25.000   1.3769   0.36462   0.35304  -0.2734   0.5203   1.0000
  25.500   1.3958   0.37429   0.36293  -0.2777   0.5024   1.0000
  26.000   1.4119   0.38014   0.36893  -0.2821   0.4856   1.0000
  26.500   1.4276   0.38571   0.37471  -0.2864   0.4690   1.0000
  27.000   1.4434   0.39205   0.38122  -0.2908   0.4525   1.0000
  28.000   1.4722   0.40093   0.39045  -0.2997   0.4211   1.0000
  28.500   1.4847   0.40295   0.39262  -0.3043   0.4067   1.0000
  29.000   1.4973   0.40608   0.39587  -0.3091   0.3933   1.0000
  29.500   1.5105   0.41106   0.40098  -0.3137   0.3803   1.0000
  30.000   1.5248   0.41869   0.40874  -0.3182   0.3677   1.0000
