  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 66-H-60                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0808   0.03175   0.00862   0.0035   1.0000   1.0000
   0.500   0.1233   0.03201   0.00884   0.0038   1.0000   1.0000
   1.000   0.1563   0.03267   0.00968   0.0042   1.0000   1.0000
   1.500   0.1685   0.03410   0.01112   0.0060   1.0000   1.0000
   2.000   0.1759   0.03614   0.01291   0.0075   1.0000   1.0000
   2.500   0.1878   0.03840   0.01494   0.0079   1.0000   1.0000
   3.000   0.2034   0.04086   0.01722   0.0076   1.0000   1.0000
   3.500   0.2214   0.04350   0.01978   0.0068   1.0000   1.0000
   4.000   0.2409   0.04636   0.02261   0.0058   1.0000   1.0000
   4.500   0.2616   0.04942   0.02582   0.0046   1.0000   1.0000
   5.000   0.2826   0.05270   0.02920   0.0032   1.0000   1.0000
   5.500   0.3040   0.05623   0.03287   0.0016   1.0000   1.0000
   6.000   0.3254   0.05999   0.03684  -0.0001   1.0000   1.0000
   6.500   0.3467   0.06401   0.04113  -0.0018   1.0000   1.0000
   7.000   0.3676   0.06831   0.04575  -0.0037   1.0000   1.0000
   7.500   0.3880   0.07289   0.05095  -0.0057   1.0000   1.0000
   8.000   0.4079   0.07779   0.05625  -0.0079   1.0000   1.0000
   8.500   0.4271   0.08304   0.06196  -0.0102   1.0000   1.0000
   9.000   0.4455   0.08867   0.06807  -0.0128   1.0000   1.0000
   9.500   0.4629   0.09470   0.07461  -0.0154   1.0000   1.0000
  10.000   0.4792   0.10121   0.08164  -0.0184   1.0000   1.0000
  10.500   0.4945   0.10820   0.08910  -0.0216   1.0000   1.0000
  11.000   0.5088   0.11571   0.09705  -0.0250   1.0000   1.0000
  11.500   0.5227   0.12364   0.10567  -0.0286   1.0000   1.0000
  12.000   0.5368   0.13178   0.11408  -0.0323   1.0000   1.0000
  12.500   0.5516   0.13990   0.12240  -0.0360   1.0000   1.0000
  13.000   0.5673   0.14805   0.13070  -0.0396   1.0000   1.0000
  13.500   0.5838   0.15605   0.13882  -0.0432   1.0000   1.0000
  14.000   0.6010   0.16397   0.14684  -0.0468   1.0000   1.0000
  14.500   0.6570   0.18152   0.16474  -0.0605   0.9404   1.0000
  15.000   0.7086   0.19610   0.17961  -0.0698   0.8300   1.0000
  15.500   0.7415   0.20807   0.19171  -0.0743   0.7696   1.0000
  16.000   0.7646   0.21647   0.20019  -0.0770   0.7228   1.0000
  16.500   0.7931   0.22819   0.21226  -0.0801   0.6746   1.0000
  17.000   0.8133   0.23576   0.21985  -0.0821   0.6323   1.0000
  17.500   0.8363   0.24540   0.22955  -0.0845   0.5934   1.0000
  18.000   0.8533   0.25170   0.23586  -0.0867   0.5645   1.0000
  18.500   0.8746   0.26128   0.24549  -0.0896   0.5398   1.0000
  19.000   0.8897   0.26626   0.25050  -0.0922   0.5180   1.0000
  19.500   0.9092   0.27499   0.25925  -0.0952   0.4984   1.0000
  20.000   0.9251   0.28053   0.26484  -0.0981   0.4791   1.0000
  20.500   0.9471   0.29200   0.27637  -0.1013   0.4599   1.0000
  21.000   0.9606   0.29532   0.27970  -0.1045   0.4433   1.0000
  21.500   0.9770   0.30137   0.28579  -0.1077   0.4253   1.0000
  22.000   0.9975   0.31224   0.29701  -0.1109   0.4067   1.0000
  22.500   1.0125   0.31741   0.30219  -0.1144   0.3916   1.0000
  23.000   1.0277   0.32264   0.30746  -0.1180   0.3772   1.0000
  23.500   1.0437   0.32890   0.31378  -0.1217   0.3636   1.0000
  24.000   1.0600   0.33614   0.32109  -0.1255   0.3511   1.0000
  24.500   1.0771   0.34467   0.32969  -0.1293   0.3389   1.0000
  25.000   1.0915   0.34922   0.33433  -0.1333   0.3274   1.0000
  25.500   1.1045   0.35219   0.33734  -0.1376   0.3176   1.0000
  26.000   1.1192   0.35818   0.34354  -0.1418   0.3083   1.0000
  26.500   1.1356   0.36739   0.35285  -0.1458   0.2982   1.0000
  27.000   1.1494   0.37206   0.35763  -0.1501   0.2878   1.0000
  27.500   1.1618   0.37481   0.36043  -0.1548   0.2799   1.0000
  28.000   1.1768   0.38352   0.36924  -0.1589   0.2711   1.0000
  28.500   1.1904   0.38893   0.37478  -0.1633   0.2610   1.0000
  29.000   1.2017   0.39090   0.37680  -0.1682   0.2538   1.0000
  29.500   1.2163   0.40079   0.38679  -0.1723   0.2451   1.0000
  30.000   1.2272   0.40192   0.38813  -0.1773   0.2367   1.0000
