  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 68-H-120                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0211   0.04253   0.02027  -0.0088   1.0000   1.0000
   0.500   0.0048   0.04347   0.02074  -0.0066   1.0000   1.0000
   1.000   0.0299   0.04470   0.02161  -0.0047   1.0000   1.0000
   1.500   0.0533   0.04627   0.02286  -0.0032   1.0000   1.0000
   2.000   0.0747   0.04822   0.02461  -0.0022   1.0000   1.0000
   2.500   0.0940   0.05061   0.02683  -0.0016   1.0000   1.0000
   3.000   0.1116   0.05343   0.02954  -0.0016   1.0000   1.0000
   3.500   0.1284   0.05663   0.03265  -0.0020   1.0000   1.0000
   4.000   0.1450   0.06017   0.03614  -0.0029   1.0000   1.0000
   4.500   0.1616   0.06399   0.03991  -0.0041   1.0000   1.0000
   5.000   0.1787   0.06806   0.04396  -0.0054   1.0000   1.0000
   5.500   0.1962   0.07234   0.04822  -0.0070   1.0000   1.0000
   6.000   0.2142   0.07680   0.05271  -0.0086   1.0000   1.0000
   6.500   0.2328   0.08142   0.05734  -0.0102   1.0000   1.0000
   7.000   0.2517   0.08619   0.06214  -0.0120   1.0000   1.0000
   7.500   0.2710   0.09107   0.06710  -0.0137   1.0000   1.0000
   8.000   0.2906   0.09606   0.07215  -0.0155   1.0000   1.0000
   8.500   0.3104   0.10114   0.07731  -0.0173   1.0000   1.0000
   9.000   0.3303   0.10631   0.08257  -0.0192   1.0000   1.0000
   9.500   0.3505   0.11155   0.08799  -0.0211   1.0000   1.0000
  10.000   0.3707   0.11687   0.09345  -0.0231   1.0000   1.0000
  10.500   0.3910   0.12223   0.09896  -0.0251   1.0000   1.0000
  11.000   0.4114   0.12765   0.10463  -0.0271   1.0000   1.0000
  11.500   0.4318   0.13311   0.11030  -0.0293   1.0000   1.0000
  12.000   0.4523   0.13864   0.11605  -0.0315   1.0000   1.0000
  12.500   0.4728   0.14421   0.12186  -0.0338   1.0000   1.0000
  13.000   0.4934   0.14982   0.12782  -0.0362   1.0000   1.0000
  13.500   0.5139   0.15548   0.13376  -0.0387   1.0000   1.0000
  14.000   0.5343   0.16121   0.13980  -0.0413   1.0000   1.0000
  14.500   0.5547   0.16702   0.14595  -0.0439   1.0000   1.0000
  15.500   0.5950   0.17888   0.15863  -0.0495   1.0000   1.0000
  16.000   0.6149   0.18498   0.16514  -0.0525   1.0000   1.0000
  16.500   0.6461   0.19468   0.17539  -0.0587   0.9864   1.0000
  17.000   0.6834   0.20550   0.18685  -0.0667   0.9505   1.0000
  17.500   0.7173   0.21582   0.19789  -0.0735   0.9073   1.0000
  18.000   0.7488   0.22694   0.20955  -0.0797   0.8602   1.0000
  18.500   0.7777   0.23738   0.22037  -0.0849   0.8039   1.0000
  19.000   0.8021   0.24523   0.22840  -0.0886   0.7432   1.0000
  19.500   0.8273   0.25460   0.23786  -0.0920   0.6856   1.0000
  20.000   0.8548   0.26679   0.25011  -0.0953   0.6361   1.0000
  20.500   0.8725   0.27175   0.25509  -0.0976   0.5985   1.0000
  21.000   0.8942   0.28085   0.26421  -0.1005   0.5640   1.0000
  21.500   0.9128   0.28766   0.27116  -0.1031   0.5348   1.0000
  22.000   0.9346   0.29800   0.28156  -0.1062   0.5086   1.0000
  22.500   0.9478   0.30018   0.28373  -0.1089   0.4866   1.0000
  23.000   0.9680   0.30980   0.29339  -0.1120   0.4645   1.0000
  23.500   0.9824   0.31336   0.29697  -0.1151   0.4452   1.0000
  24.000   0.9992   0.31998   0.30364  -0.1183   0.4279   1.0000
  24.500   1.0164   0.32731   0.31101  -0.1217   0.4115   1.0000
  25.000   1.0328   0.33416   0.31791  -0.1251   0.3964   1.0000
  25.500   1.0486   0.34041   0.32430  -0.1286   0.3819   1.0000
  26.000   1.0630   0.34535   0.32929  -0.1323   0.3685   1.0000
  26.500   1.0768   0.34968   0.33365  -0.1361   0.3568   1.0000
  27.000   1.0913   0.35545   0.33946  -0.1400   0.3462   1.0000
  27.500   1.1078   0.36467   0.34875  -0.1437   0.3357   1.0000
  28.000   1.1213   0.36894   0.35311  -0.1478   0.3247   1.0000
  28.500   1.1329   0.37142   0.35561  -0.1520   0.3163   1.0000
  29.000   1.1484   0.38046   0.36482  -0.1559   0.3069   1.0000
  29.500   1.1607   0.38407   0.36853  -0.1601   0.2967   1.0000
  30.000   1.1722   0.38738   0.37187  -0.1646   0.2897   1.0000
