  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 69-PR-281                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0396   0.18812   0.17548  -0.0034   1.0000   1.0000
   0.500  -0.0439   0.18754   0.17493  -0.0031   1.0000   1.0000
   1.000  -0.0481   0.18689   0.17430  -0.0027   1.0000   1.0000
   1.500  -0.0524   0.18617   0.17360  -0.0024   1.0000   1.0000
   2.000  -0.0567   0.18534   0.17277  -0.0020   1.0000   1.0000
   2.500  -0.0611   0.18444   0.17188  -0.0016   1.0000   1.0000
   3.000  -0.0656   0.18340   0.17084  -0.0012   1.0000   1.0000
   3.500  -0.0704   0.18226   0.16968  -0.0008   1.0000   1.0000
   4.000  -0.0755   0.18094   0.16836  -0.0003   1.0000   1.0000
   4.500  -0.0810   0.17945   0.16685   0.0002   1.0000   1.0000
   5.000  -0.0870   0.17770   0.16508   0.0007   1.0000   1.0000
   5.500  -0.0936   0.17567   0.16302   0.0013   1.0000   1.0000
   6.000  -0.1011   0.17323   0.16054   0.0021   1.0000   1.0000
   6.500  -0.1096   0.17030   0.15757   0.0029   1.0000   1.0000
   7.000  -0.1195   0.16669   0.15393   0.0039   1.0000   1.0000
   7.500  -0.1312   0.16214   0.14933   0.0052   1.0000   1.0000
   8.000  -0.1450   0.15633   0.14347   0.0067   1.0000   1.0000
   8.500  -0.1612   0.14878   0.13587   0.0084   1.0000   1.0000
   9.000  -0.1775   0.13939   0.12638   0.0098   1.0000   1.0000
   9.500  -0.1662   0.13363   0.12034   0.0047   1.0000   1.0000
  10.000  -0.1122   0.13592   0.12212  -0.0098   1.0000   1.0000
  10.500  -0.0423   0.14234   0.12787  -0.0270   1.0000   1.0000
  11.000   0.0450   0.15567   0.14033  -0.0467   0.9826   1.0000
  11.500   0.1163   0.16872   0.15250  -0.0609   0.9625   1.0000
  12.000   0.1691   0.17652   0.15956  -0.0700   0.9431   1.0000
  12.500   0.2138   0.18243   0.16486  -0.0769   0.9233   1.0000
  13.000   0.2549   0.18836   0.17025  -0.0826   0.9036   1.0000
  13.500   0.2941   0.19492   0.17633  -0.0878   0.8851   1.0000
  14.000   0.3335   0.20310   0.18408  -0.0928   0.8665   1.0000
  14.500   0.3694   0.20919   0.18981  -0.0971   0.8469   1.0000
  15.000   0.3961   0.20996   0.19026  -0.0999   0.8310   1.0000
  15.500   0.4320   0.21912   0.19910  -0.1041   0.8159   1.0000
  16.000   0.4623   0.22286   0.20259  -0.1074   0.7971   1.0000
  16.500   0.4891   0.22645   0.20592  -0.1103   0.7844   1.0000
  17.000   0.5247   0.23626   0.21552  -0.1144   0.7662   1.0000
  17.500   0.5452   0.23542   0.21447  -0.1165   0.7543   1.0000
  18.000   0.5818   0.24782   0.22672  -0.1207   0.7371   1.0000
  18.500   0.5990   0.24472   0.22344  -0.1225   0.7262   1.0000
  19.000   0.6327   0.25558   0.23417  -0.1263   0.7095   1.0000
  19.500   0.6510   0.25466   0.23312  -0.1285   0.6997   1.0000
  20.000   0.6793   0.26135   0.23972  -0.1317   0.6836   1.0000
  20.500   0.7018   0.26576   0.24401  -0.1346   0.6744   1.0000
  21.000   0.7233   0.26699   0.24519  -0.1372   0.6595   1.0000
  21.500   0.7535   0.28006   0.25818  -0.1408   0.6488   1.0000
  22.000   0.7674   0.27450   0.25259  -0.1429   0.6367   1.0000
  22.500   0.8015   0.29236   0.27045  -0.1469   0.6233   1.0000
  23.000   0.8111   0.28357   0.26159  -0.1488   0.6149   1.0000
  23.500   0.8360   0.29078   0.26883  -0.1520   0.6009   1.0000
  24.000   0.8556   0.29545   0.27346  -0.1550   0.5931   1.0000
  24.500   0.8721   0.29460   0.27263  -0.1577   0.5805   1.0000
  25.500   0.9101   0.30249   0.28057  -0.1638   0.5613   1.0000
  26.000   0.9327   0.30996   0.28812  -0.1670   0.5485   1.0000
  26.500   0.9509   0.31574   0.29391  -0.1702   0.5413   1.0000
  27.000   0.9640   0.31290   0.29114  -0.1730   0.5303   1.0000
  27.500   0.9918   0.33142   0.30978  -0.1766   0.5192   1.0000
  28.000   0.9986   0.32172   0.30009  -0.1794   0.5127   1.0000
  28.500   1.0158   0.32520   0.30368  -0.1826   0.5011   1.0000
  29.000   1.0368   0.33758   0.31614  -0.1860   0.4934   1.0000
  29.500   1.0447   0.33004   0.30868  -0.1891   0.4851   1.0000
  30.000   1.0638   0.33811   0.31689  -0.1924   0.4742   1.0000
