  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 72-LS-160                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.4172   0.10210   0.09150   0.0090   1.0000   0.5710
   0.500  -0.3423   0.09659   0.08535  -0.0083   1.0000   0.5606
   1.000  -0.2545   0.09254   0.08049  -0.0252   1.0000   0.5715
   1.500  -0.1724   0.08969   0.07698  -0.0371   1.0000   0.6114
   2.000  -0.1074   0.08742   0.07453  -0.0422   1.0000   0.6906
   2.500  -0.0696   0.08358   0.07170  -0.0398   1.0000   0.8759
   3.000   0.1085   0.08824   0.07088  -0.0775   1.0000   1.0000
   3.500   0.1527   0.09143   0.07190  -0.0785   1.0000   1.0000
   4.000   0.1910   0.09462   0.07368  -0.0791   1.0000   1.0000
   4.500   0.2272   0.09791   0.07591  -0.0796   1.0000   1.0000
   5.000   0.2621   0.10134   0.07847  -0.0802   1.0000   1.0000
   5.500   0.2959   0.10489   0.08131  -0.0809   1.0000   1.0000
   6.000   0.3287   0.10857   0.08441  -0.0816   1.0000   1.0000
   6.500   0.3606   0.11237   0.08775  -0.0823   1.0000   1.0000
   7.000   0.3917   0.11632   0.09133  -0.0832   1.0000   1.0000
   7.500   0.4219   0.12038   0.09509  -0.0841   1.0000   1.0000
   8.000   0.4513   0.12458   0.09909  -0.0851   1.0000   1.0000
   8.500   0.4799   0.12890   0.10326  -0.0862   1.0000   1.0000
   9.000   0.5079   0.13335   0.10764  -0.0874   1.0000   1.0000
   9.500   0.5351   0.13793   0.11220  -0.0888   1.0000   1.0000
  10.000   0.5615   0.14263   0.11693  -0.0902   1.0000   1.0000
  10.500   0.5874   0.14745   0.12185  -0.0918   1.0000   1.0000
  11.000   0.6125   0.15241   0.12694  -0.0935   1.0000   1.0000
  11.500   0.6371   0.15748   0.13218  -0.0953   1.0000   1.0000
  12.000   0.6610   0.16270   0.13761  -0.0974   1.0000   1.0000
  12.500   0.6844   0.16805   0.14323  -0.0995   1.0000   1.0000
  13.000   0.7072   0.17355   0.14899  -0.1019   1.0000   1.0000
  13.500   0.7294   0.17917   0.15491  -0.1044   1.0000   1.0000
  14.000   0.7510   0.18492   0.16104  -0.1070   1.0000   1.0000
  14.500   0.7720   0.19082   0.16728  -0.1098   1.0000   1.0000
  15.000   0.7926   0.19688   0.17370  -0.1128   1.0000   1.0000
  15.500   0.8128   0.20312   0.18039  -0.1160   1.0000   1.0000
  16.000   0.8447   0.21264   0.19039  -0.1224   0.9832   1.0000
  16.500   0.8768   0.22028   0.19859  -0.1289   0.9528   1.0000
  17.000   0.9079   0.22961   0.20842  -0.1351   0.9218   1.0000
  17.500   0.9306   0.23313   0.21247  -0.1395   0.8920   1.0000
  18.000   0.9554   0.24080   0.22060  -0.1444   0.8652   1.0000
  18.500   0.9778   0.24635   0.22666  -0.1488   0.8368   1.0000
  19.000   1.0035   0.25700   0.23779  -0.1540   0.8111   1.0000
  20.000   1.0407   0.26584   0.24750  -0.1620   0.7628   1.0000
  20.500   1.0633   0.27535   0.25747  -0.1668   0.7394   1.0000
  21.500   1.1026   0.29112   0.27400  -0.1757   0.6990   1.0000
  22.000   1.1197   0.29663   0.27985  -0.1799   0.6805   1.0000
  22.500   1.1374   0.30288   0.28644  -0.1841   0.6627   1.0000
  23.000   1.1556   0.31005   0.29394  -0.1884   0.6458   1.0000
  24.000   1.1885   0.32015   0.30467  -0.1968   0.6148   1.0000
  24.500   1.2029   0.32342   0.30821  -0.2009   0.6010   1.0000
  25.000   1.2180   0.32783   0.31291  -0.2052   0.5880   1.0000
  25.500   1.2341   0.33341   0.31877  -0.2095   0.5751   1.0000
  26.000   1.2502   0.33979   0.32542  -0.2138   0.5623   1.0000
  26.500   1.2675   0.34726   0.33321  -0.2184   0.5492   1.0000
  27.000   1.2843   0.35516   0.34140  -0.2227   0.5356   1.0000
  27.500   1.3002   0.36207   0.34863  -0.2270   0.5219   1.0000
  28.000   1.3127   0.36334   0.35016  -0.2314   0.5092   1.0000
  28.500   1.3255   0.36648   0.35354  -0.2357   0.4968   1.0000
  29.000   1.3392   0.37121   0.35851  -0.2401   0.4842   1.0000
  29.500   1.3534   0.37685   0.36441  -0.2445   0.4713   1.0000
  30.000   1.3678   0.38318   0.37098  -0.2489   0.4579   1.0000
