  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-170 A                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2195   0.06502   0.04800  -0.0256   1.0000   1.0000
   0.500  -0.1851   0.06600   0.04710  -0.0243   1.0000   1.0000
   1.000  -0.1512   0.06718   0.04676  -0.0233   1.0000   1.0000
   1.500  -0.1174   0.06857   0.04687  -0.0225   1.0000   1.0000
   2.000  -0.0834   0.07015   0.04738  -0.0220   1.0000   1.0000
   2.500  -0.0495   0.07190   0.04821  -0.0216   1.0000   1.0000
   3.000  -0.0157   0.07384   0.04932  -0.0213   1.0000   1.0000
   3.500   0.0180   0.07594   0.05074  -0.0212   1.0000   1.0000
   4.000   0.0513   0.07820   0.05241  -0.0212   1.0000   1.0000
   4.500   0.0842   0.08062   0.05431  -0.0213   1.0000   1.0000
   5.000   0.1166   0.08320   0.05649  -0.0215   1.0000   1.0000
   5.500   0.1485   0.08594   0.05892  -0.0218   1.0000   1.0000
   6.000   0.1796   0.08884   0.06158  -0.0222   1.0000   1.0000
   6.500   0.2103   0.09189   0.06446  -0.0227   1.0000   1.0000
   7.000   0.2403   0.09511   0.06758  -0.0233   1.0000   1.0000
   7.500   0.2695   0.09849   0.07094  -0.0240   1.0000   1.0000
   8.000   0.2979   0.10205   0.07453  -0.0249   1.0000   1.0000
   8.500   0.3256   0.10576   0.07832  -0.0258   1.0000   1.0000
   9.000   0.3524   0.10964   0.08236  -0.0269   1.0000   1.0000
   9.500   0.3785   0.11369   0.08661  -0.0281   1.0000   1.0000
  10.000   0.4037   0.11793   0.09113  -0.0294   1.0000   1.0000
  10.500   0.4283   0.12232   0.09579  -0.0309   1.0000   1.0000
  11.000   0.4521   0.12688   0.10066  -0.0326   1.0000   1.0000
  11.500   0.4750   0.13163   0.10575  -0.0344   1.0000   1.0000
  12.000   0.4973   0.13654   0.11111  -0.0364   1.0000   1.0000
  12.500   0.5189   0.14163   0.11661  -0.0385   1.0000   1.0000
  13.000   0.5399   0.14690   0.12236  -0.0409   1.0000   1.0000
  13.500   0.5600   0.15236   0.12829  -0.0434   1.0000   1.0000
  14.000   0.5798   0.15798   0.13438  -0.0462   1.0000   1.0000
  14.500   0.5989   0.16380   0.14074  -0.0491   1.0000   1.0000
  15.000   0.6175   0.16982   0.14727  -0.0523   1.0000   1.0000
  15.500   0.6357   0.17603   0.15398  -0.0557   1.0000   1.0000
  16.000   0.6533   0.18245   0.16095  -0.0592   1.0000   1.0000
  16.500   0.6865   0.19343   0.17261  -0.0672   0.9784   1.0000
  17.000   0.7218   0.20454   0.18444  -0.0757   0.9362   1.0000
  17.500   0.7491   0.21334   0.19382  -0.0820   0.8991   1.0000
  18.000   0.7739   0.22140   0.20241  -0.0875   0.8621   1.0000
  18.500   0.7998   0.23204   0.21358  -0.0932   0.8274   1.0000
  19.000   0.8216   0.24019   0.22216  -0.0980   0.7963   1.0000
  19.500   0.8391   0.24534   0.22770  -0.1019   0.7695   1.0000
  20.000   0.8595   0.25373   0.23643  -0.1064   0.7450   1.0000
  20.500   0.8815   0.26324   0.24631  -0.1111   0.7192   1.0000
  21.000   0.8981   0.26833   0.25163  -0.1149   0.6987   1.0000
  21.500   0.9166   0.27510   0.25865  -0.1190   0.6783   1.0000
  22.000   0.9401   0.28730   0.27111  -0.1237   0.6577   1.0000
  22.500   0.9556   0.29151   0.27550  -0.1274   0.6412   1.0000
  23.000   0.9722   0.29646   0.28067  -0.1313   0.6237   1.0000
  23.500   0.9900   0.30279   0.28718  -0.1353   0.6072   1.0000
  24.000   1.0082   0.30968   0.29425  -0.1394   0.5898   1.0000
  24.500   1.0265   0.31690   0.30163  -0.1435   0.5736   1.0000
  25.000   1.0453   0.32493   0.30980  -0.1477   0.5571   1.0000
  25.500   1.0638   0.33307   0.31810  -0.1518   0.5412   1.0000
  26.000   1.0816   0.34085   0.32607  -0.1560   0.5259   1.0000
  26.500   1.0991   0.34844   0.33376  -0.1601   0.5106   1.0000
  27.000   1.1153   0.35432   0.33975  -0.1642   0.4958   1.0000
  27.500   1.1312   0.36012   0.34566  -0.1683   0.4810   1.0000
  28.000   1.1472   0.36648   0.35214  -0.1725   0.4664   1.0000
  28.500   1.1632   0.37319   0.35897  -0.1766   0.4519   1.0000
  29.000   1.1782   0.37872   0.36469  -0.1809   0.4375   1.0000
  29.500   1.1915   0.38145   0.36750  -0.1852   0.4240   1.0000
  30.000   1.2045   0.38469   0.37083  -0.1896   0.4109   1.0000
