  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-CL1-152                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.4159   0.09417   0.08419   0.0378   1.0000   0.6839
   0.500  -0.3818   0.09013   0.07981   0.0275   1.0000   0.6761
   1.000  -0.3328   0.08663   0.07596   0.0172   1.0000   0.6823
   1.500  -0.2744   0.08408   0.07297   0.0063   1.0000   0.7018
   2.000  -0.2150   0.08221   0.07075  -0.0029   1.0000   0.7397
   2.500  -0.1600   0.08053   0.06897  -0.0093   1.0000   0.8079
   3.000  -0.0948   0.07732   0.06623  -0.0210   1.0000   1.0000
   3.500   0.0990   0.08606   0.07125  -0.0703   1.0000   1.0000
   4.000   0.1597   0.09104   0.07384  -0.0786   1.0000   1.0000
   4.500   0.1977   0.09524   0.07670  -0.0811   1.0000   1.0000
   5.000   0.2315   0.09944   0.07993  -0.0829   1.0000   1.0000
   5.500   0.2635   0.10372   0.08342  -0.0844   1.0000   1.0000
   6.000   0.2944   0.10808   0.08713  -0.0858   1.0000   1.0000
   6.500   0.3243   0.11254   0.09104  -0.0872   1.0000   1.0000
   7.000   0.3536   0.11708   0.09513  -0.0886   1.0000   1.0000
   7.500   0.3823   0.12172   0.09937  -0.0900   1.0000   1.0000
   8.000   0.4104   0.12643   0.10375  -0.0915   1.0000   1.0000
   8.500   0.4381   0.13122   0.10826  -0.0930   1.0000   1.0000
   9.000   0.4653   0.13608   0.11290  -0.0945   1.0000   1.0000
   9.500   0.4920   0.14101   0.11766  -0.0961   1.0000   1.0000
  10.000   0.5183   0.14601   0.12253  -0.0978   1.0000   1.0000
  10.500   0.5442   0.15109   0.12751  -0.0996   1.0000   1.0000
  11.000   0.5697   0.15624   0.13260  -0.1015   1.0000   1.0000
  11.500   0.5948   0.16146   0.13781  -0.1034   1.0000   1.0000
  12.000   0.6195   0.16675   0.14311  -0.1054   1.0000   1.0000
  12.500   0.6438   0.17213   0.14853  -0.1076   1.0000   1.0000
  13.000   0.6677   0.17757   0.15405  -0.1098   1.0000   1.0000
  13.500   0.6911   0.18309   0.15968  -0.1121   1.0000   1.0000
  14.000   0.7142   0.18871   0.16541  -0.1146   1.0000   1.0000
  14.500   0.7368   0.19441   0.17126  -0.1171   1.0000   1.0000
  15.000   0.7591   0.20020   0.17723  -0.1197   1.0000   1.0000
  15.500   0.7809   0.20608   0.18331  -0.1225   1.0000   1.0000
  16.000   0.8204   0.21575   0.19331  -0.1299   0.9730   1.0000
  16.500   0.8573   0.22555   0.20339  -0.1363   0.9403   1.0000
  17.000   0.8901   0.23410   0.21227  -0.1417   0.9067   1.0000
  17.500   0.9138   0.23659   0.21505  -0.1451   0.8757   1.0000
  18.000   0.9414   0.24462   0.22340  -0.1494   0.8468   1.0000
  18.500   0.9654   0.24986   0.22896  -0.1529   0.8166   1.0000
  19.000   0.9927   0.26025   0.23965  -0.1571   0.7895   1.0000
  19.500   1.0107   0.26223   0.24195  -0.1598   0.7629   1.0000
  20.000   1.0340   0.26994   0.24999  -0.1635   0.7354   1.0000
  20.500   1.0589   0.28120   0.26159  -0.1674   0.7102   1.0000
  21.000   1.0746   0.28327   0.26394  -0.1702   0.6871   1.0000
  21.500   1.0920   0.28764   0.26859  -0.1734   0.6632   1.0000
  22.000   1.1106   0.29371   0.27498  -0.1768   0.6394   1.0000
  22.500   1.1295   0.30077   0.28233  -0.1803   0.6166   1.0000
  23.000   1.1478   0.30788   0.28972  -0.1839   0.5952   1.0000
  23.500   1.1649   0.31429   0.29641  -0.1874   0.5752   1.0000
  24.000   1.1809   0.31989   0.30226  -0.1910   0.5561   1.0000
  24.500   1.1961   0.32489   0.30751  -0.1946   0.5381   1.0000
  25.000   1.2108   0.32994   0.31277  -0.1982   0.5216   1.0000
  25.500   1.2262   0.33615   0.31919  -0.2021   0.5060   1.0000
  26.000   1.2429   0.34450   0.32778  -0.2059   0.4905   1.0000
  26.500   1.2615   0.35633   0.33985  -0.2097   0.4742   1.0000
  27.000   1.2714   0.35446   0.33816  -0.2136   0.4603   1.0000
  27.500   1.2838   0.35807   0.34195  -0.2176   0.4487   1.0000
  28.000   1.3008   0.36923   0.35331  -0.2215   0.4360   1.0000
  28.500   1.3126   0.37099   0.35526  -0.2256   0.4231   1.0000
  29.000   1.3239   0.37423   0.35867  -0.2298   0.4137   1.0000
  30.000   1.3485   0.38339   0.36817  -0.2382   0.3924   1.0000
