  
       XFOIL         Version 6.99
  
 Calculated polar for: 74-130 WP2 MOD                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1131   0.04983   0.02827  -0.0202   1.0000   1.0000
   0.500  -0.0809   0.05061   0.02788  -0.0186   1.0000   1.0000
   1.000  -0.0479   0.05156   0.02775  -0.0174   1.0000   1.0000
   1.500  -0.0142   0.05269   0.02803  -0.0164   1.0000   1.0000
   2.000   0.0197   0.05398   0.02861  -0.0156   1.0000   1.0000
   2.500   0.0539   0.05543   0.02941  -0.0150   1.0000   1.0000
   3.000   0.0880   0.05704   0.03055  -0.0146   1.0000   1.0000
   3.500   0.1220   0.05881   0.03194  -0.0144   1.0000   1.0000
   4.000   0.1558   0.06075   0.03362  -0.0142   1.0000   1.0000
   4.500   0.1891   0.06285   0.03558  -0.0143   1.0000   1.0000
   5.000   0.2218   0.06513   0.03780  -0.0144   1.0000   1.0000
   5.500   0.2539   0.06760   0.04031  -0.0147   1.0000   1.0000
   6.000   0.2853   0.07028   0.04315  -0.0151   1.0000   1.0000
   6.500   0.3158   0.07318   0.04625  -0.0156   1.0000   1.0000
   7.000   0.3452   0.07632   0.04968  -0.0163   1.0000   1.0000
   7.500   0.3735   0.07974   0.05354  -0.0172   1.0000   1.0000
   8.000   0.4005   0.08344   0.05767  -0.0183   1.0000   1.0000
   8.500   0.4260   0.08747   0.06219  -0.0195   1.0000   1.0000
   9.000   0.4498   0.09184   0.06723  -0.0210   1.0000   1.0000
   9.500   0.4721   0.09659   0.07259  -0.0227   1.0000   1.0000
  10.000   0.4927   0.10175   0.07838  -0.0247   1.0000   1.0000
  10.500   0.5116   0.10733   0.08462  -0.0271   1.0000   1.0000
  11.000   0.5288   0.11335   0.09143  -0.0298   1.0000   1.0000
  11.500   0.5445   0.11980   0.09856  -0.0328   1.0000   1.0000
  12.000   0.5591   0.12666   0.10608  -0.0362   1.0000   1.0000
  12.500   0.5727   0.13390   0.11396  -0.0399   1.0000   1.0000
  13.000   0.5859   0.14149   0.12214  -0.0440   1.0000   1.0000
  13.500   0.5992   0.14938   0.13068  -0.0484   1.0000   1.0000
  14.000   0.6128   0.15746   0.13925  -0.0530   1.0000   1.0000
  14.500   0.6271   0.16570   0.14792  -0.0577   1.0000   1.0000
  15.000   0.6569   0.17899   0.16172  -0.0665   0.9841   1.0000
  15.500   0.6978   0.19146   0.17472  -0.0775   0.9214   1.0000
  16.000   0.7320   0.20455   0.18819  -0.0854   0.8742   1.0000
  16.500   0.7541   0.21135   0.19526  -0.0900   0.8382   1.0000
  17.000   0.7783   0.22049   0.20474  -0.0949   0.8093   1.0000
  17.500   0.7998   0.22826   0.21270  -0.0992   0.7845   1.0000
  18.000   0.8225   0.23649   0.22110  -0.1035   0.7590   1.0000
  18.500   0.8444   0.24492   0.22968  -0.1079   0.7403   1.0000
  19.000   0.8661   0.25321   0.23809  -0.1121   0.7207   1.0000
  19.500   0.8910   0.26344   0.24849  -0.1165   0.6963   1.0000
  20.000   0.9075   0.26724   0.25235  -0.1199   0.6783   1.0000
  20.500   0.9284   0.27479   0.26002  -0.1239   0.6601   1.0000
  21.000   0.9504   0.28372   0.26916  -0.1281   0.6409   1.0000
  21.500   0.9695   0.28931   0.27484  -0.1317   0.6188   1.0000
  22.000   0.9905   0.29757   0.28319  -0.1357   0.5991   1.0000
  22.500   1.0082   0.30256   0.28825  -0.1395   0.5810   1.0000
  23.000   1.0287   0.31070   0.29650  -0.1435   0.5622   1.0000
  23.500   1.0489   0.31917   0.30504  -0.1475   0.5439   1.0000
  24.000   1.0648   0.32263   0.30857  -0.1512   0.5249   1.0000
  24.500   1.0855   0.33176   0.31793  -0.1552   0.5049   1.0000
  25.000   1.1038   0.33931   0.32555  -0.1592   0.4883   1.0000
  25.500   1.1191   0.34325   0.32956  -0.1632   0.4726   1.0000
  26.000   1.1351   0.34791   0.33430  -0.1672   0.4561   1.0000
  26.500   1.1518   0.35397   0.34046  -0.1713   0.4389   1.0000
  27.000   1.1700   0.36251   0.34910  -0.1753   0.4217   1.0000
  27.500   1.1873   0.37104   0.35770  -0.1794   0.4059   1.0000
  28.000   1.2013   0.37495   0.36169  -0.1836   0.3913   1.0000
  28.500   1.2157   0.38000   0.36692  -0.1878   0.3772   1.0000
  29.000   1.2307   0.38649   0.37351  -0.1921   0.3637   1.0000
  29.500   1.2457   0.39357   0.38070  -0.1964   0.3503   1.0000
  30.000   1.2588   0.39774   0.38499  -0.2008   0.3373   1.0000
