  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 74-Cl5-140 MOD  (smoothed)                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2660   0.11441   0.10610   0.0267   1.0000   0.8983
   0.500  -0.3206   0.11236   0.10434   0.0371   1.0000   0.8633
   1.000  -0.3547   0.11022   0.10239   0.0409   1.0000   0.8208
   1.500  -0.3324   0.10840   0.10049   0.0289   1.0000   0.7597
   2.000  -0.2216   0.10791   0.09944  -0.0057   1.0000   0.6769
   2.500  -0.0549   0.10950   0.10016  -0.0513   1.0000   0.6028
   3.000   0.0923   0.11214   0.10193  -0.0867   1.0000   0.5685
   3.500   0.2209   0.11617   0.10511  -0.1145   1.0000   0.5659
   4.000   0.3320   0.12124   0.10941  -0.1357   1.0000   0.5930
   4.500   0.4220   0.12643   0.11411  -0.1498   1.0000   0.6678
   5.000   0.4796   0.12847   0.11660  -0.1555   1.0000   0.8733
   5.500   0.6134   0.13873   0.12261  -0.1841   1.0000   1.0000
   6.000   0.6492   0.14419   0.12635  -0.1856   1.0000   1.0000
   6.500   0.6806   0.14963   0.13065  -0.1871   1.0000   1.0000
   7.000   0.7105   0.15512   0.13529  -0.1887   1.0000   1.0000
   7.500   0.7392   0.16067   0.14015  -0.1904   1.0000   1.0000
   8.000   0.7671   0.16626   0.14520  -0.1920   1.0000   1.0000
   8.500   0.7942   0.17189   0.15041  -0.1938   1.0000   1.0000
   9.000   0.8206   0.17758   0.15576  -0.1956   1.0000   1.0000
   9.500   0.8463   0.18331   0.16124  -0.1974   1.0000   1.0000
  10.000   0.8715   0.18909   0.16685  -0.1993   1.0000   1.0000
  10.500   0.8962   0.19493   0.17257  -0.2013   1.0000   1.0000
  11.000   0.9203   0.20082   0.17841  -0.2033   1.0000   1.0000
  11.500   0.9440   0.20679   0.18441  -0.2054   1.0000   1.0000
  12.000   0.9673   0.21283   0.19050  -0.2077   1.0000   1.0000
  12.500   0.9901   0.21895   0.19672  -0.2100   1.0000   1.0000
  13.000   1.0125   0.22515   0.20311  -0.2125   1.0000   1.0000
  13.500   1.0346   0.23143   0.20958  -0.2150   1.0000   1.0000
  14.000   1.0562   0.23780   0.21618  -0.2177   1.0000   1.0000
  14.500   1.0774   0.24428   0.22300  -0.2204   1.0000   1.0000
  15.000   1.0983   0.25086   0.22988  -0.2233   1.0000   1.0000
  15.500   1.1256   0.25673   0.23621  -0.2281   0.9871   1.0000
  16.000   1.1519   0.26055   0.24045  -0.2327   0.9655   1.0000
  16.500   1.1805   0.26818   0.24853  -0.2377   0.9429   1.0000
  17.000   1.2022   0.27033   0.25120  -0.2411   0.9208   1.0000
  17.500   1.2263   0.27612   0.25748  -0.2452   0.8998   1.0000
  18.000   1.2486   0.28063   0.26251  -0.2490   0.8777   1.0000
  18.500   1.2737   0.28955   0.27204  -0.2534   0.8570   1.0000
  19.000   1.2918   0.29144   0.27447  -0.2566   0.8369   1.0000
  19.500   1.3131   0.29746   0.28114  -0.2605   0.8157   1.0000
  20.000   1.3373   0.30820   0.29255  -0.2651   0.7952   1.0000
  20.500   1.3539   0.31099   0.29591  -0.2685   0.7769   1.0000
  21.000   1.3713   0.31429   0.29989  -0.2722   0.7563   1.0000
  21.500   1.3914   0.32178   0.30808  -0.2765   0.7352   1.0000
  22.000   1.4109   0.33072   0.31768  -0.2808   0.7145   1.0000
  22.500   1.4263   0.33285   0.32046  -0.2849   0.6916   1.0000
  23.000   1.4465   0.34324   0.33157  -0.2896   0.6667   1.0000
  24.500   1.5016   0.36725   0.35704  -0.3037   0.5729   1.0000
  25.000   1.5199   0.37496   0.36505  -0.3085   0.5417   1.0000
  25.500   1.5348   0.37754   0.36782  -0.3132   0.5146   1.0000
  26.000   1.5514   0.38434   0.37477  -0.3180   0.4927   1.0000
  26.500   1.5671   0.38899   0.37958  -0.3230   0.4724   1.0000
  27.000   1.5845   0.39669   0.38745  -0.3279   0.4542   1.0000
  27.500   1.5999   0.40304   0.39395  -0.3327   0.4388   1.0000
  28.000   1.6144   0.40812   0.39917  -0.3378   0.4255   1.0000
  28.500   1.6289   0.41395   0.40519  -0.3429   0.4136   1.0000
  29.000   1.6449   0.42225   0.41364  -0.3479   0.4020   1.0000
  29.500   1.6619   0.43450   0.42608  -0.3525   0.3896   1.0000
  30.000   1.6717   0.43189   0.42361  -0.3582   0.3796   1.0000
