  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 76-100                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03633   0.01257  -0.0000   1.0000   1.0000
   0.500   0.0252   0.03643   0.01269   0.0036   1.0000   1.0000
   1.000   0.0498   0.03671   0.01308   0.0071   1.0000   1.0000
   1.500   0.0735   0.03722   0.01373   0.0105   1.0000   1.0000
   2.000   0.0960   0.03798   0.01470   0.0137   1.0000   1.0000
   2.500   0.1167   0.03906   0.01601   0.0165   1.0000   1.0000
   3.000   0.1348   0.04054   0.01776   0.0187   1.0000   1.0000
   3.500   0.1501   0.04252   0.01999   0.0202   1.0000   1.0000
   4.000   0.1629   0.04505   0.02275   0.0208   1.0000   1.0000
   4.500   0.1744   0.04812   0.02603   0.0204   1.0000   1.0000
   5.000   0.1859   0.05165   0.02980   0.0192   1.0000   1.0000
   5.500   0.1981   0.05556   0.03393   0.0175   1.0000   1.0000
   6.000   0.2112   0.05983   0.03841   0.0153   1.0000   1.0000
   6.500   0.2249   0.06442   0.04324   0.0129   1.0000   1.0000
   7.000   0.2389   0.06934   0.04838   0.0104   1.0000   1.0000
   7.500   0.2532   0.07460   0.05392   0.0077   1.0000   1.0000
   8.000   0.2677   0.08019   0.05974   0.0049   1.0000   1.0000
   8.500   0.2822   0.08609   0.06586   0.0020   1.0000   1.0000
   9.000   0.2970   0.09222   0.07219  -0.0009   1.0000   1.0000
   9.500   0.3122   0.09853   0.07870  -0.0039   1.0000   1.0000
  10.000   0.3276   0.10504   0.08541  -0.0068   1.0000   1.0000
  10.500   0.3435   0.11165   0.09218  -0.0097   1.0000   1.0000
  11.000   0.3599   0.11830   0.09897  -0.0126   1.0000   1.0000
  11.500   0.3767   0.12500   0.10580  -0.0155   1.0000   1.0000
  12.000   0.3939   0.13175   0.11271  -0.0184   1.0000   1.0000
  12.500   0.4114   0.13852   0.11960  -0.0214   1.0000   1.0000
  13.000   0.4293   0.14530   0.12647  -0.0244   1.0000   1.0000
  13.500   0.4475   0.15207   0.13334  -0.0275   1.0000   1.0000
  14.000   0.4660   0.15889   0.14028  -0.0306   1.0000   1.0000
  14.500   0.4846   0.16572   0.14720  -0.0337   1.0000   1.0000
  15.000   0.5035   0.17256   0.15412  -0.0370   1.0000   1.0000
  15.500   0.5546   0.18767   0.16951  -0.0486   0.9513   1.0000
  16.000   0.5955   0.19967   0.18175  -0.0566   0.8946   1.0000
  16.500   0.6289   0.20950   0.19173  -0.0620   0.8411   1.0000
  17.000   0.6568   0.21813   0.20046  -0.0659   0.7968   1.0000
  17.500   0.6839   0.22723   0.20965  -0.0695   0.7544   1.0000
  18.000   0.7118   0.23753   0.22010  -0.0730   0.7129   1.0000
  18.500   0.7337   0.24505   0.22766  -0.0757   0.6792   1.0000
  19.000   0.7543   0.25187   0.23452  -0.0782   0.6469   1.0000
  19.500   0.7750   0.25918   0.24189  -0.0807   0.6152   1.0000
  20.000   0.7973   0.26831   0.25113  -0.0835   0.5860   1.0000
  20.500   0.8146   0.27348   0.25634  -0.0859   0.5598   1.0000
  21.000   0.8330   0.28029   0.26318  -0.0887   0.5363   1.0000
  21.500   0.8537   0.28915   0.27212  -0.0915   0.5109   1.0000
  22.000   0.8700   0.29463   0.27766  -0.0943   0.4907   1.0000
  22.500   0.8860   0.29974   0.28280  -0.0972   0.4703   1.0000
  23.000   0.9044   0.30744   0.29057  -0.1003   0.4506   1.0000
  23.500   0.9238   0.31705   0.30026  -0.1034   0.4322   1.0000
  24.000   0.9402   0.32383   0.30705  -0.1067   0.4153   1.0000
  24.500   0.9560   0.32987   0.31319  -0.1100   0.3996   1.0000
  25.000   0.9722   0.33692   0.32029  -0.1134   0.3844   1.0000
  25.500   0.9873   0.34230   0.32576  -0.1169   0.3699   1.0000
  26.000   1.0000   0.34469   0.32818  -0.1206   0.3568   1.0000
  26.500   1.0135   0.34865   0.33217  -0.1245   0.3444   1.0000
  27.000   1.0280   0.35445   0.33807  -0.1283   0.3330   1.0000
  27.500   1.0442   0.36353   0.34724  -0.1320   0.3213   1.0000
  28.000   1.0583   0.36895   0.35275  -0.1359   0.3092   1.0000
  28.500   1.0696   0.37049   0.35433  -0.1404   0.3007   1.0000
  29.000   1.0850   0.38010   0.36401  -0.1442   0.2905   1.0000
  29.500   1.0971   0.38299   0.36705  -0.1485   0.2799   1.0000
  30.000   1.1089   0.38684   0.37094  -0.1529   0.2722   1.0000
