  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 78-K-140/20                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1281   0.05613   0.03374  -0.0200   1.0000   1.0000
   0.500  -0.0971   0.05708   0.03348  -0.0181   1.0000   1.0000
   1.000  -0.0659   0.05819   0.03358  -0.0163   1.0000   1.0000
   1.500  -0.0348   0.05946   0.03400  -0.0147   1.0000   1.0000
   2.000  -0.0034   0.06087   0.03461  -0.0133   1.0000   1.0000
   2.500   0.0277   0.06242   0.03558  -0.0120   1.0000   1.0000
   3.000   0.0587   0.06413   0.03670  -0.0109   1.0000   1.0000
   3.500   0.0893   0.06600   0.03819  -0.0099   1.0000   1.0000
   4.000   0.1195   0.06802   0.03990  -0.0091   1.0000   1.0000
   4.500   0.1494   0.07019   0.04181  -0.0085   1.0000   1.0000
   5.000   0.1788   0.07253   0.04401  -0.0079   1.0000   1.0000
   5.500   0.2076   0.07504   0.04647  -0.0075   1.0000   1.0000
   6.000   0.2358   0.07774   0.04918  -0.0072   1.0000   1.0000
   6.500   0.2632   0.08062   0.05213  -0.0071   1.0000   1.0000
   7.000   0.2901   0.08368   0.05535  -0.0071   1.0000   1.0000
   7.500   0.3162   0.08694   0.05885  -0.0073   1.0000   1.0000
   8.000   0.3416   0.09041   0.06261  -0.0076   1.0000   1.0000
   8.500   0.3661   0.09410   0.06673  -0.0080   1.0000   1.0000
   9.000   0.3898   0.09799   0.07101  -0.0086   1.0000   1.0000
   9.500   0.4124   0.10214   0.07569  -0.0094   1.0000   1.0000
  10.000   0.4343   0.10650   0.08056  -0.0104   1.0000   1.0000
  10.500   0.4551   0.11111   0.08568  -0.0116   1.0000   1.0000
  11.000   0.4749   0.11600   0.09115  -0.0130   1.0000   1.0000
  11.500   0.4936   0.12117   0.09691  -0.0146   1.0000   1.0000
  12.000   0.5115   0.12660   0.10310  -0.0164   1.0000   1.0000
  12.500   0.5284   0.13235   0.10956  -0.0185   1.0000   1.0000
  13.000   0.5443   0.13838   0.11622  -0.0209   1.0000   1.0000
  13.500   0.5593   0.14476   0.12329  -0.0237   1.0000   1.0000
  14.000   0.5736   0.15145   0.13061  -0.0267   1.0000   1.0000
  14.500   0.5872   0.15846   0.13836  -0.0300   1.0000   1.0000
  15.000   0.6005   0.16588   0.14637  -0.0337   1.0000   1.0000
  15.500   0.6135   0.17364   0.15465  -0.0377   1.0000   1.0000
  16.000   0.6706   0.19408   0.17599  -0.0538   0.9113   1.0000
  16.500   0.7032   0.20797   0.19037  -0.0616   0.8465   1.0000
  17.000   0.7235   0.21650   0.19913  -0.0659   0.8029   1.0000
  17.500   0.7483   0.22829   0.21111  -0.0706   0.7647   1.0000
  18.000   0.7680   0.23694   0.21989  -0.0742   0.7372   1.0000
  18.500   0.7853   0.24320   0.22622  -0.0773   0.7123   1.0000
  19.000   0.8047   0.25198   0.23506  -0.0809   0.6956   1.0000
  19.500   0.8210   0.25721   0.24050  -0.0838   0.6753   1.0000
  20.000   0.8443   0.26852   0.25189  -0.0877   0.6560   1.0000
  20.500   0.8614   0.27505   0.25847  -0.0910   0.6420   1.0000
  21.000   0.8778   0.28063   0.26408  -0.0941   0.6268   1.0000
  21.500   0.8949   0.28640   0.26993  -0.0974   0.6107   1.0000
  22.000   0.9146   0.29433   0.27792  -0.1008   0.5919   1.0000
  22.500   0.9345   0.30329   0.28697  -0.1045   0.5760   1.0000
  23.000   0.9519   0.31017   0.29392  -0.1080   0.5623   1.0000
  23.500   0.9706   0.31866   0.30255  -0.1116   0.5473   1.0000
  24.000   0.9859   0.32283   0.30674  -0.1149   0.5317   1.0000
  24.500   1.0019   0.32817   0.31215  -0.1185   0.5166   1.0000
  25.000   1.0182   0.33372   0.31775  -0.1220   0.4996   1.0000
  25.500   1.0341   0.33981   0.32395  -0.1257   0.4862   1.0000
  26.000   1.0508   0.34637   0.33055  -0.1294   0.4699   1.0000
  26.500   1.0664   0.35239   0.33662  -0.1331   0.4563   1.0000
  27.000   1.0816   0.35836   0.34284  -0.1370   0.4435   1.0000
  27.500   1.0966   0.36435   0.34890  -0.1409   0.4302   1.0000
  28.000   1.1118   0.37038   0.35499  -0.1448   0.4156   1.0000
  28.500   1.1263   0.37622   0.36092  -0.1487   0.4020   1.0000
  29.000   1.1406   0.38201   0.36677  -0.1527   0.3884   1.0000
  29.500   1.1547   0.38887   0.37375  -0.1568   0.3767   1.0000
  30.000   1.1687   0.39504   0.38000  -0.1609   0.3631   1.0000
