  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 78-K-161                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1321   0.06145   0.03736  -0.0067   1.0000   1.0000
   0.500  -0.1154   0.06195   0.03736  -0.0030   1.0000   1.0000
   1.000  -0.0981   0.06255   0.03749   0.0005   1.0000   1.0000
   1.500  -0.0805   0.06326   0.03779   0.0038   1.0000   1.0000
   2.000  -0.0624   0.06407   0.03823   0.0070   1.0000   1.0000
   2.500  -0.0438   0.06499   0.03885   0.0100   1.0000   1.0000
   3.000  -0.0249   0.06604   0.03964   0.0128   1.0000   1.0000
   3.500  -0.0056   0.06722   0.04062   0.0154   1.0000   1.0000
   4.000   0.0143   0.06856   0.04177   0.0178   1.0000   1.0000
   4.500   0.0350   0.07006   0.04315   0.0198   1.0000   1.0000
   5.000   0.0562   0.07173   0.04475   0.0216   1.0000   1.0000
   5.500   0.0778   0.07358   0.04658   0.0231   1.0000   1.0000
   6.000   0.0998   0.07563   0.04866   0.0243   1.0000   1.0000
   6.500   0.1220   0.07788   0.05098   0.0253   1.0000   1.0000
   7.000   0.1444   0.08032   0.05355   0.0259   1.0000   1.0000
   7.500   0.1667   0.08299   0.05641   0.0264   1.0000   1.0000
   8.000   0.1889   0.08587   0.05950   0.0265   1.0000   1.0000
   8.500   0.2108   0.08896   0.06289   0.0265   1.0000   1.0000
   9.000   0.2324   0.09229   0.06652   0.0262   1.0000   1.0000
   9.500   0.2535   0.09586   0.07043   0.0256   1.0000   1.0000
  10.000   0.2740   0.09967   0.07467   0.0248   1.0000   1.0000
  10.500   0.2938   0.10374   0.07914   0.0238   1.0000   1.0000
  11.000   0.3131   0.10807   0.08392   0.0225   1.0000   1.0000
  11.500   0.3316   0.11266   0.08898   0.0210   1.0000   1.0000
  12.000   0.3493   0.11753   0.09438   0.0191   1.0000   1.0000
  12.500   0.3664   0.12267   0.10002   0.0170   1.0000   1.0000
  13.000   0.3828   0.12807   0.10597   0.0147   1.0000   1.0000
  13.500   0.3988   0.13373   0.11213   0.0121   1.0000   1.0000
  14.000   0.4141   0.13967   0.11857   0.0091   1.0000   1.0000
  14.500   0.4291   0.14588   0.12526   0.0060   1.0000   1.0000
  15.000   0.4438   0.15239   0.13228   0.0026   1.0000   1.0000
  15.500   0.4585   0.15913   0.13944  -0.0011   1.0000   1.0000
  16.000   0.5166   0.17830   0.15940  -0.0164   0.9235   1.0000
  16.500   0.5537   0.19219   0.17381  -0.0248   0.8530   1.0000
  17.000   0.5761   0.20083   0.18270  -0.0293   0.8063   1.0000
  17.500   0.5962   0.20910   0.19117  -0.0331   0.7720   1.0000
  18.000   0.6165   0.21748   0.19968  -0.0369   0.7451   1.0000
  18.500   0.6389   0.22717   0.20949  -0.0409   0.7206   1.0000
  19.000   0.6551   0.23206   0.21447  -0.0438   0.6990   1.0000
  19.500   0.6769   0.24094   0.22350  -0.0476   0.6792   1.0000
  20.000   0.6974   0.24925   0.23186  -0.0513   0.6617   1.0000
  20.500   0.7144   0.25449   0.23716  -0.0545   0.6459   1.0000
  21.000   0.7325   0.26045   0.24319  -0.0579   0.6292   1.0000
  21.500   0.7516   0.26736   0.25020  -0.0615   0.6137   1.0000
  22.000   0.7702   0.27377   0.25669  -0.0650   0.5981   1.0000
  22.500   0.7888   0.28027   0.26325  -0.0687   0.5831   1.0000
  23.000   0.8082   0.28790   0.27096  -0.0724   0.5683   1.0000
  23.500   0.8281   0.29607   0.27927  -0.0763   0.5531   1.0000
  24.000   0.8466   0.30287   0.28614  -0.0800   0.5379   1.0000
  24.500   0.8648   0.30964   0.29298  -0.0838   0.5230   1.0000
  25.000   0.8809   0.31393   0.29738  -0.0875   0.5088   1.0000
  26.000   0.9117   0.32211   0.30572  -0.0952   0.4814   1.0000
  26.500   0.9282   0.32792   0.31160  -0.0992   0.4679   1.0000
  27.000   0.9452   0.33460   0.31836  -0.1033   0.4551   1.0000
  27.500   0.9631   0.34282   0.32669  -0.1074   0.4412   1.0000
  28.000   0.9801   0.35010   0.33416  -0.1115   0.4271   1.0000
  28.500   0.9923   0.35089   0.33498  -0.1157   0.4147   1.0000
  29.000   1.0067   0.35556   0.33973  -0.1200   0.4034   1.0000
  29.500   1.0232   0.36399   0.34826  -0.1243   0.3918   1.0000
