  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 79-L-100                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03563   0.01242  -0.0000   1.0000   1.0000
   0.500   0.0133   0.03577   0.01253   0.0042   1.0000   1.0000
   1.000   0.0287   0.03617   0.01287   0.0080   1.0000   1.0000
   1.500   0.0476   0.03680   0.01343   0.0112   1.0000   1.0000
   2.000   0.0696   0.03765   0.01427   0.0136   1.0000   1.0000
   2.500   0.0938   0.03871   0.01542   0.0155   1.0000   1.0000
   3.000   0.1194   0.03999   0.01685   0.0168   1.0000   1.0000
   3.500   0.1455   0.04153   0.01865   0.0176   1.0000   1.0000
   4.000   0.1714   0.04336   0.02080   0.0179   1.0000   1.0000
   4.500   0.1963   0.04554   0.02337   0.0178   1.0000   1.0000
   5.000   0.2195   0.04818   0.02651   0.0170   1.0000   1.0000
   5.500   0.2398   0.05139   0.03022   0.0156   1.0000   1.0000
   6.000   0.2563   0.05537   0.03469   0.0134   1.0000   1.0000
   6.500   0.2684   0.06029   0.04006   0.0101   1.0000   1.0000
   7.000   0.2775   0.06609   0.04623   0.0061   1.0000   1.0000
   7.500   0.2866   0.07242   0.05288   0.0019   1.0000   1.0000
   8.000   0.2973   0.07905   0.05973  -0.0023   1.0000   1.0000
   8.500   0.3097   0.08582   0.06668  -0.0062   1.0000   1.0000
   9.000   0.3236   0.09265   0.07367  -0.0099   1.0000   1.0000
   9.500   0.3389   0.09952   0.08068  -0.0134   1.0000   1.0000
  10.000   0.3549   0.10644   0.08780  -0.0167   1.0000   1.0000
  10.500   0.3716   0.11339   0.09486  -0.0200   1.0000   1.0000
  11.000   0.3888   0.12038   0.10196  -0.0232   1.0000   1.0000
  11.500   0.4066   0.12737   0.10905  -0.0264   1.0000   1.0000
  12.000   0.4247   0.13440   0.11618  -0.0297   1.0000   1.0000
  12.500   0.4431   0.14146   0.12331  -0.0329   1.0000   1.0000
  13.000   0.4619   0.14848   0.13043  -0.0362   1.0000   1.0000
  13.500   0.4808   0.15557   0.13763  -0.0395   1.0000   1.0000
  14.000   0.5001   0.16265   0.14479  -0.0429   1.0000   1.0000
  14.500   0.5195   0.16977   0.15199  -0.0463   1.0000   1.0000
  15.000   0.5709   0.18488   0.16742  -0.0580   0.9517   1.0000
  15.500   0.6120   0.19733   0.18005  -0.0661   0.8981   1.0000
  16.000   0.6442   0.20763   0.19047  -0.0716   0.8534   1.0000
  16.500   0.6753   0.21834   0.20132  -0.0764   0.8103   1.0000
  17.000   0.6975   0.22445   0.20748  -0.0792   0.7707   1.0000
  17.500   0.7272   0.23641   0.21960  -0.0834   0.7339   1.0000
  18.000   0.7491   0.24388   0.22711  -0.0863   0.7028   1.0000
  18.500   0.7700   0.25098   0.23425  -0.0890   0.6713   1.0000
  19.000   0.7920   0.25909   0.24242  -0.0919   0.6410   1.0000
  19.500   0.8150   0.26860   0.25204  -0.0950   0.6118   1.0000
  20.000   0.8301   0.27178   0.25525  -0.0973   0.5873   1.0000
  20.500   0.8509   0.28023   0.26375  -0.1004   0.5635   1.0000
  21.000   0.8717   0.28865   0.27223  -0.1034   0.5377   1.0000
  21.500   0.8878   0.29344   0.27703  -0.1063   0.5162   1.0000
  22.000   0.9085   0.30252   0.28624  -0.1094   0.4929   1.0000
  22.500   0.9263   0.30961   0.29336  -0.1126   0.4747   1.0000
  23.000   0.9413   0.31357   0.29735  -0.1158   0.4559   1.0000
  23.500   0.9589   0.32030   0.30413  -0.1191   0.4362   1.0000
  24.000   0.9781   0.32982   0.31374  -0.1225   0.4177   1.0000
  24.500   0.9955   0.33800   0.32201  -0.1259   0.4011   1.0000
  25.000   1.0111   0.34366   0.32772  -0.1295   0.3860   1.0000
  25.500   1.0270   0.35028   0.33439  -0.1332   0.3712   1.0000
  26.000   1.0432   0.35764   0.34182  -0.1369   0.3567   1.0000
  26.500   1.0564   0.36041   0.34467  -0.1409   0.3436   1.0000
  27.000   1.0697   0.36375   0.34804  -0.1450   0.3310   1.0000
  27.500   1.0835   0.36840   0.35281  -0.1491   0.3189   1.0000
  28.000   1.0978   0.37465   0.35912  -0.1532   0.3079   1.0000
  28.500   1.1138   0.38468   0.36924  -0.1571   0.2965   1.0000
  29.000   1.1259   0.38683   0.37147  -0.1615   0.2857   1.0000
  29.500   1.1382   0.39067   0.37536  -0.1661   0.2774   1.0000
  30.000   1.1536   0.40248   0.38733  -0.1699   0.2671   1.0000
