  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 79-W-151 A                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1574   0.05593   0.03472  -0.0172   1.0000   1.0000
   0.500  -0.1315   0.05726   0.03514  -0.0159   1.0000   1.0000
   1.000  -0.1047   0.05879   0.03590  -0.0148   1.0000   1.0000
   1.500  -0.0775   0.06050   0.03691  -0.0138   1.0000   1.0000
   2.000  -0.0500   0.06239   0.03821  -0.0130   1.0000   1.0000
   2.500  -0.0222   0.06444   0.03973  -0.0124   1.0000   1.0000
   3.000   0.0056   0.06666   0.04147  -0.0119   1.0000   1.0000
   3.500   0.0334   0.06903   0.04346  -0.0116   1.0000   1.0000
   4.000   0.0610   0.07157   0.04568  -0.0114   1.0000   1.0000
   4.500   0.0885   0.07426   0.04809  -0.0113   1.0000   1.0000
   5.000   0.1158   0.07711   0.05074  -0.0113   1.0000   1.0000
   5.500   0.1430   0.08011   0.05358  -0.0114   1.0000   1.0000
   6.000   0.1698   0.08325   0.05663  -0.0117   1.0000   1.0000
   6.500   0.1962   0.08657   0.05991  -0.0121   1.0000   1.0000
   7.000   0.2222   0.09003   0.06335  -0.0125   1.0000   1.0000
   7.500   0.2479   0.09364   0.06701  -0.0131   1.0000   1.0000
   8.000   0.2731   0.09740   0.07088  -0.0138   1.0000   1.0000
   8.500   0.2977   0.10132   0.07492  -0.0146   1.0000   1.0000
   9.000   0.3220   0.10540   0.07919  -0.0155   1.0000   1.0000
   9.500   0.3457   0.10963   0.08363  -0.0166   1.0000   1.0000
  10.000   0.3688   0.11403   0.08827  -0.0178   1.0000   1.0000
  10.500   0.3914   0.11857   0.09313  -0.0191   1.0000   1.0000
  11.000   0.4134   0.12329   0.09817  -0.0205   1.0000   1.0000
  11.500   0.4348   0.12817   0.10342  -0.0222   1.0000   1.0000
  12.000   0.4556   0.13323   0.10885  -0.0240   1.0000   1.0000
  12.500   0.4759   0.13845   0.11446  -0.0259   1.0000   1.0000
  13.000   0.4956   0.14387   0.12032  -0.0281   1.0000   1.0000
  13.500   0.5148   0.14944   0.12632  -0.0304   1.0000   1.0000
  14.000   0.5334   0.15522   0.13253  -0.0330   1.0000   1.0000
  14.500   0.5517   0.16121   0.13901  -0.0357   1.0000   1.0000
  15.000   0.5694   0.16738   0.14562  -0.0386   1.0000   1.0000
  15.500   0.5868   0.17376   0.15245  -0.0417   1.0000   1.0000
  16.000   0.6038   0.18038   0.15951  -0.0451   1.0000   1.0000
  16.500   0.6378   0.19285   0.17261  -0.0533   0.9790   1.0000
  17.000   0.6761   0.20437   0.18475  -0.0625   0.9251   1.0000
  17.500   0.7075   0.21492   0.19582  -0.0692   0.8737   1.0000
  18.000   0.7341   0.22441   0.20571  -0.0745   0.8274   1.0000
  18.500   0.7566   0.23239   0.21405  -0.0786   0.7859   1.0000
  19.000   0.7819   0.24316   0.22508  -0.0830   0.7455   1.0000
  19.500   0.8008   0.24932   0.23142  -0.0862   0.7097   1.0000
  20.000   0.8211   0.25721   0.23947  -0.0896   0.6790   1.0000
  20.500   0.8411   0.26508   0.24746  -0.0929   0.6505   1.0000
  21.000   0.8634   0.27538   0.25794  -0.0965   0.6245   1.0000
  21.500   0.8789   0.27952   0.26216  -0.0994   0.6021   1.0000
  22.500   0.9171   0.29565   0.27845  -0.1061   0.5629   1.0000
  23.000   0.9334   0.30114   0.28399  -0.1093   0.5462   1.0000
  23.500   0.9501   0.30715   0.29007  -0.1127   0.5297   1.0000
  24.000   0.9671   0.31361   0.29666  -0.1161   0.5145   1.0000
  24.500   0.9841   0.32046   0.30357  -0.1197   0.5005   1.0000
  25.000   1.0009   0.32733   0.31051  -0.1232   0.4863   1.0000
  25.500   1.0182   0.33497   0.31823  -0.1268   0.4727   1.0000
  26.000   1.0359   0.34381   0.32715  -0.1305   0.4590   1.0000
  27.000   1.0630   0.35024   0.33377  -0.1380   0.4348   1.0000
  27.500   1.0776   0.35571   0.33930  -0.1418   0.4235   1.0000
  28.000   1.0937   0.36379   0.34747  -0.1457   0.4123   1.0000
  28.500   1.1108   0.37387   0.35769  -0.1495   0.3999   1.0000
  29.000   1.1206   0.37243   0.35628  -0.1537   0.3902   1.0000
  29.500   1.1343   0.37793   0.36191  -0.1578   0.3800   1.0000
  30.000   1.1503   0.38819   0.37228  -0.1617   0.3690   1.0000
