  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 83-W-108                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0143   0.04435   0.02349  -0.0471   1.0000   1.0000
   0.500   0.0337   0.04543   0.02345  -0.0491   1.0000   1.0000
   1.000   0.0787   0.04669   0.02385  -0.0503   1.0000   1.0000
   1.500   0.1214   0.04813   0.02461  -0.0511   1.0000   1.0000
   2.000   0.1626   0.04973   0.02566  -0.0515   1.0000   1.0000
   2.500   0.2022   0.05150   0.02703  -0.0519   1.0000   1.0000
   3.000   0.2404   0.05346   0.02871  -0.0522   1.0000   1.0000
   3.500   0.2773   0.05561   0.03070  -0.0524   1.0000   1.0000
   4.000   0.3128   0.05796   0.03298  -0.0527   1.0000   1.0000
   4.500   0.3469   0.06055   0.03561  -0.0530   1.0000   1.0000
   5.000   0.3795   0.06338   0.03855  -0.0534   1.0000   1.0000
   5.500   0.4104   0.06649   0.04187  -0.0539   1.0000   1.0000
   6.000   0.4395   0.06991   0.04556  -0.0545   1.0000   1.0000
   6.500   0.4668   0.07369   0.04970  -0.0554   1.0000   1.0000
   7.000   0.4920   0.07787   0.05427  -0.0565   1.0000   1.0000
   7.500   0.5150   0.08249   0.05934  -0.0579   1.0000   1.0000
   8.000   0.5357   0.08763   0.06494  -0.0597   1.0000   1.0000
   8.500   0.5538   0.09331   0.07118  -0.0618   1.0000   1.0000
   9.000   0.5697   0.09957   0.07795  -0.0644   1.0000   1.0000
   9.500   0.5835   0.10638   0.08526  -0.0674   1.0000   1.0000
  10.000   0.5959   0.11369   0.09309  -0.0707   1.0000   1.0000
  10.500   0.6078   0.12136   0.10121  -0.0744   1.0000   1.0000
  11.000   0.6197   0.12928   0.10954  -0.0783   1.0000   1.0000
  11.500   0.6321   0.13735   0.11798  -0.0823   1.0000   1.0000
  12.000   0.6456   0.14545   0.12641  -0.0864   1.0000   1.0000
  12.500   0.6601   0.15353   0.13483  -0.0904   1.0000   1.0000
  13.000   0.6755   0.16157   0.14312  -0.0945   1.0000   1.0000
  13.500   0.6918   0.16959   0.15139  -0.0985   1.0000   1.0000
  14.000   0.7088   0.17756   0.15957  -0.1025   1.0000   1.0000
  14.500   0.7359   0.18810   0.17039  -0.1091   0.9895   1.0000
  15.000   0.7731   0.19929   0.18195  -0.1181   0.9506   1.0000
  15.500   0.8035   0.20901   0.19193  -0.1246   0.9168   1.0000
  16.000   0.8315   0.21824   0.20136  -0.1302   0.8851   1.0000
  16.500   0.8554   0.22590   0.20920  -0.1347   0.8584   1.0000
  17.000   0.8809   0.23478   0.21829  -0.1393   0.8307   1.0000
  17.500   0.9065   0.24434   0.22803  -0.1439   0.8052   1.0000
  18.000   0.9263   0.24984   0.23365  -0.1473   0.7806   1.0000
  18.500   0.9519   0.26035   0.24430  -0.1517   0.7561   1.0000
  19.000   0.9703   0.26498   0.24910  -0.1549   0.7335   1.0000
  19.500   0.9944   0.27501   0.25927  -0.1589   0.7095   1.0000
  20.000   1.0128   0.27983   0.26420  -0.1621   0.6861   1.0000
  20.500   1.0363   0.29037   0.27487  -0.1660   0.6641   1.0000
  21.000   1.0529   0.29386   0.27850  -0.1690   0.6415   1.0000
  21.500   1.0766   0.30523   0.29001  -0.1728   0.6187   1.0000
  22.000   1.0917   0.30792   0.29278  -0.1759   0.5987   1.0000
  22.500   1.1123   0.31647   0.30146  -0.1794   0.5762   1.0000
  23.000   1.1305   0.32351   0.30863  -0.1828   0.5563   1.0000
  23.500   1.1463   0.32767   0.31288  -0.1862   0.5363   1.0000
  24.000   1.1650   0.33540   0.32074  -0.1897   0.5164   1.0000
  24.500   1.1852   0.34654   0.33197  -0.1932   0.4970   1.0000
  25.000   1.1990   0.34922   0.33478  -0.1967   0.4798   1.0000
  25.500   1.2138   0.35372   0.33937  -0.2003   0.4626   1.0000
  26.000   1.2290   0.35915   0.34489  -0.2040   0.4460   1.0000
  26.500   1.2442   0.36478   0.35062  -0.2077   0.4294   1.0000
  27.000   1.2589   0.37050   0.35644  -0.2114   0.4135   1.0000
  27.500   1.2733   0.37618   0.36227  -0.2152   0.3986   1.0000
  28.000   1.2874   0.38203   0.36822  -0.2191   0.3847   1.0000
  28.500   1.3016   0.38867   0.37496  -0.2230   0.3713   1.0000
  29.000   1.3159   0.39638   0.38278  -0.2268   0.3577   1.0000
  29.500   1.3307   0.40570   0.39222  -0.2306   0.3438   1.0000
  30.000   1.3404   0.40510   0.39179  -0.2350   0.3319   1.0000
