  
       XFOIL         Version 6.99
  
 Calculated polar for: Glenn Martin 4                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1864   0.06758   0.05603  -0.0107   1.0000   1.0000
   0.500  -0.1306   0.06950   0.05438  -0.0187   1.0000   1.0000
   1.000  -0.0989   0.07223   0.05504  -0.0185   1.0000   1.0000
   1.500  -0.0749   0.07494   0.05633  -0.0174   1.0000   1.0000
   2.000  -0.0527   0.07778   0.05808  -0.0164   1.0000   1.0000
   2.500  -0.0309   0.08075   0.06014  -0.0155   1.0000   1.0000
   3.000  -0.0091   0.08386   0.06246  -0.0149   1.0000   1.0000
   3.500   0.0129   0.08708   0.06494  -0.0144   1.0000   1.0000
   4.000   0.0350   0.09042   0.06763  -0.0140   1.0000   1.0000
   4.500   0.0572   0.09385   0.07051  -0.0138   1.0000   1.0000
   5.000   0.0795   0.09740   0.07356  -0.0137   1.0000   1.0000
   5.500   0.1020   0.10104   0.07674  -0.0136   1.0000   1.0000
   6.000   0.1242   0.10479   0.08008  -0.0138   1.0000   1.0000
   6.500   0.1467   0.10858   0.08354  -0.0140   1.0000   1.0000
   7.000   0.1688   0.11250   0.08717  -0.0143   1.0000   1.0000
   7.500   0.1908   0.11652   0.09094  -0.0147   1.0000   1.0000
   8.000   0.2127   0.12060   0.09482  -0.0152   1.0000   1.0000
   8.500   0.2346   0.12474   0.09880  -0.0158   1.0000   1.0000
   9.000   0.2561   0.12898   0.10292  -0.0165   1.0000   1.0000
   9.500   0.2776   0.13326   0.10711  -0.0173   1.0000   1.0000
  10.000   0.2986   0.13764   0.11145  -0.0182   1.0000   1.0000
  10.500   0.3194   0.14212   0.11591  -0.0192   1.0000   1.0000
  11.000   0.3403   0.14660   0.12040  -0.0203   1.0000   1.0000
  11.500   0.3607   0.15121   0.12505  -0.0215   1.0000   1.0000
  12.000   0.3812   0.15582   0.12974  -0.0228   1.0000   1.0000
