  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 235 (SCHUETTE-LANZ) AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0705   0.03913   0.02379  -0.0341   1.0000   0.6502
   0.500   0.1228   0.03655   0.02222  -0.0356   1.0000   1.0000
   1.000   0.2093   0.03813   0.02155  -0.0448   1.0000   1.0000
   1.500   0.2642   0.03972   0.02139  -0.0455   1.0000   1.0000
   2.000   0.3069   0.04138   0.02173  -0.0446   1.0000   1.0000
   2.500   0.3443   0.04329   0.02283  -0.0440   1.0000   1.0000
   3.000   0.3783   0.04559   0.02466  -0.0440   1.0000   1.0000
   3.500   0.4088   0.04841   0.02728  -0.0447   1.0000   1.0000
   4.000   0.4350   0.05193   0.03074  -0.0461   1.0000   1.0000
   4.500   0.4564   0.05629   0.03515  -0.0484   1.0000   1.0000
   5.000   0.4741   0.06143   0.04037  -0.0513   1.0000   1.0000
   5.500   0.4906   0.06702   0.04601  -0.0544   1.0000   1.0000
   6.000   0.5077   0.07273   0.05175  -0.0574   1.0000   1.0000
   6.500   0.5260   0.07846   0.05755  -0.0601   1.0000   1.0000
   7.000   0.5452   0.08423   0.06339  -0.0626   1.0000   1.0000
   7.500   0.5647   0.09008   0.06935  -0.0649   1.0000   1.0000
   8.000   0.5842   0.09606   0.07551  -0.0673   1.0000   1.0000
   8.500   0.6034   0.10221   0.08187  -0.0696   1.0000   1.0000
   9.000   0.6221   0.10860   0.08851  -0.0720   1.0000   1.0000
   9.500   0.6399   0.11531   0.09552  -0.0746   1.0000   1.0000
  10.000   0.6565   0.12243   0.10301  -0.0774   1.0000   1.0000
  10.500   0.6716   0.13012   0.11104  -0.0806   1.0000   1.0000
  11.000   0.6853   0.13844   0.11967  -0.0843   1.0000   1.0000
  11.500   0.6986   0.14716   0.12861  -0.0882   1.0000   1.0000
  12.000   0.7130   0.15585   0.13748  -0.0922   1.0000   1.0000
  12.500   0.7288   0.16432   0.14605  -0.0961   1.0000   1.0000
  13.000   0.7457   0.17258   0.15439  -0.0999   1.0000   1.0000
  13.500   0.7635   0.18067   0.16257  -0.1037   1.0000   1.0000
  14.000   0.7818   0.18866   0.17063  -0.1074   1.0000   1.0000
  14.500   0.8161   0.20093   0.18309  -0.1153   0.9836   1.0000
  15.000   0.8557   0.21143   0.19381  -0.1241   0.9324   1.0000
  15.500   0.8861   0.21993   0.20245  -0.1297   0.8878   1.0000
  16.000   0.9164   0.23019   0.21287  -0.1349   0.8486   1.0000
  16.500   0.9399   0.23713   0.21991  -0.1385   0.8134   1.0000
  17.000   0.9640   0.24489   0.22778  -0.1421   0.7788   1.0000
  17.500   0.9873   0.25276   0.23580  -0.1455   0.7467   1.0000
  18.000   1.0101   0.26094   0.24408  -0.1489   0.7176   1.0000
  18.500   1.0334   0.26973   0.25298  -0.1523   0.6881   1.0000
  19.000   1.0579   0.27997   0.26339  -0.1558   0.6580   1.0000
  19.500   1.0729   0.28277   0.26628  -0.1582   0.6324   1.0000
  20.000   1.0963   0.29352   0.27714  -0.1618   0.6075   1.0000
  20.500   1.1119   0.29703   0.28078  -0.1645   0.5830   1.0000
  21.000   1.1359   0.30936   0.29325  -0.1681   0.5588   1.0000
  21.500   1.1498   0.31174   0.29571  -0.1712   0.5388   1.0000
  22.000   1.1675   0.31803   0.30212  -0.1745   0.5169   1.0000
  22.500   1.1899   0.33053   0.31483  -0.1780   0.4957   1.0000
  23.000   1.2042   0.33392   0.31828  -0.1815   0.4782   1.0000
  23.500   1.2197   0.33901   0.32349  -0.1852   0.4609   1.0000
  24.000   1.2356   0.34486   0.32949  -0.1889   0.4440   1.0000
  24.500   1.2519   0.35150   0.33626  -0.1927   0.4278   1.0000
  25.000   1.2687   0.35954   0.34444  -0.1966   0.4123   1.0000
  25.500   1.2865   0.36984   0.35493  -0.2004   0.3969   1.0000
  26.000   1.2985   0.37064   0.35586  -0.2047   0.3832   1.0000
  26.500   1.3113   0.37376   0.35909  -0.2092   0.3712   1.0000
  27.000   1.3264   0.38126   0.36675  -0.2135   0.3596   1.0000
  27.500   1.3439   0.39385   0.37953  -0.2174   0.3463   1.0000
  28.000   1.3538   0.39176   0.37757  -0.2224   0.3353   1.0000
  28.500   1.3669   0.39722   0.38319  -0.2270   0.3256   1.0000
  29.000   1.3832   0.41009   0.39625  -0.2310   0.3138   1.0000
  29.500   1.3925   0.40748   0.39378  -0.2364   0.3040   1.0000
  30.000   1.4056   0.41510   0.40157  -0.2410   0.2956   1.0000
