  
       XFOIL         Version 6.99
  
 Calculated polar for: HOBIE                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1083   0.03909   0.01780  -0.0556   1.0000   1.0000
   0.500   0.1493   0.04029   0.01801  -0.0558   1.0000   1.0000
   1.000   0.1879   0.04170   0.01869  -0.0557   1.0000   1.0000
   1.500   0.2246   0.04334   0.01976  -0.0557   1.0000   1.0000
   2.000   0.2595   0.04521   0.02122  -0.0557   1.0000   1.0000
   2.500   0.2929   0.04733   0.02305  -0.0557   1.0000   1.0000
   3.000   0.3249   0.04970   0.02524  -0.0560   1.0000   1.0000
   3.500   0.3555   0.05234   0.02779  -0.0563   1.0000   1.0000
   4.000   0.3850   0.05524   0.03068  -0.0569   1.0000   1.0000
   4.500   0.4133   0.05842   0.03394  -0.0575   1.0000   1.0000
   5.000   0.4404   0.06188   0.03758  -0.0584   1.0000   1.0000
   5.500   0.4663   0.06566   0.04156  -0.0595   1.0000   1.0000
   6.000   0.4908   0.06976   0.04594  -0.0607   1.0000   1.0000
   6.500   0.5141   0.07423   0.05077  -0.0622   1.0000   1.0000
   7.000   0.5360   0.07908   0.05598  -0.0640   1.0000   1.0000
   7.500   0.5568   0.08429   0.06163  -0.0659   1.0000   1.0000
   8.000   0.5765   0.08984   0.06761  -0.0680   1.0000   1.0000
   8.500   0.5955   0.09570   0.07391  -0.0703   1.0000   1.0000
   9.000   0.6139   0.10180   0.08052  -0.0727   1.0000   1.0000
   9.500   0.6319   0.10816   0.08739  -0.0751   1.0000   1.0000
  10.000   0.6494   0.11480   0.09456  -0.0778   1.0000   1.0000
  10.500   0.6659   0.12180   0.10216  -0.0807   1.0000   1.0000
  11.000   0.6813   0.12927   0.11021  -0.0840   1.0000   1.0000
  11.500   0.6952   0.13732   0.11881  -0.0877   1.0000   1.0000
  12.000   0.7079   0.14596   0.12792  -0.0918   1.0000   1.0000
  12.500   0.7206   0.15493   0.13731  -0.0963   1.0000   1.0000
  13.000   0.7345   0.16392   0.14659  -0.1008   1.0000   1.0000
  13.500   0.7496   0.17274   0.15567  -0.1051   1.0000   1.0000
  14.000   0.7658   0.18146   0.16461  -0.1094   1.0000   1.0000
  14.500   0.7901   0.19162   0.17503  -0.1157   0.9902   1.0000
  15.000   0.8378   0.20680   0.19063  -0.1273   0.9307   1.0000
  15.500   0.8696   0.21603   0.20011  -0.1337   0.8785   1.0000
  16.000   0.8987   0.22638   0.21063  -0.1390   0.8395   1.0000
  16.500   0.9279   0.23681   0.22124  -0.1437   0.7968   1.0000
  17.000   0.9535   0.24664   0.23123  -0.1478   0.7641   1.0000
  17.500   0.9767   0.25503   0.23972  -0.1513   0.7329   1.0000
  18.000   0.9974   0.26181   0.24661  -0.1544   0.7036   1.0000
  18.500   1.0158   0.26742   0.25228  -0.1573   0.6788   1.0000
  19.000   1.0399   0.27796   0.26297  -0.1610   0.6533   1.0000
  19.500   1.0576   0.28303   0.26811  -0.1639   0.6290   1.0000
  20.000   1.0801   0.29308   0.27824  -0.1675   0.6066   1.0000
  20.500   1.0966   0.29745   0.28268  -0.1704   0.5839   1.0000
  21.000   1.1207   0.30996   0.29528  -0.1740   0.5611   1.0000
  21.500   1.1353   0.31301   0.29846  -0.1771   0.5423   1.0000
  22.000   1.1523   0.31853   0.30405  -0.1804   0.5224   1.0000
  22.500   1.1707   0.32605   0.31164  -0.1838   0.5030   1.0000
  23.000   1.1895   0.33461   0.32030  -0.1872   0.4849   1.0000
  23.500   1.2080   0.34334   0.32912  -0.1908   0.4680   1.0000
  24.000   1.2254   0.35147   0.33733  -0.1943   0.4519   1.0000
  24.500   1.2413   0.35780   0.34374  -0.1979   0.4366   1.0000
  25.000   1.2556   0.36196   0.34808  -0.2017   0.4219   1.0000
  25.500   1.2689   0.36522   0.35139  -0.2056   0.4083   1.0000
  26.000   1.2828   0.36954   0.35577  -0.2096   0.3954   1.0000
  26.500   1.2972   0.37535   0.36165  -0.2135   0.3829   1.0000
  27.000   1.3123   0.38282   0.36921  -0.2174   0.3705   1.0000
  27.500   1.3283   0.39223   0.37871  -0.2212   0.3575   1.0000
  28.000   1.3411   0.39624   0.38284  -0.2253   0.3449   1.0000
  28.500   1.3517   0.39728   0.38393  -0.2298   0.3346   1.0000
  29.000   1.3650   0.40382   0.39070  -0.2340   0.3244   1.0000
  29.500   1.3805   0.41613   0.40314  -0.2377   0.3122   1.0000
  30.000   1.3891   0.41299   0.40009  -0.2427   0.3024   1.0000
