  
       XFOIL         Version 6.99
  
 Calculated polar for: HOBIESMO1.DAT                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1056   0.03920   0.01704  -0.0549   1.0000   1.0000
   0.500   0.1463   0.04041   0.01737  -0.0551   1.0000   1.0000
   1.000   0.1848   0.04182   0.01808  -0.0551   1.0000   1.0000
   1.500   0.2215   0.04344   0.01920  -0.0551   1.0000   1.0000
   2.000   0.2565   0.04529   0.02069  -0.0551   1.0000   1.0000
   2.500   0.2901   0.04737   0.02254  -0.0552   1.0000   1.0000
   3.000   0.3224   0.04970   0.02476  -0.0554   1.0000   1.0000
   3.500   0.3532   0.05229   0.02732  -0.0557   1.0000   1.0000
   4.000   0.3829   0.05514   0.03024  -0.0562   1.0000   1.0000
   4.500   0.4112   0.05829   0.03357  -0.0569   1.0000   1.0000
   5.000   0.4383   0.06174   0.03723  -0.0578   1.0000   1.0000
   5.500   0.4641   0.06550   0.04126  -0.0588   1.0000   1.0000
   6.000   0.4888   0.06958   0.04574  -0.0601   1.0000   1.0000
   6.500   0.5122   0.07399   0.05054  -0.0615   1.0000   1.0000
   7.000   0.5346   0.07873   0.05573  -0.0631   1.0000   1.0000
   7.500   0.5560   0.08382   0.06138  -0.0649   1.0000   1.0000
   8.000   0.5764   0.08924   0.06731  -0.0669   1.0000   1.0000
   8.500   0.5959   0.09498   0.07360  -0.0691   1.0000   1.0000
   9.000   0.6147   0.10103   0.08023  -0.0714   1.0000   1.0000
   9.500   0.6327   0.10740   0.08733  -0.0739   1.0000   1.0000
  10.000   0.6499   0.11410   0.09467  -0.0766   1.0000   1.0000
  10.500   0.6661   0.12120   0.10243  -0.0796   1.0000   1.0000
  11.000   0.6811   0.12879   0.11068  -0.0829   1.0000   1.0000
  11.500   0.6945   0.13704   0.11958  -0.0867   1.0000   1.0000
  12.000   0.7061   0.14609   0.12916  -0.0911   1.0000   1.0000
  12.500   0.7172   0.15581   0.13923  -0.0961   1.0000   1.0000
  13.000   0.7298   0.16552   0.14914  -0.1010   1.0000   1.0000
  13.500   0.7445   0.17488   0.15877  -0.1056   1.0000   1.0000
  14.000   0.7811   0.18887   0.17303  -0.1155   0.9716   1.0000
  14.500   0.8242   0.20161   0.18604  -0.1254   0.9044   1.0000
  15.000   0.8589   0.21416   0.19876  -0.1321   0.8579   1.0000
  15.500   0.8811   0.22092   0.20560  -0.1358   0.8237   1.0000
  16.000   0.9099   0.23164   0.21641  -0.1404   0.7859   1.0000
  16.500   0.9317   0.23855   0.22339  -0.1436   0.7536   1.0000
  17.000   0.9556   0.24795   0.23286  -0.1474   0.7290   1.0000
  17.500   0.9796   0.25750   0.24263  -0.1511   0.7038   1.0000
  18.000   0.9986   0.26332   0.24849  -0.1540   0.6786   1.0000
  18.500   1.0188   0.27026   0.25547  -0.1571   0.6533   1.0000
  19.000   1.0401   0.27845   0.26371  -0.1604   0.6296   1.0000
  19.500   1.0621   0.28734   0.27268  -0.1638   0.6069   1.0000
  20.000   1.0804   0.29407   0.27943  -0.1670   0.5890   1.0000
  20.500   1.0979   0.29954   0.28494  -0.1702   0.5696   1.0000
  21.000   1.1212   0.31126   0.29690  -0.1738   0.5492   1.0000
  21.500   1.1357   0.31431   0.29995  -0.1770   0.5315   1.0000
  22.000   1.1537   0.32073   0.30644  -0.1803   0.5115   1.0000
  22.500   1.1755   0.33242   0.31819  -0.1837   0.4928   1.0000
  23.000   1.1900   0.33608   0.32189  -0.1872   0.4772   1.0000
  23.500   1.2056   0.34127   0.32713  -0.1908   0.4620   1.0000
  24.000   1.2217   0.34711   0.33303  -0.1945   0.4473   1.0000
  24.500   1.2374   0.35299   0.33911  -0.1982   0.4328   1.0000
  25.000   1.2529   0.35889   0.34508  -0.2019   0.4185   1.0000
  25.500   1.2681   0.36477   0.35103  -0.2057   0.4044   1.0000
  26.000   1.2832   0.37079   0.35712  -0.2096   0.3908   1.0000
  26.500   1.2980   0.37705   0.36347  -0.2135   0.3776   1.0000
  27.000   1.3129   0.38400   0.37049  -0.2173   0.3648   1.0000
  27.500   1.3283   0.39237   0.37896  -0.2212   0.3521   1.0000
  28.000   1.3408   0.39608   0.38288  -0.2253   0.3402   1.0000
  28.500   1.3515   0.39739   0.38425  -0.2298   0.3305   1.0000
  29.000   1.3644   0.40327   0.39022  -0.2341   0.3209   1.0000
  29.500   1.3788   0.41301   0.40007  -0.2380   0.3101   1.0000
  30.000   1.3894   0.41470   0.40188  -0.2425   0.2996   1.0000
